vehicle,scenario,lag,cost_bps,policy,annualized_mean_return,annualized_turnover,annualized_volatility,average_gross,avoided_downside,cagr,calmar,certainty_equivalent,cvar_95,exposure_change_count,full_gross_total_return,max_drawdown,missed_upside,n_sessions,policy_excess_vs_full,sharpe,sortino,time_reduced,total_return,total_return_delta_vs_full,transaction_cost,turnover
csi300_etf_proxy,lag2_cost10,2,10,constant_100,0.08004653385,0,0.2214630571,1,0,0.05699238277,0.1253867968,0.006477705353,-0.03302658767,0,1.150385948,-0.4545325681,0,3481,0,0.3614441835,0.5119566508,0,1.150385948,0,0,0
csi300_etf_proxy,lag2_cost10,2,10,current_ladder,0.07813107173,4.061246768,0.2076252101,0.9396897443,1.126844563,0.05811238627,0.1299732491,0.01346872994,-0.0305315411,653,1.150385948,-0.4471103607,1.097203783,3481,-0.02645922079,0.3763082128,0.5331386272,0.4243033611,1.182075639,0.03168969017,0.0561,56.1
csi300_etf_proxy,lag2_cost10,2,10,current_riskoff_075,0.07829096902,3.223659868,0.2098381513,0.9498103993,0.916645747,0.05779289052,0.1303202547,0.01224289441,-0.03092794348,653,1.150385948,-0.4434682132,0.8963662279,3481,-0.02425048085,0.3731016907,0.5286368097,0.4243033611,1.172991858,0.02260590999,0.04453,44.53
csi300_etf_proxy,lag2_cost10,2,10,matched_constant,0.07521890693,0,0.2081065635,0.9396897443,0.9338686787,0.05494242183,0.1273221642,0.01025639426,-0.03103474572,0,1.150385948,-0.4315228395,1.000555065,3481,-0.06668638618,0.3614441835,0.5119566508,1,1.093486896,-0.05689905287,0,0
csi300_etf_proxy,lag2_cost10,2,10,vol_target_15,0.06136471511,3.647445465,0.1598660112,0.8333521895,3.579673911,0.04977179831,0.1223581899,0.0230290028,-0.02300300643,1771,1.150385948,-0.4067712866,3.787351107,3481,-0.2580611549,0.3838509177,0.5521816514,0.5992530882,0.956114416,-0.1942715324,0.05038395898,50.38395898
csi300_etf_proxy,lag2_cost25,2,25,binary_loud_075,0.07525945634,2.226084458,0.213965997,0.9707698937,0.5749841655,0.05366160703,0.1191536626,0.00658728453,-0.03172614579,123,1.150385948,-0.450356337,0.5642354228,3481,-0.06612625727,0.3517355907,0.4970463458,0.1169204252,1.058648658,-0.09173728994,0.076875,30.75
csi300_etf_proxy,lag2_cost25,2,25,constant_075,0.06003490039,0,0.1660972928,0.75,3.871102304,0.04728649514,0.133111294,0.01865243436,-0.02476994075,0,1.150385948,-0.3552402934,4.147532844,3481,-0.27643054,0.3614441835,0.5119566508,1,0.8931048608,-0.2572810875,0,0
csi300_etf_proxy,lag2_cost25,2,25,constant_100,0.08004653385,0,0.2214630571,1,0,0.05699238277,0.1253867968,0.006477705353,-0.03302658767,0,1.150385948,-0.4545325681,0,3481,0,0.3614441835,0.5119566508,0,1.150385948,0,0,0
csi300_etf_proxy,lag2_cost25,2,25,current_ladder,0.07203920158,4.061246768,0.2076359782,0.9396897443,1.126844563,0.05168472314,0.1141830064,0.007370152419,-0.03055573626,653,1.150385948,-0.4526481196,1.097203783,3481,-0.1106092208,0.3469495133,0.4909814827,0.4243033611,1.005931431,-0.144454517,0.14025,56.1
csi300_etf_proxy,lag2_cost25,2,25,current_riskoff_075,0.07345547922,3.223659868,0.2098423954,0.9498103993,0.916645747,0.05269007581,0.1178472455,0.007404732842,-0.03095012148,653,1.150385948,-0.4471048565,0.8963662279,3481,-0.09104548085,0.3500507086,0.4955231921,0.4243033611,1.03258247,-0.1178034784,0.111325,44.53
csi300_etf_proxy,lag2_cost25,2,25,matched_constant,0.07521890693,0,0.2081065635,0.9396897443,0.9338686787,0.05494242183,0.1273221642,0.01025639426,-0.03103474572,0,1.150385948,-0.4315228395,1.000555065,3481,-0.06668638618,0.3614441835,0.5119566508,1,1.093486896,-0.05689905287,0,0
csi300_etf_proxy,lag2_cost25,2,25,vol_target_15,0.05589354691,3.647445465,0.1598341038,0.8333521895,3.579673911,0.04404995858,0.1058453497,0.01757313581,-0.02302354235,1771,1.150385948,-0.4161728288,3.787351107,3481,-0.3336370934,0.3496972522,0.5022352919,0.5992530882,0.8138704236,-0.3365155248,0.1259598975,50.38395898
shanghai_composite,lag1_cost10,1,10,binary_loud_075,0.07271575376,2.434090909,0.2185949782,0.9682692308,1.243904093,0.04992800457,0.07510292628,0.001040107002,-0.03407583205,221,1.582503317,-0.6647943967,1.086534353,5720,0.1021197393,0.3326506142,0.4613989219,0.1269230769,2.021951651,0.4394483344,0.05525,55.25
shanghai_composite,lag1_cost10,1,10,constant_075,0.05116257918,0,0.1720484271,0.75,6.807854932,0.03698670317,0.06086559402,0.006761587286,-0.02700097309,0,1.582503317,-0.6076783405,7.194958044,5720,-0.3871031123,0.2973731294,0.4119508914,1,1.28048029,-0.3020230269,0,0
