vehicle,scenario,policy,excluded_crisis,annualized_mean_return,annualized_turnover,annualized_volatility,average_gross,avoided_downside,cagr,calmar,certainty_equivalent,cvar_95,exposure_change_count,full_gross_total_return,max_drawdown,missed_upside,n_sessions,policy_excess_vs_full,sharpe,sortino,time_reduced,total_return,total_return_delta_vs_full,transaction_cost,turnover
shanghai_composite,lag1_cost10,constant_075,tightening_2009_10,0.06519632375,0,0.1704850639,0.75,6.413360619,0.05192534916,0.08544874104,0.02159858824,-0.02652322185,0,2.782718737,-0.6076783405,6.887413782,5497,-0.4740531636,0.3824166309,0.5333416473,1,2.016948492,-0.7657702455,0,0
shanghai_composite,lag1_cost10,constant_075,trade_deleveraging_2018,0.06518560437,0,0.1728413963,0.75,6.493474714,0.05148425915,0.08472288004,0.02037438193,-0.02709220217,0,2.716522478,-0.6076783405,6.966932589,5491,-0.4734578751,0.377141158,0.5239457925,1,1.985902067,-0.7306204114,0,0
shanghai_composite,lag1_cost10,constant_100,bear_2004_05,0.09661115261,0,0.2295768883,1,0,0.07264326415,0.10091475,0.01755283113,-0.03663686472,0,3.510086697,-0.7198478335,0,5413,0,0.4208226416,0.5811396849,0,3.510086697,0,0,0
shanghai_composite,lag1_cost10,constant_100,bubble_2015_16,0.09693917749,0,0.2198270746,1,0,0.07542546386,0.1047797331,0.02445326342,-0.03346165036,0,3.980504243,-0.7198478335,0,5564,0,0.4409792455,0.6226608282,0,3.980504243,0,0,0
shanghai_composite,lag1_cost10,constant_100,confidence_2023_24,0.0798083518,0,0.2319827649,1,0,0.0542056237,0.07530150287,-0.0009156529943,-0.03643343142,0,2.186812569,-0.7198478335,0,5533,0,0.3440270739,0.4768649425,0,2.186812569,0,0,0
shanghai_composite,lag1_cost10,constant_100,covid_2020,0.07506756867,0,0.2287062065,1,0,0.05002493087,0.06949375763,-0.003392224647,-0.0357285019,0,2.002008157,-0.7198478335,0,5675,0,0.3282270728,0.4561858117,0,2.002008157,0,0,0
shanghai_composite,lag1_cost10,constant_100,gfc_2007_08,0.1251212654,0,0.214370917,1,0,0.1074116932,0.2053771537,0.05618893028,-0.03262075936,0,8.124444561,-0.5229972823,0,5461,0,0.5836671649,0.8184923875,0,8.124444561,0,0,0
shanghai_composite,lag1_cost10,constant_100,property_2021_22,0.08086380849,0,0.2306022233,1,0,0.05566108891,0.07732340964,0.001097730408,-0.03609852339,0,2.31319116,-0.7198478335,0,5573,0,0.3506636117,0.4872239412,0,2.31319116,0,0,0
shanghai_composite,lag1_cost10,constant_100,slowdown_2011_12,0.09313678071,0,0.232873313,1,0,0.0681211853,0.09463275727,0.01179181082,-0.03679254265,0,3.019862223,-0.7198478335,0,5320,0,0.3999461316,0.5546894004,0,3.019862223,0,0,0
shanghai_composite,lag1_cost10,constant_100,tightening_2009_10,0.08692843167,0,0.2273134185,1,0,0.06289014234,0.08736588403,0.009421346308,-0.0353642958,0,2.782718737,-0.7198478335,0,5497,0,0.3824166309,0.5333416473,0,2.782718737,0,0,0
shanghai_composite,lag1_cost10,constant_100,trade_deleveraging_2018,0.08691413916,0,0.2304551951,1,0,0.0621000911,0.08626835869,0.007249743717,-0.03612293623,0,2.716522478,-0.7198478335,0,5491,0,0.377141158,0.5239457925,0,2.716522478,0,0,0
shanghai_composite,lag1_cost10,current_ladder,bear_2004_05,0.1005566125,3.837029374,0.2116579748,0.9405283577,2.008161865,0.08116030455,0.1265211304,0.03335796506,-0.03350670254,955,3.510086697,-0.6414762835,1.84099276,5413,0.08474910422,0.4750901193,0.6570022422,0.4005172732,4.345207316,0.8351206191,0.08242,82.42
shanghai_composite,lag1_cost10,current_ladder,bubble_2015_16,0.1015350817,3.92674335,0.2034482602,0.9417181884,1.945943268,0.08413003377,0.1311506535,0.03944828979,-0.03067589578,1008,3.980504243,-0.6414762835,1.757768622,5564,0.1014746466,0.4990707788,0.7070044406,0.4011502516,4.950788374,0.9702841311,0.0867,86.7
shanghai_composite,lag1_cost10,current_ladder,confidence_2023_24,0.08570371206,4.240231339,0.2138101643,0.9368299295,2.175794087,0.06475214925,0.1009423901,0.01713153253,-0.03336780983,1054,2.186812569,-0.6414762835,1.953253498,5533,0.1294405887,0.4008402142,0.5566520038,0.4182179649,2.965319071,0.778506502,0.0931,93.1
shanghai_composite,lag1_cost10,current_ladder,covid_2020,0.08087754243,4.147453744,0.2107050409,0.9382202643,2.181031387,0.06033756202,0.09406047203,0.01428262103,-0.03264564878,1064,2.002008157,-0.6414762835,1.956791701,5675,0.1308396868,0.3838424656,0.534759341,0.4140969163,2.741089841,0.7390816847,0.0934,93.4
shanghai_composite,lag1_cost10,current_ladder,gfc_2007_08,0.1216624251,3.96296649,0.2035167225,0.9461527193,1.443061436,0.1061068782,0.208774716,0.05953384056,-0.03097566626,998,8.124444561,-0.5082362471,1.432136701,5461,-0.07495526572,0.5978006307,0.8394241247,0.3898553379,7.894280288,-0.2301642731,0.08588,85.88
shanghai_composite,lag1_cost10,current_ladder,property_2021_22,0.08495934842,4.077760632,0.2131760562,0.9415754531,2.046250227,0.06410673161,0.0999362459,0.01679330201,-0.03314770391,1034,2.31319116,-0.6414762835,1.865497037,5573,0.09057319058,0.3985407645,0.5542544176,0.3978108739,2.951660549,0.6384693891,0.09018,90.18
shanghai_composite,lag1_cost10,current_ladder,slowdown_2011_12,0.09965493093,3.837315789,0.2150279171,0.9412894737,2.005572,0.07942105803,0.1238098119,0.03029942321,-0.03368065902,941,3.019862223,-0.6414762835,1.786956607,5320,0.1376053934,0.4634511289,0.6444128639,0.4011278195,4.019916446,1.000054223,0.08101,81.01
shanghai_composite,lag1_cost10,current_ladder,tightening_2009_10,0.09320932507,4.241411679,0.2086198823,0.9364689831,2.176801649,0.07396305297,0.1153013056,0.02792594214,-0.03208980713,1040,2.782718737,-0.6414762835,1.947273431,5497,0.1370082182,0.4467902294,0.6251603804,0.4213207204,3.742264134,0.9595453967,0.09252,92.52
