bar_close_date,close_2w,macd,signal,hist,hist_sign,hist_d1,hist_d1_state,state,cross,actionable_from,construction
2009-11-27,1.5333329439163208,0.4104372935065732,0.44999389444281035,-0.03955660093623714,negative,-0.11333310945573838,contracting,bear,bearish_cross,2009-12-11,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2011-02-18,0.1166670024394989,-0.31341859629091345,-0.313966908606843,0.0005483123159295555,positive,0.008614929108626934,expanding,bull,bullish_cross,2011-03-04,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2013-01-04,0.0733330026268959,-0.017001605561580257,-0.01670606145705275,-0.00029554410452750646,negative,-0.0006226143298043718,contracting,bear,bearish_cross,2013-01-18,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2013-02-01,0.08333300054073334,-0.01663380472855376,-0.016795207642960823,0.00016140291440706195,positive,0.0006793905724463284,expanding,bull,bullish_cross,2013-02-15,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2013-02-15,0.07000000029802322,-0.016943942084769667,-0.016824954531322593,-0.00011898755344707385,negative,-0.0002803904678541358,contracting,bear,bearish_cross,2013-03-01,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2013-03-01,0.08333300054073334,-0.01593023696636904,-0.016646011018331866,0.0007157740519628253,positive,0.0008347616054098991,expanding,bull,bullish_cross,2013-03-15,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2013-12-20,0.11999999731779099,0.009342302281724363,0.010012260372103775,-0.0006699580903794123,negative,-0.0017491848413310421,contracting,bear,bearish_cross,2014-01-03,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2014-03-14,0.33333298563957214,0.022144162106739473,0.010664664510291213,0.01147949759644826,positive,0.012760408629414983,expanding,bull,bullish_cross,2014-03-28,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2014-07-04,0.22666700184345245,0.03070870508678436,0.031051415116146695,-0.000342710029362335,negative,-0.00158147532512172,contracting,bear,bearish_cross,2014-07-18,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2015-02-13,0.3199999928474426,0.011667576754373021,0.004161052597062276,0.007506524157310746,positive,0.008864425804696607,expanding,bull,bullish_cross,2015-02-27,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2015-09-11,0.6033329963684082,0.132921198816215,0.1486790576387398,-0.015757858822524784,negative,-0.01594991082209654,contracting,bear,bearish_cross,2015-09-25,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2016-05-06,0.8199999928474426,0.05237371705625482,0.04742271996776716,0.00495099708848766,positive,0.007111847740581961,expanding,bull,bullish_cross,2016-05-20,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2016-07-15,0.713333010673523,0.05531136222450583,0.056658017551157853,-0.00134665532665202,negative,-0.007422256388040366,contracting,bear,bearish_cross,2016-07-29,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2016-12-02,0.8833330273628235,0.031051066478663403,0.028842825741999478,0.0022082407366639245,positive,0.011044709159722547,expanding,bull,bullish_cross,2016-12-16,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2017-07-28,1.1766669750213623,0.1435013792909745,0.14694192156795008,-0.0034405422769755722,negative,-0.018189539641314784,contracting,bear,bearish_cross,2017-08-11,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2017-08-25,1.600000023841858,0.15799219772589512,0.14837691357899438,0.009615284146900743,positive,0.013490600249624451,expanding,bull,bullish_cross,2017-09-08,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2017-12-01,1.6433329582214355,0.20677022757720076,0.20703946164286388,-0.0002692340656631209,negative,-0.015256257404371087,contracting,bear,bearish_cross,2017-12-15,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2019-03-22,1.5333329439163208,-0.06159442167188445,-0.07307018116021911,0.011475759488334666,positive,0.025081658137942872,expanding,bull,bullish_cross,2019-04-05,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2019-09-20,1.1799999475479126,-0.02298900721942676,-0.01198172441010495,-0.011007282809321811,negative,-0.012063363504598168,contracting,bear,bearish_cross,2019-10-04,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2019-11-29,1.6166670322418213,-0.02024710821621034,-0.033258121086732984,0.013011012870522642,positive,0.029036051139328695,expanding,bull,bullish_cross,2019-12-13,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2020-04-03,1.2799999713897705,0.07594378509660116,0.07829983558653669,-0.002356050489935535,negative,-0.03674664581862232,contracting,bear,bearish_cross,2020-04-17,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2020-05-15,2.1600000858306885,0.10338875801060654,0.07842863947235312,0.024960118538253417,positive,0.03555190852697722,expanding,bull,bullish_cross,2020-05-29,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
