date,state,era,spy_20d,row_20d,spy_63d,row_63d,usd_20d,usd_63d,emfx_63d,vix,raw_state
1993-01-29,mixed,pre2010,,,,,,,,12.420000076293945,mixed
1993-02-01,mixed,pre2010,,,,,,,,12.329999923706055,mixed
1993-02-02,mixed,pre2010,,,,,,,,12.25,mixed
1993-02-03,mixed,pre2010,,,,,,,,12.119999885559082,mixed
1993-02-04,mixed,pre2010,,,,,,,,12.289999961853027,mixed
1993-02-05,mixed,pre2010,,,,,,,,12.899999618530273,mixed
1993-02-08,mixed,pre2010,,,,,,,,13.220000267028809,mixed
1993-02-09,mixed,pre2010,,,,,,,,13.479999542236328,mixed
1993-02-10,mixed,pre2010,,,,,,,,13.430000305175781,mixed
1993-02-11,mixed,pre2010,,,,,,,,12.6899995803833,mixed
1993-02-12,mixed,pre2010,,,,,,,,12.380000114440918,mixed
1993-02-16,mixed,pre2010,,,,,,,,15.760000228881836,mixed
1993-02-17,mixed,pre2010,,,,,,,,15.899999618530273,mixed
1993-02-18,mixed,pre2010,,,,,,,,15.5600004196167,mixed
1993-02-19,mixed,pre2010,,,,,,,,15.020000457763672,mixed
1993-02-22,mixed,pre2010,,,,,,,,14.699999809265137,mixed
1993-02-23,mixed,pre2010,,,,,,,,15.039999961853027,mixed
1993-02-24,mixed,pre2010,,,,,,,,14.720000267028809,mixed
1993-02-25,mixed,pre2010,,,,,,,,13.760000228881836,mixed
1993-02-26,mixed,pre2010,,,,,,,,13.15999984741211,mixed
1993-03-01,mixed,pre2010,0.007823120798525318,0.0,,,0.018602652365718786,,,13.600000381469727,mixed
1993-03-02,mixed,pre2010,0.015537396017503813,0.0,,,-0.003420261897974175,,,12.489999771118164,mixed
1993-03-03,mixed,pre2010,0.017617648574009825,0.0,,,-0.005536591281986913,,,13.130000114440918,mixed
1993-03-04,mixed,pre2010,0.001394880420642508,0.0,,,-0.010823394165828448,,,13.4399995803833,mixed
1993-03-05,mixed,pre2010,-0.005555270103680177,0.0,,,-0.0024330448588710807,,,14.079999923706055,mixed
1993-03-08,mixed,pre2010,0.017374113932369095,0.0,,,-0.004025475388454547,,,16.219999313354492,mixed
1993-03-09,mixed,pre2010,0.013898797788680417,0.0,,,0.0003179520909595279,,,14.170000076293945,mixed
1993-03-10,mixed,pre2010,0.023092783953307272,0.0,,,0.0027650977305735402,,,13.90999984741211,mixed
1993-03-11,mixed,pre2010,0.018867712450908902,0.0,,,-0.0012701391015903507,,,14.260000228881836,mixed
1993-03-12,mixed,pre2010,0.0034764949537711143,0.0,,,0.0019084001882758717,,,15.65999984741211,mixed
1993-03-15,mixed,pre2010,0.01611818191429082,0.0,,,0.0027586433552304612,,,14.739999771118164,mixed
1993-03-16,mixed,pre2010,0.04241565825105953,0.0,,,0.012998246443959527,,,14.510000228881836,mixed
1993-03-17,mixed,pre2010,0.0366901033763114,0.0,,,0.013881425925869717,,,14.529999732971191,mixed
1993-03-18,mixed,pre2010,0.04391622708671794,0.0,,,-0.00021455626310273868,,,14.170000076293945,mixed
1993-03-19,mixed,pre2010,0.03859744725061165,0.0,,,-0.004927681756740299,,,13.229999542236328,mixed
1993-03-22,mixed,pre2010,0.029141051028397147,0.0,,,0.0029141569198030126,,,13.65999984741211,mixed
