theme,subsector_key,subsector,description,num_members,members
FinTech,fintechpayments,Payments,Digital Payments & Merchant Infrastructure,12,V MA PYPL XYZ TOST FISV GPN FOUR AXP AFRM ACIW DLO
FinTech,fintechneobanks,Neobanks,Digital Banking & Neobanks,6,SOFI NU XYZ ALLY DAVE MQ
FinTech,fintechlending,Lending,"Lending, Credit & BNPL",6,UPST AFRM LC XYZ PYPL SOFI
FinTech,fintechtrading,Trading,Trading Platforms & WealthTech,7,HOOD IBKR ETOR SCHW SOFI ORLY VIRT
FinTech,fintechblockchain,Blockchain,"Crypto, Blockchain & Tokenization",7,COIN RIOT MARA CLSK XYZ MSTR NVDA
FinTech,fintechexchanges,Exchanges,Exchanges & Market Infrastructure,7,CME ICE NDAQ CBOE MKTX TW COIN
FinTech,fintechinsurance,Insurance,InsurTech & Embedded Insurance,8,LMND ROOT HIPO TRUP OSCR GWRE SLQT EVER
Crypto & Blockchain,blockchainplatforms,Platforms,Cryptocurrency Platforms,5,COIN HOOD XYZ BKKT PYPL
Crypto & Blockchain,blockchaininfrastructure,Infrastructure,Blockchain Infrastructure,4,XYZ IBM AMZN COIN
Crypto & Blockchain,blockchainpayments,Payments,Financial Services & Payments,6,XYZ JPM PYPL V MA COIN
Crypto & Blockchain,blockchainenterprise,Enterprise,Enterprise Blockchain Solutions,7,IBM ORCL ACN MSFT AMZN WMT CRM
Crypto & Blockchain,blockchaintokenization,Tokenization,Tokenization & Digital Assets,8,BLK COIN XYZ WT NDAQ IBM TROW MSFT
Crypto & Blockchain,blockchainmining,Mining,Cryptocurrency Mining & Staking,9,MARA RIOT CLSK CORZ IREN CIFR HUT BTDR COIN
