arm,node_etf,window_id,pit_member,n,wr21,mean_ret21
IN,XLB,0.0,False,504,0.8611111111111112,0.10026582449403738
IN,XLB,0.0,True,396,0.8308080808080808,0.09081665091224798
IN,XLB,1.0,False,810,0.7592592592592593,0.05577710589060939
IN,XLB,1.0,True,720,0.6666666666666666,0.030038637510680193
IN,XLB,2.0,False,841,0.4994054696789536,0.002995414015508984
IN,XLB,2.0,True,696,0.5502873563218391,0.007379557997653723
IN,XLB,3.0,False,899,0.8398220244716351,0.09371590274609264
IN,XLB,3.0,True,775,0.7974193548387096,0.06114597294583093
IN,XLE,5.0,False,252,0.9404761904761905,0.1762329930603514
IN,XLE,5.0,True,238,0.9411764705882353,0.10245003222303248
IN,XLE,6.0,False,342,0.23976608187134502,-0.05679578370521926
IN,XLE,6.0,True,380,0.34210526315789475,-0.01945663509996871
IN,XLE,7.0,False,306,0.8856209150326797,0.06954891580135948
IN,XLE,7.0,True,340,0.7323529411764705,0.023547205310716596
IN,XLE,8.0,False,216,0.6805555555555556,0.01654626043470773
IN,XLE,8.0,True,252,0.48412698412698413,-0.0004167641118132492
IN,XLF,11.0,False,888,0.7443693693693694,0.05966634370563654
IN,XLF,11.0,True,732,0.8784153005464481,0.07156817095750544
IN,XLF,12.0,False,1480,0.8756756756756757,0.09955486081174729
IN,XLF,12.0,True,1280,0.940625,0.08816684843112929
IN,XLF,13.0,False,1368,0.23172514619883042,-0.03043807634028954
IN,XLF,13.0,True,1152,0.3107638888888889,-0.020338591884152372
IN,XLF,14.0,False,1533,0.48988910632746246,-0.005357472725430451
IN,XLF,14.0,True,1428,0.5245098039215687,0.002227460715862672
IN,XLF,15.0,False,2847,0.632946961714085,0.04602527602257226
IN,XLF,15.0,True,2686,0.6355174981384959,0.03394255520899335
IN,XLF,16.0,False,2164,0.738909426987061,0.03744536779064465
IN,XLF,16.0,True,2176,0.7380514705882353,0.039316765367537455
IN,XLI,18.0,False,1445,0.802076124567474,0.08602245450062179
IN,XLI,18.0,True,1207,0.9204639602319801,0.10822485276526331
IN,XLI,19.0,False,2717,0.6753772543246227,0.03569248898503084
IN,XLI,19.0,True,2339,0.7144078666096623,0.048463179614910215
IN,XLI,20.0,False,946,0.3287526427061311,-0.025223272311014625
IN,XLI,20.0,True,814,0.2972972972972973,-0.026295715372562034
IN,XLI,21.0,False,2175,0.4193103448275862,-0.030966666974205612
