family,node,trigger_date,era,state,label_good,label_rot21,label_false_start_5d,accel_z,accel_z_5d,accel,rs_pctile_252d,persistence,washout_w,stochrsi_w_k,stochrsi_kd_diff,vix_pctile,spy_above_200d,tlt_ret_10d,flow_opp_out_20s,flow_same_out_20s,active_in_episodes,prev_same_node_outcome,sigma20
ep_onset_in,XLE,1999-08-09,1999-2014,STOPPED,0,0,0,2.168803219561096,1.2086093946302368,0.06359517207552187,,0.55,0.0,22.48259865722109,-6.549033917998425,,0.0,,1,0,0,0.0,0.0676948767767913
ep_onset_in,XLE,1999-11-12,1999-2014,STOPPED,0,0,1,3.2056402221284612,1.5436761551777487,0.0944765317561974,,0.4,0.0,22.54253146443106,1.6603916906160023,0.10619469026548672,1.0,,0,0,2,0.0,0.0754124133456988
ep_onset_in,XLE,2001-04-11,1999-2014,CUSHIONED,1,0,0,1.6665675652408327,1.3661656108984157,0.05051514950919073,0.29880478087649404,0.4,1.0,2.655404207483204,-12.362378638163975,0.9126984126984127,0.0,,2,0,2,0.0,0.0899217371070747
ep_onset_in,XLE,2001-10-10,1999-2014,STOPPED,0,0,1,2.391483129268287,2.136068537680308,0.08508294917754257,0.9402390438247012,0.6,1.0,34.489028421892236,17.47709600715772,0.9484126984126984,0.0,,3,1,2,1.0,0.1184291438080996
ep_onset_in,XLE,2002-08-12,1999-2014,DEAD_MONEY,0,0,0,3.16982908066517,1.0033543256129476,0.12758435068449336,0.5896414342629482,0.6,1.0,12.794790099553273,8.529860066368848,0.9682539682539683,0.0,,1,0,1,0.0,0.1706476140622795
ep_onset_in,XLE,2003-12-03,1999-2014,CLEAN_LIFTOFF,1,1,0,1.0517172784042197,1.1064294708605353,0.020839290550056,0.30278884462151395,0.5,0.0,28.621437930159846,4.6289230820532765,0.01984126984126984,1.0,-0.021995117835202138,0,0,1,0.0,0.0275625717636337
ep_onset_in,XLE,2004-06-18,1999-2014,CUSHIONED,1,0,1,1.626663627346738,1.160514305560709,0.03279609582353653,0.5697211155378487,0.45,0.0,51.78913645499778,21.001358095306674,0.03571428571428571,1.0,0.007319336382472619,0,0,5,1.0,0.053302354213895
ep_onset_in,XLE,2004-09-02,1999-2014,CLEAN_LIFTOFF,1,1,0,1.7910492063352628,1.0688906337195643,0.036735533184389754,0.28286852589641437,0.55,1.0,13.294758328469776,-1.6941433410616984,0.007936507936507936,1.0,0.004352205785424834,2,0,2,1.0,0.0511994492503203
ep_onset_in,XLE,2005-02-02,1999-2014,CLEAN_LIFTOFF,1,1,0,1.330272460662547,1.0662108875204894,0.0301026477709159,0.8127490039840638,0.6,1.0,33.16211194532725,10.421978329161114,0.007936507936507936,1.0,0.0115210668345056,4,0,1,1.0,0.0410207975361477
ep_onset_in,XLE,2005-06-16,1999-2014,CLEAN_LIFTOFF,1,0,1,1.0872130504995068,1.1093787689044077,0.031915109631022724,0.8366533864541833,0.55,0.0,34.59200566001027,12.846266810922831,0.001984126984126984,1.0,-0.017701118107930625,0,0,3,1.0,0.0465320875884937
