asset,as_of,price,return_1w,return_1m,return_3m,return_6m,return_12m,return_ytd,drawdown_52w,distance_from_50d_ma,distance_from_200d_ma,excess_spy_1m,excess_spy_3m,excess_spy_6m
SPY,2026-07-10,754.9500122070312,0.013655015588639463,0.026924820733799093,0.1103676104579634,0.09778671178599185,0.22000076736425478,0.11011817470024621,-0.0035218435911847923,0.019607353395339366,0.09013361987147128,,,
QQQ,2026-07-10,725.510009765625,0.01811680412853245,0.02610417014118016,0.18899032573922314,0.16410495316406148,0.3091308214950763,0.18250528741029304,-0.026606445558406633,0.014887140073329475,0.13858266290156362,,,
RSP,2026-07-10,214.3000030517578,-0.0028384002603742964,0.028394942308792137,0.08188611202930729,0.10486913336739212,0.17488932577544314,0.12349895712663739,-0.0032557997592660426,0.031489239252022294,0.08807795738667301,,,
IWM,2026-07-10,295.989990234375,-0.005343088949647856,0.040958201004424266,0.12990532863539372,0.16062511970180582,0.334025172349409,0.20456819353768219,-0.01484447259593713,0.026441247172913185,0.13175960555716792,,,
SMH,2026-07-10,611.030029296875,0.031639993862374816,0.03387424781382187,0.41997637229814355,0.5870085884688383,1.1474712858679963,0.6966929192576059,-0.0865287500133447,0.035287557270188064,0.41143412012294567,,,
XLB,2026-07-10,50.88999938964844,-0.02153430048124161,0.006111479694554944,-0.015095777180918701,0.09503670121181629,0.12495108040521985,0.12715134920117244,-0.046693108611106204,-0.004432530434913318,0.05472796340331376,-0.02081334103924415,-0.1254633876388821,-0.0027500105741755654
XLE,2026-07-10,55.08000183105469,0.0349492778596181,-0.03332939672715385,-0.03924646656440911,0.22844845518835122,0.2807086090712172,0.23998836519978695,-0.11956520744946453,-0.02696182460523533,0.07495694033421052,-0.06025421746095294,-0.1496140770223725,0.13066174340235936
XLF,2026-07-10,55.709999084472656,0.0016181257518201875,0.0656719548040805,0.08533015969557334,0.006947809584538112,0.07589803781044324,0.0223912419042549,-0.007659428390643486,0.0584131830487955,0.06375129917237277,0.03874713407028141,-0.025037450762390057,-0.09083890220145374
XLI,2026-07-10,181.9199981689453,-0.010820539685379105,0.038539695282475916,0.056507320922130955,0.14758237169732102,0.22623286589173874,0.17606483044715637,-0.01961629358449979,0.03287052184090111,0.10392591079107127,0.011614874548676823,-0.05386028953583244,0.04979565991132917
XLK,2026-07-10,185.77999877929688,0.028739146944194882,0.02894015077030576,0.307665159440214,0.26943962948848754,0.446942226312522,0.2920121725460634,-0.06159373123471179,0.026697083348278694,0.21772819300462554,0.0020153300365066684,0.1972975489822506,0.1716529177024957
XLP,2026-07-10,84.12000274658203,-0.01023644121725964,0.007178093168507038,0.00802882951278483,0.10406542816445152,0.062327492340941815,0.08899961717323723,-0.06017675444323933,0.0027745037994326704,0.03448215442668534,-0.019746727565292055,-0.10233878094517856,0.00627871637845967
XLU,2026-07-10,45.40999984741211,-0.00764856833389338,0.039107917891685995,-0.036903533873944294,0.09212997639214948,0.13260485075091943,0.07115204130572295,-0.041955168272896914,0.01225625282509446,0.021413379746045846,0.012183097157886902,-0.1472711443319077,-0.0056567353938423715
XLV,2026-07-10,160.83999633789062,-0.017711060571538262,0.0451531968769574,0.0770775756090718,0.011532018334000416,0.20252913285146112,0.043289422867740734,-0.02189252037258016,0.06437273502932817,0.07073798253782071,0.01822837614315831,-0.03329003484889159,-0.08625469345199144
XLY,2026-07-10,117.23999786376953,0.0010245484492272805,0.013839775524489895,0.03991484907989462,-0.028324985475663533,0.07710375932239577,-0.016200392703424438,-0.05657308493351454,-0.0006618340101396392,0.00021195942354501618,-0.013085045209309198,-0.07045276137806877,-0.1261116972616554
XLRE,2026-07-10,44.45000076293945,-0.005147706818831033,-0.0029017957230281777,0.040252778823528734,0.11481728212998465,0.10104095384799705,0.10901533270219188,-0.017462442224076336,0.005193684000866172,0.0571612595477764,-0.02982661645682727,-0.07011483163443466,0.0170305703439928
XLC,2026-07-10,111.63999938964844,0.01861314729861996,0.004040485269924732,-0.023015641294127476,-0.04350278176130962,0.05315425315425326,-0.04862166996928752,-0.06731964821346847,-0.01008549113144952,-0.024932339448946794,-0.02288433546387436,-0.13338325175209087,-0.14128949354730147
HYG,2026-07-10,79.70999908447266,0.0,0.005771193685977227,0.003211737398410186,0.010477182426366083,0.04884241577260773,0.01361023693320429,-0.0023904818432233244,0.0023456660904404014,0.012431027672371586,,,
TLT,2026-07-10,84.47000122070312,-0.012162330599296056,-0.003971195942350514,-0.018276920757862247,-0.019619559346227167,0.012243947122122512,-0.012533336520344274,-0.05593875141929128,-0.007871946595222501,-0.021701937479878808,,,
_VIX,2026-07-10,15.029999732971191,-0.06934983975318554,-0.32358234935057006,-0.2139121823608765,0.037267078701365364,-0.08353658033083888,0.005351165533559188,-0.515942025691526,-0.1343562255496067,-0.19506220856269585,,,
