state,asset,n,mean_return,mean_excess_spy,excess_hit_rate,mean_excess_ci_low,mean_excess_ci_high,mean_excess_pvalue
SPY_up_month,DEF,110,0.02255101712751766,-0.01030891459750732,0.38181818181818183,-0.015159933813172995,-0.005457895381841646,5.232940737256089e-05
SPY_up_month,XLV,110,0.02806526830919807,-0.004794663415826916,0.44545454545454544,-0.010227953832537086,0.0006386270008832554,0.08310461711409159
SPY_up_month,XLP,110,0.02037426369145959,-0.012485668033565395,0.32727272727272727,-0.017562423741755286,-0.0074089123253755045,3.732749840252141e-06
SPY_up_month,XLU,110,0.019060738621451575,-0.013799193103573406,0.4,-0.021608770329299445,-0.005989615877847367,0.0006704498351798226
SPY_up_month,XLK,110,0.039951005749329783,0.007091074024304796,0.5727272727272728,0.0024639844708683007,0.011718163577741292,0.0029863746718307724
SPY_down_month,DEF,46,-0.021745495717401475,0.014843106380239798,0.6956521739130435,0.007537265150730937,0.02214894760974866,0.0001749824622728479
SPY_down_month,XLV,46,-0.030109717301169056,0.006478884796472213,0.5217391304347826,-0.0023249786941941077,0.015282748287138534,0.14525492410322033
SPY_down_month,XLP,46,-0.02166013370131428,0.014928468396326998,0.6739130434782609,0.005568435181104281,0.024288501611549714,0.002433959593107863
SPY_down_month,XLU,46,-0.013555194628055866,0.02303340746958541,0.6956521739130435,0.011668221865188528,0.0343985930739823,0.00018061274661807528
SPY_down_month,XLK,46,-0.03702155602984733,-0.00043295393220605554,0.45652173913043476,-0.006546127911892979,0.005680220047480869,0.8872073092965165
after_SPY_up_month,DEF_next_month_excess,109,,-0.0019217988582925507,0.45871559633027525,-0.006657983496839677,0.002814385780254576,0.42298756519350184
after_SPY_down_month,DEF_next_month_excess,46,,-0.0054461343710162065,0.5,-0.015524997028478284,0.004632728286445872,0.2822462585615297
