sample,phase,horizon,asset,n,mean_return,median_return,positive_rate,mean_excess_spy,excess_hit_rate
modern_2013_2025,election,apr_oct,DEF,3,0.08800144366825398,0.0973310650869963,1.0,-0.05078644513403008,0.3333333333333333
modern_2013_2025,election,apr_oct,QQQ,3,0.1957154248959423,0.09299346708063072,1.0,0.05692753609365823,0.6666666666666666
modern_2013_2025,election,apr_oct,SPY,3,0.13878788880228407,0.09397281926226997,1.0,0.0,0.0
modern_2013_2025,election,apr_oct,XLK,3,0.17857762482065245,0.07862883682488975,1.0,0.0397897360183684,0.6666666666666666
modern_2013_2025,election,apr_oct,XLP,3,0.07628239254319598,0.06277991664628235,1.0,-0.06250549625908808,0.0
modern_2013_2025,election,apr_oct,XLU,3,0.1310587473757685,0.1449515469159508,1.0,-0.007729141426515558,0.3333333333333333
modern_2013_2025,election,apr_oct,XLV,3,0.05352380707043358,0.0017966228873818046,1.0,-0.08526408173185047,0.0
modern_2013_2025,election,full_year,DEF,3,0.09144604100169278,0.08504158359544278,1.0,-0.09260750461214418,0.0
modern_2013_2025,election,full_year,QQQ,3,0.2702741748961315,0.2557825412930894,1.0,0.08622062928229453,0.6666666666666666
modern_2013_2025,election,full_year,SPY,3,0.18405354561383694,0.18331624006113123,1.0,0.0,0.0
modern_2013_2025,election,full_year,XLK,3,0.2675373039007214,0.21630625542000015,1.0,0.08348375828688444,0.6666666666666666
modern_2013_2025,election,full_year,XLP,3,0.09097844134001247,0.10110763648772103,1.0,-0.09307510427382448,0.0
modern_2013_2025,election,full_year,XLU,3,0.1329969248177989,0.16076330899885694,1.0,-0.051056620796038045,0.3333333333333333
modern_2013_2025,election,full_year,XLV,3,0.04335987180484269,0.024744469352987908,0.6666666666666666,-0.14069367380899425,0.0
modern_2013_2025,election,jul_dec,DEF,3,0.04777078136160806,0.038783418183645946,0.6666666666666666,-0.0806161349156479,0.0
modern_2013_2025,election,jul_dec,QQQ,3,0.1491469782472242,0.10775627654981434,1.0,0.02076006196996823,0.6666666666666666
modern_2013_2025,election,jul_dec,SPY,3,0.12838691627725596,0.08385628882945984,1.0,0.0,0.0
modern_2013_2025,election,jul_dec,XLK,3,0.1353123998474636,0.12461035718900493,1.0,0.006925483570207651,0.6666666666666666
modern_2013_2025,election,jul_dec,XLP,3,0.05234541552480321,0.03979333973534227,0.6666666666666666,-0.07604150075245275,0.0
modern_2013_2025,election,jul_dec,XLU,3,0.06677805887602943,0.1275936745983759,0.6666666666666666,-0.061608857401226534,0.3333333333333333
modern_2013_2025,election,jul_dec,XLV,3,0.021273812796842633,-0.030671906882789535,0.3333333333333333,-0.10711310348041332,0.0
modern_2013_2025,election,q2,DEF,3,0.05291140329696886,0.059027702087021794,1.0,-0.03708098763018793,0.3333333333333333
modern_2013_2025,election,q2,QQQ,3,0.12362337934674668,0.08076730412029676,0.6666666666666666,0.03363098841958989,0.6666666666666666
modern_2013_2025,election,q2,SPY,3,0.08999239092715679,0.04379105575825881,1.0,0.0,0.0
modern_2013_2025,election,q2,XLK,3,0.12475904060531635,0.08813982542226184,0.6666666666666666,0.03476664967815957,0.6666666666666666
modern_2013_2025,election,q2,XLP,3,0.047013508039727814,0.04564301982148078,1.0,-0.04297888288742898,0.3333333333333333
modern_2013_2025,election,q2,XLU,3,0.04643112471129185,0.046296829476891066,1.0,-0.043561266215864945,0.6666666666666666
modern_2013_2025,election,q2,XLV,3,0.06240086595612789,0.062240772358948426,0.6666666666666666,-0.027591524971028902,0.3333333333333333
modern_2013_2025,midterm,apr_oct,DEF,3,0.0545896995669957,0.08256251461014519,0.6666666666666666,0.058376539514635284,1.0
modern_2013_2025,midterm,apr_oct,QQQ,3,-0.0010997662529014611,0.06469568753966559,0.6666666666666666,0.0026870736947381215,0.6666666666666666
modern_2013_2025,midterm,apr_oct,SPY,3,-0.003786839947639583,0.03771947328184022,0.6666666666666666,0.0,0.0
modern_2013_2025,midterm,apr_oct,XLK,3,0.00018309612997731892,0.06666614596567388,0.6666666666666666,0.003969936077616902,0.6666666666666666
modern_2013_2025,midterm,apr_oct,XLP,3,0.04394866493957261,0.06075369820955312,0.6666666666666666,0.0477355048872122,1.0
modern_2013_2025,midterm,apr_oct,XLU,3,0.035968045043774856,0.08167898832307019,0.6666666666666666,0.03975488499141444,1.0
modern_2013_2025,midterm,apr_oct,XLV,3,0.07784858643123438,0.0979813795154052,0.6666666666666666,0.08163542637887396,1.0
modern_2013_2025,midterm,full_year,DEF,3,0.08084655322165997,0.009374540584333069,0.6666666666666666,0.111781722660883,1.0
modern_2013_2025,midterm,full_year,QQQ,3,-0.045072773738285554,-0.0012621730398721942,0.3333333333333333,-0.014137604299062523,0.6666666666666666
modern_2013_2025,midterm,full_year,SPY,3,-0.03093516943922303,-0.04568982995892401,0.3333333333333333,0.0,0.0
modern_2013_2025,midterm,full_year,XLK,3,-0.03853717556500328,-0.016772200295031348,0.3333333333333333,-0.007602006125780251,0.6666666666666666
modern_2013_2025,midterm,full_year,XLP,3,0.022797392704210846,-0.00809424895941524,0.3333333333333333,0.05373256214343388,0.6666666666666666
modern_2013_2025,midterm,full_year,XLU,3,0.11375111761020247,0.03935172540404541,1.0,0.14468628704942552,1.0
modern_2013_2025,midterm,full_year,XLV,3,0.09779017606641523,0.06279980339421876,0.6666666666666666,0.12872534550563827,1.0
modern_2013_2025,midterm,jul_dec,DEF,3,0.06157417017669994,0.04680808429033445,1.0,0.05680358342644698,1.0
modern_2013_2025,midterm,jul_dec,QQQ,3,-0.012301177780175735,-0.04596418565912863,0.3333333333333333,-0.01707176453042869,0.3333333333333333
modern_2013_2025,midterm,jul_dec,SPY,3,0.004770586750252955,0.022569162188641467,0.6666666666666666,0.0,0.0
modern_2013_2025,midterm,jul_dec,XLK,3,-0.009417589901050386,-0.0158475899123256,0.3333333333333333,-0.014188176651303341,0.3333333333333333
modern_2013_2025,midterm,jul_dec,XLP,3,0.04999150635356586,0.04700779563244106,1.0,0.045220919603312905,1.0
modern_2013_2025,midterm,jul_dec,XLU,3,0.047605016305494775,0.036360353976139015,1.0,0.042834429555241825,0.6666666666666666
modern_2013_2025,midterm,jul_dec,XLV,3,0.0818509336956954,0.06794548512149112,1.0,0.07708034694544245,1.0
modern_2013_2025,midterm,q2,DEF,3,0.008006513637720055,0.018511008322047884,0.6666666666666666,0.0326691913706371,0.6666666666666666
modern_2013_2025,midterm,q2,QQQ,3,-0.025707580547464432,0.0740542314132917,0.6666666666666666,-0.0010449028145473882,0.6666666666666666
modern_2013_2025,midterm,q2,SPY,3,-0.024662677732917044,0.03552438777206213,0.6666666666666666,0.0,0.0
modern_2013_2025,midterm,q2,XLK,3,-0.02417298653313919,0.059884769300571294,0.6666666666666666,0.0004896911997778567,0.6666666666666666
modern_2013_2025,midterm,q2,XLP,3,-0.00391023153883685,-0.013319849598500633,0.3333333333333333,0.020752446194080194,0.3333333333333333
modern_2013_2025,midterm,q2,XLU,3,0.02118213805882548,0.037497742486120034,0.6666666666666666,0.04584481579174252,1.0
modern_2013_2025,midterm,q2,XLV,3,0.004365810378554917,0.029105366068315375,0.6666666666666666,0.02902848811147196,0.3333333333333333
modern_2013_2025,post_election,apr_oct,DEF,4,0.06530446304676851,0.07055033506279484,1.0,-0.09159907996687766,0.0
modern_2013_2025,post_election,apr_oct,QQQ,4,0.23000215147771969,0.21020985951157356,1.0,0.07309860846407351,1.0
modern_2013_2025,post_election,apr_oct,SPY,4,0.15690354301364617,0.14987353236597822,1.0,0.0,0.0
modern_2013_2025,post_election,apr_oct,XLK,4,0.24840857527822757,0.20522204421297185,1.0,0.0915050322645814,0.75
modern_2013_2025,post_election,apr_oct,XLP,4,0.017043867489168835,0.0213552330450153,0.5,-0.13985967552447734,0.0
modern_2013_2025,post_election,apr_oct,XLU,4,0.07731193562315858,0.07606673549184306,1.0,-0.0795916073904876,0.0
modern_2013_2025,post_election,apr_oct,XLV,4,0.10238900407235221,0.12698683400293587,0.75,-0.05451453894129396,0.25
modern_2013_2025,post_election,full_year,DEF,4,0.18456776627952554,0.1813792528689231,1.0,-0.06658448422554308,0.0
modern_2013_2025,post_election,full_year,QQQ,4,0.2937249074924969,0.30041629465392494,1.0,0.04257265698742829,0.75
