state,n,def_beta_to_spy,monthly_alpha,r_squared,observed_mean_excess_spy,beta_model_mean_excess_spy,conditional_residual_mean,conditional_residual_tstat,conditional_residual_pvalue
all_months,156,0.6012176222322175,0.002045238123591981,0.5440648904477187,-0.0028922930271459892,-0.00289229302714599,3.558407130208835e-19,1.9759782581679353e-16,0.9999999999999999
SPY_up_month,110,0.6012176222322175,0.002045238123591981,0.5440648904477187,-0.01030891459750732,-0.01105872358300047,0.0007498089854931529,0.34099798299563777,0.7337615129709985
SPY_down_month,46,0.6012176222322175,0.002045238123591981,0.5440648904477187,0.014843106380239798,0.01663612786728864,-0.0017930214870488432,-0.5734923463002088,0.5691665814228664
