sample,year,phase,horizon,asset,return,excess_spy
modern_2013_2025,2015,pre_election,apr_oct,DEF,0.01212459626481599,-0.005303255241493554
modern_2013_2025,2015,pre_election,apr_oct,XLV,-0.009031615957205474,-0.02645946746351502
modern_2013_2025,2015,pre_election,apr_oct,XLP,0.03637512038873392,0.018947268882424373
modern_2013_2025,2015,pre_election,apr_oct,XLU,0.0030336868473723744,-0.01439416465893717
modern_2013_2025,2015,pre_election,apr_oct,XLK,0.06283987517197742,0.04541202366566788
modern_2013_2025,2015,pre_election,jul_dec,SPY,0.0014546985637378107,0.0
modern_2013_2025,2015,pre_election,jul_dec,QQQ,0.05047757521046936,0.04902287664673155
modern_2013_2025,2015,pre_election,jul_dec,DEF,0.04010974878094764,0.03865505021720983
modern_2013_2025,2015,pre_election,jul_dec,XLV,-0.024097923870702753,-0.025552622434440564
modern_2013_2025,2015,pre_election,jul_dec,XLP,0.07542139349005139,0.07396669492631358
modern_2013_2025,2015,pre_election,jul_dec,XLU,0.06464830135403399,0.06319360279029618
modern_2013_2025,2015,pre_election,jul_dec,XLK,0.04442541463244298,0.04297071606870517
modern_2013_2025,2015,pre_election,q2,SPY,0.0020408587619460405,0.0
modern_2013_2025,2015,pre_election,q2,QQQ,0.01625204325308305,0.014211184491137008
modern_2013_2025,2015,pre_election,q2,DEF,-0.015557197579896376,-0.017598056341842416
modern_2013_2025,2015,pre_election,q2,XLV,0.029602767559871346,0.027561908797925305
modern_2013_2025,2015,pre_election,q2,XLP,-0.017336606900162033,-0.019377465662108073
modern_2013_2025,2015,pre_election,q2,XLU,-0.05835915711992745,-0.06040001588187349
modern_2013_2025,2015,pre_election,q2,XLK,0.0035298270015498012,0.0014889682396037607
modern_2013_2025,2016,election,full_year,SPY,0.11997971835036791,0.0
modern_2013_2025,2016,election,full_year,QQQ,0.07097899987620804,-0.04900071847415988
modern_2013_2025,2016,election,full_year,DEF,0.06272413656135689,-0.05725558178901102
modern_2013_2025,2016,election,full_year,XLV,-0.027617300651984644,-0.14759701900235256
modern_2013_2025,2016,election,full_year,XLP,0.04980614141381268,-0.07017357693655524
modern_2013_2025,2016,election,full_year,XLU,0.16076330899885694,0.04078359064848902
modern_2013_2025,2016,election,full_year,XLK,0.15011786236063673,0.03013814401026882
modern_2013_2025,2016,election,apr_oct,SPY,0.044835370458633284,0.0
modern_2013_2025,2016,election,apr_oct,QQQ,0.07688176348858256,0.03204639302994927
modern_2013_2025,2016,election,apr_oct,DEF,0.009267824821659332,-0.03556754563697395
modern_2013_2025,2016,election,apr_oct,XLV,0.0016670780322214362,-0.04316829242641185
modern_2013_2025,2016,election,apr_oct,XLP,0.007286912576871307,-0.037548457881761976
modern_2013_2025,2016,election,apr_oct,XLU,0.012883376842260041,-0.03195199361637324
modern_2013_2025,2016,election,apr_oct,XLK,0.07862883682488975,0.033793466366256464
modern_2013_2025,2016,election,jul_dec,SPY,0.07878285526055206,0.0
modern_2013_2025,2016,election,jul_dec,QQQ,0.10775627654981434,0.02897342128926228
modern_2013_2025,2016,election,jul_dec,DEF,-0.04401301389265211,-0.12279586915320417
modern_2013_2025,2016,election,jul_dec,XLV,-0.030671906882789535,-0.1094547621433416
modern_2013_2025,2016,election,jul_dec,XLP,-0.04953239381144259,-0.12831524907199465
modern_2013_2025,2016,election,jul_dec,XLU,-0.05739738058796007,-0.13618023584851213
modern_2013_2025,2016,election,jul_dec,XLK,0.12461035718900493,0.04582750192845286
modern_2013_2025,2016,election,q2,SPY,0.02456854733067626,0.0
modern_2013_2025,2016,election,q2,QQQ,-0.012578660213972026,-0.037147207544648286
modern_2013_2025,2016,election,q2,DEF,0.059027702087021794,0.034459154756345534
modern_2013_2025,2016,election,q2,XLV,0.062240772358948426,0.037672225028272166
modern_2013_2025,2016,election,q2,XLP,0.04564301982148078,0.02107447249080452
modern_2013_2025,2016,election,q2,XLU,0.06608601219179944,0.04151746486112318
modern_2013_2025,2016,election,q2,XLK,-0.0175576731224385,-0.04212622045311476
modern_2013_2025,2017,post_election,full_year,SPY,0.21705344779138724,0.0
modern_2013_2025,2017,post_election,full_year,QQQ,0.32663514951178296,0.10958170172039572
modern_2013_2025,2017,post_election,full_year,DEF,0.15747202648177017,-0.05958142130961708
modern_2013_2025,2017,post_election,full_year,XLV,0.21772845870868296,0.0006750109172957153
modern_2013_2025,2017,post_election,full_year,XLP,0.12981996478527424,-0.087233483006113
modern_2013_2025,2017,post_election,full_year,XLU,0.12048114846653335,-0.0965722993248539
modern_2013_2025,2017,post_election,full_year,XLK,0.34256458514992816,0.12551113735854091
modern_2013_2025,2017,post_election,apr_oct,SPY,0.10157984848759671,0.0
modern_2013_2025,2017,post_election,apr_oct,QQQ,0.15499578667044833,0.05341593818285162
modern_2013_2025,2017,post_election,apr_oct,DEF,0.05866029126531136,-0.042919557222285354
modern_2013_2025,2017,post_election,apr_oct,XLV,0.09913734153785336,-0.0024425069497433505
modern_2013_2025,2017,post_election,apr_oct,XLP,-0.013646685161697647,-0.11522653364929436
modern_2013_2025,2017,post_election,apr_oct,XLU,0.09123043165582057,-0.010349416831776148
modern_2013_2025,2017,post_election,apr_oct,XLK,0.1898222560160805,0.08824240752848378
modern_2013_2025,2017,post_election,jul_dec,SPY,0.11478563941292208,0.0
modern_2013_2025,2017,post_election,jul_dec,QQQ,0.1364962838313244,0.021710644418402314
modern_2013_2025,2017,post_election,jul_dec,DEF,0.045115957365663206,-0.06966968204725887
modern_2013_2025,2017,post_election,jul_dec,XLV,0.051439615867442834,-0.06334602354547925
modern_2013_2025,2017,post_election,jul_dec,XLP,0.04973732140376064,-0.06504831800916144
modern_2013_2025,2017,post_election,jul_dec,XLU,0.031112589884089603,-0.08367304952883248
modern_2013_2025,2017,post_election,jul_dec,XLK,0.17722527747841577,0.062439638065493686
modern_2013_2025,2017,post_election,q2,SPY,0.030708174815894385,0.0
