asset,signal_date,entry_date,direction,zero_bucket,near_52w_high,signal_price,entry_price,macd,signal,histogram,distance_from_52w_high,rsi14,recent_rsi_ge70,forward_return_4w,max_drawdown_4w,forward_return_8w,max_drawdown_8w,forward_return_13w,max_drawdown_13w,forward_return_26w,max_drawdown_26w,forward_return_52w,max_drawdown_52w
SPY,2013-01-11,2013-01-14,bullish,above_zero,True,117.09586334228516,117.01625061035156,1.6127762567511894,1.420499657614292,0.19227659913689732,0.0,63.07826930731928,False,0.03436088961773165,-0.011240521150225558,0.0607604706721816,-0.027732210736514107,0.0534499177639407,-0.03172357493902178,0.16455583465264412,-0.05550578022806818,0.2749464484363022,-0.05550578022806818
SPY,2013-06-21,2013-06-24,bearish,above_zero,True,127.88658142089844,126.27064514160156,3.842384526643329,4.046223713909785,-0.203839187266456,-0.04210096097634397,57.87761790215119,False,0.07691323295316055,-0.004097169838665371,0.054246669566067496,-0.036151182192663334,0.08152250687077034,-0.04457485240286041,0.18266358100814317,-0.04457485240286041,0.2640147340154215,-0.056960241474994344
SPY,2013-07-19,2013-07-22,bullish,above_zero,True,136.00665283203125,136.27195739746094,3.8984739474869627,3.842063701004021,0.056410246482941684,0.0,70.71817244603207,True,-0.027905703896853096,-0.036151182192663334,0.009262636076669661,-0.04457485240286041,0.03991134420420117,-0.04457485240286041,0.061054882591200066,-0.04457485240286041,0.1923003063919042,-0.056960241474994344
SPY,2013-08-16,2013-08-19,bearish,above_zero,True,133.3213653564453,132.4691925048828,3.863985713541638,3.95710624328081,-0.0931205297391724,-0.02995075339850628,59.987612691592446,True,0.038235323592083814,-0.019745699241654036,0.03494061683572913,-0.03908327504051978,0.09184068515340837,-0.03908327504051978,0.133394098555077,-0.056960241474994344,0.22770336604234687,-0.056960241474994344
SPY,2013-10-18,2013-10-21,bullish,above_zero,True,140.88673400878906,140.894775390625,3.255236939905899,3.254575063847895,0.0006618760580039407,0.0,68.77323519172879,False,0.02878451494961931,-0.012643354299517573,0.024369373857443533,-0.018136457822386043,0.03131460046265411,-0.03140371071700909,0.08717022898779248,-0.056960241474994344,0.13442928496547424,-0.07273488245374737
SPY,2014-01-24,2014-01-27,bearish,above_zero,True,145.3068389892578,144.59202575683594,4.088020206617472,4.283919596738272,-0.19589939012080038,-0.02851095589587016,59.00493300817734,True,0.03836847322330561,-0.028231952723252185,0.051245870745019184,-0.028231952723252185,0.06253103240054347,-0.0390194039984747,0.09137743282148136,-0.0390194039984747,0.16117937315843633,-0.07273488245374737
SPY,2014-05-30,2014-06-02,bullish,above_zero,True,157.19882202148438,157.37826538085938,3.1885455002328342,3.117669709771331,0.07087579046150339,0.0,69.26600072402906,False,0.019480524517202058,-0.010531915971860095,0.025887386219546338,-0.012562805811628941,0.04437944289390039,-0.038358640649848286,0.0867310481288337,-0.07273488245374737,0.11716325339041078,-0.07273488245374737
SPY,2014-08-01,2014-08-04,bearish,above_zero,True,157.80447387695312,158.9439239501953,3.731774973418254,3.8403333560973394,-0.10855838267908524,-0.02875865447907655,57.21411814781582,True,0.034658503502455584,-0.014750278619147239,0.020893388011711034,-0.022605406848165255,0.04187874506230416,-0.07273488245374737,0.06617805954736067,-0.07273488245374737,0.10112667832695843,-0.07273488245374737
SPY,2014-09-05,2014-09-08,bullish,above_zero,True,164.86265563964844,164.43637084960938,3.6201152951435915,3.5994059409910992,0.02070935415249231,0.0,69.35473430853756,False,-0.01686289298698218,-0.03251171791813812,0.010584325043506704,-0.07273488245374737,0.03412498786712059,-0.07273488245374737,0.050458859470355,-0.07273488245374737,0.003601168542445299,-0.11910249072947854
SPY,2014-09-12,2014-09-15,bearish,above_zero,True,163.23948669433594,163.1165313720703,3.521116685056427,3.583748089804165,-0.0626314047477381,-0.009845582912726858,64.07246385133432,False,-0.053743847640857045,-0.06705966650197648,0.02992037889598742,-0.07273488245374737,-0.0007280632703164924,-0.07273488245374737,0.07092690789199807,-0.07273488245374737,0.017000085593973147,-0.11910249072947854
