sample,start_year,end_year,asset,month,n,mean_return,median_return,positive_rate,mean_excess_spy,median_excess_spy,excess_hit_rate,excess_tstat,excess_pvalue,excess_bh_qvalue_asset,excess_bh_qvalue_family
modern_2013_2025,2013,2025,SPY,1,13,0.010244647119270568,0.01592656463792297,0.5384615384615384,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,2,13,0.006343998602873584,0.012758752595303235,0.5384615384615384,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,3,13,0.004765044230902951,0.01810082180393935,0.6923076923076923,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,4,13,0.011922815342196524,0.009834012168199457,0.7692307692307693,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,5,13,0.017372681221092676,0.017011651535904004,0.9230769230769231,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,6,13,0.013949456565100792,0.017734421031398995,0.7692307692307693,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,7,13,0.031791263635208726,0.024412541804786025,0.9230769230769231,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,8,13,0.004169230474517902,0.002917755168571512,0.6153846153846154,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,9,13,-0.009950704973517372,5.802878359184582e-05,0.5384615384615384,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,10,13,0.017988843970706,0.023550650703307197,0.6153846153846154,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,11,13,0.03785979714008215,0.03056573766731585,0.9230769230769231,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,SPY,12,13,0.002121141537815465,0.012127916412125073,0.6153846153846154,0.0,0.0,0.0,,,,
modern_2013_2025,2013,2025,QQQ,1,13,0.01834141579946614,0.021633842380349266,0.6923076923076923,0.008096768680195572,0.01004240660557354,0.6923076923076923,1.2175743385795272,0.24678705882033394,0.7403611764610019,0.9852048976369931
modern_2013_2025,2013,2025,QQQ,2,13,0.00675252871026466,-0.0013351227060649506,0.46153846153846156,0.0004085301073910756,0.0006467732218098377,0.5384615384615384,0.08924006335191258,0.9303632451081854,0.9303632451081855,0.9852048976369931
modern_2013_2025,2013,2025,QQQ,3,13,0.006875187510085577,0.01716760610038026,0.6153846153846154,0.002110143279182626,-0.00772415869462284,0.46153846153846156,0.2627924967774542,0.7971680049340861,0.9303632451081855,0.9852048976369931
modern_2013_2025,2013,2025,QQQ,4,13,0.011157148164146804,0.01396816831042802,0.6923076923076923,-0.0007656671780497201,0.006161324054405615,0.5384615384615384,-0.12865136906594615,0.8997645613331644,0.9303632451081855,0.9852048976369931
modern_2013_2025,2013,2025,QQQ,5,13,0.03311826321970489,0.043700531485413974,0.7692307692307693,0.01574558199861221,0.018363831758231974,0.7692307692307693,2.243201086142305,0.04453953414181883,0.267237204850913,0.6806145220534237
modern_2013_2025,2013,2025,QQQ,6,13,0.019372441974201772,0.03123829619126095,0.6153846153846154,0.00542298540910098,0.0056993596573649,0.5384615384615384,0.8589195756518406,0.40721537051467177,0.8908898489799644,0.9852048976369931
modern_2013_2025,2013,2025,QQQ,7,13,0.04289386428368715,0.03860092753522926,0.9230769230769231,0.011102600648478421,0.011463381715057785,0.8461538461538461,2.281744299814839,0.04154708967364362,0.267237204850913,0.6806145220534237
modern_2013_2025,2013,2025,QQQ,8,13,0.011846127753420626,0.010500922599586016,0.6153846153846154,0.007676897278902724,0.009303736464298495,0.6153846153846154,1.677061020508426,0.11936455874883736,0.4774582349953495,0.9060959276600947
