signal_name,filters,sample_size,median_5D,mean_5D,win_rate_5D,ret_5D_p10,ret_5D_p25,ret_5D_p50,ret_5D_p75,ret_5D_p90,median_MFE_5D,median_MAE_5D,median_10D,mean_10D,win_rate_10D,ret_10D_p10,ret_10D_p25,ret_10D_p50,ret_10D_p75,ret_10D_p90,median_MFE_10D,median_MAE_10D,median_20D,mean_20D,win_rate_20D,ret_20D_p10,ret_20D_p25,ret_20D_p50,ret_20D_p75,ret_20D_p90,median_MFE_20D,median_MAE_20D,median_30D,mean_30D,win_rate_30D,ret_30D_p10,ret_30D_p25,ret_30D_p50,ret_30D_p75,ret_30D_p90,median_MFE_30D,median_MAE_30D,MFE_MAE_ratio_20D,stopout_rate_5pct,stopout_rate_8pct,stopout_rate_5pct_5D,stopout_rate_5pct_10D,stopout_rate_5pct_20D,stopout_rate_5pct_30D,new_low_rate_30D,new_low_rate_60D,durable_bottom_30D,durable_bottom_60D,median_distance_from_60D_low,median_distance_from_30D_low,extension_penalty,prob_MFE20_ge_5pct,prob_MFE20_ge_8pct,prob_MFE20_ge_10pct,prob_MFE20_ge_15pct,prob_MFE20_ge_20pct,prob_MAE20_le_3pct,prob_MAE20_le_5pct,prob_MAE20_le_8pct,prob_MAE20_le_10pct,median_time_to_new_low_if_failed,split
base,test,7571,0.0027076245046038228,0.005031453501905765,0.5218597279091269,-0.07556112645897661,-0.03015743210262789,0.0027076245046038228,0.03609014923232967,0.08040311440919412,0.035615338433987453,-0.03243917095464932,0.0035906649449892747,0.007791778439561843,0.5161801611411967,-0.10608154843367912,-0.04633451834944741,0.0035906649449892747,0.05135113926066348,0.11655733213233921,0.0527041876089922,-0.04790938313233206,0.004504796597901928,0.013513083894917493,0.514991414608374,-0.1437126388109098,-0.06454034337270809,0.004504796597901928,0.07565797218327142,0.16336964008727795,0.07627368724928507,-0.06666669978035689,0.0015777919689474729,0.015119434087640906,0.5035001981244221,-0.1750479919975828,-0.08061909505864218,0.0015777919689474729,0.09033379950178089,0.19502621387357744,0.09223303784914072,-0.08309728448324194,1.1441047404563267,0.6075815612204465,0.4303262448817858,0.3394531765949016,0.4834235900145291,0.6075815612204465,0.6783780213974376,0.4147404570070004,0.5436534143442081,0.6893409060890239,0.56267335886937,0.18994413032284485,0.1803065891051714,0.1488894727328543,0.6579051644432704,0.4801215163122441,0.39373926826046757,0.23788138951261392,0.1512349755646546,0.7567032096156386,0.6075815612204465,0.4303262448817858,0.34341566503764365,14.0,test
base,train,2883,0.0018610838166697175,0.003982735436699173,0.5227193895248006,-0.0519528673357123,-0.020144596013894733,0.0018610838166697175,0.025021715081580465,0.05712703876597327,0.022351416380786526,-0.024429663730188733,0.006299236628014349,0.0067168752354614435,0.552202566770725,-0.07012743473173622,-0.026174008338508414,0.006299236628014349,0.0385898767561329,0.07685325754026182,0.035722868135152464,-0.033241821334762944,0.00848067830509125,0.011704321731965967,0.5504682622268471,-0.10269789190598197,-0.035901657456199665,0.00848067830509125,0.05610628387429517,0.11414971688574688,0.05363009361876081,-0.04584502877873975,0.008910887594334449,0.013579557299048724,0.5407561567811308,-0.12481166406074816,-0.04761886224161399,0.008910887594334449,0.06746874657962565,0.14034645698799006,0.06532096238439844,-0.055716235791766544,1.1698126284878967,0.46063128685397153,0.2826916406520985,0.22754075615678113,0.33888310787374265,0.46063128685397153,0.5452653485952134,0.3648976760319112,0.5053763440860215,0.7620534165799514,0.6798473812001388,0.14908258611531178,0.13902836364192472,0.11577259085523434,0.5286160249739854,0.3284772806104752,0.24002774887270203,0.12209503988900451,0.07041276448144294,0.6409989594172737,0.46063128685397153,0.2826916406520985,0.21262573707943114,16.0,train
base,validation,4090,0.004189155953802648,0.004406781141184634,0.5381418092909536,-0.06236417244993832,-0.02347241099629077,0.004189155953802648,0.030439284867226246,0.06521400815468789,0.02797201585740372,-0.026477051868992074,0.006116823794651949,0.007887759583998193,0.5418092909535452,-0.0894569805942392,-0.03650622837534004,0.006116823794651949,0.04308734674874726,0.090493088093195,0.042514392241497334,-0.039815508300301006,0.012240426274129246,0.015568570184418037,0.5540342298288509,-0.127522779934932,-0.0502444077295697,0.012240426274129246,0.06875278586011718,0.1454396088333723,0.0662846062566611,-0.055734948575050736,0.015809395931930204,0.02158260225584101,0.5640586797066015,-0.1480687566222823,-0.055836188178670254,0.015809395931930204,0.0850989021392522,0.17765524234044616,0.08241724377060511,-0.06941157112737933,1.1892826305815025,0.5403422982885085,0.3787286063569682,0.2823960880195599,0.41393643031784844,0.5403422982885085,0.606601466992665,0.3973105134474328,0.5215158924205379,0.7085574572127139,0.6352078239608802,0.17793341278756136,0.1663910504289997,0.13604035677321966,0.604156479217604,0.4178484107579462,0.3278728606356968,0.18924205378973105,0.11907090464547677,0.6953545232273839,0.5403422982885085,0.3787286063569682,0.3012224938875306,13.0,validation
candidate_1_cohort_rs_antichase,test,147,0.008272956848030866,0.00661499348773582,0.6054421768707483,-0.03847522870108531,-0.011756841190331824,0.008272956848030866,0.030893790420762124,0.05265297933495937,0.027597361673856957,-0.017506342251135454,0.017447209027378285,0.012300113765013467,0.6258503401360545,-0.05544072607514551,-0.016431463773452892,0.017447209027378285,0.04883140367460437,0.06818872893897972,0.04206413086941452,-0.027777702778037927,0.02424800762180057,0.014135320449554439,0.5782312925170068,-0.08936431969208194,-0.03565307219516284,0.02424800762180057,0.06964197931310656,0.09278947655679085,0.06784972858330596,-0.039896010463967624,0.027015279424174032,0.024012261505139316,0.6054421768707483,-0.09354999444077915,-0.042581072736410264,0.027015279424174032,0.07973800200045078,0.1301457064171035,0.07686122310639232,-0.0468832572130945,1.7006644973833898,0.3877551020408163,0.24489795918367346,0.1292517006802721,0.23129251700680273,0.3877551020408163,0.48299319727891155,0.5170068027210885,0.6598639455782312,0.673469387755102,0.5850340136054422,0.0929843085256814,0.08553137561698221,0.06783341208788735,0.6190476190476191,0.4013605442176871,0.23129251700680273,0.04081632653061224,0.013605442176870748,0.5850340136054422,0.3877551020408163,0.24489795918367346,0.16326530612244897,10.0,test
candidate_1_cohort_rs_antichase,train,82,0.005998781942225584,0.0014904293324163199,0.6097560975609756,-0.04523893296056837,-0.013710716821436153,0.005998781942225584,0.022276117566820297,0.03406770935756502,0.01683551452070753,-0.015576615705290509,0.01704369876184042,0.008923241858384586,0.6707317073170732,-0.042902160885528846,-0.009236935992369799,0.01704369876184042,0.03378448500303527,0.05557743730768495,0.029970985810670814,-0.017451123297345772,0.002863200918128639,0.006660636280094298,0.5853658536585366,-0.05166796476717436,-0.021713071430417896,0.002863200918128639,0.03858925693050169,0.07805681328993819,0.0406203539172576,-0.024176405800435452,0.013575131740598323,0.012676014909387556,0.5975609756097561,-0.06940922481575781,-0.030468101019931915,0.013575131740598323,0.05002396268600534,0.1116074961099645,0.04713622826154018,-0.03907457878382642,1.6801651268000295,0.25609756097560976,0.18292682926829268,0.0975609756097561,0.13414634146341464,0.25609756097560976,0.35365853658536583,0.45121951219512196,0.524390243902439,0.7317073170731707,0.7682926829268293,0.09263475848692382,0.08610266577005554,0.0760098052999576,0.3780487804878049,0.18292682926829268,0.08536585365853659,0.012195121951219513,0.0,0.4634146341463415,0.25609756097560976,0.18292682926829268,0.0975609756097561,16.0,train
candidate_1_cohort_rs_antichase,validation,86,0.010544082306582547,0.005883889536390949,0.6511627906976745,-0.02722912875772804,-0.009292949045528215,0.010544082306582547,0.021954951951945634,0.034698913693859024,0.021146684317612685,-0.01344030818216324,0.013566378473095386,0.009321581797238392,0.6627906976744186,-0.04474947163238763,-0.009797600627809183,0.013566378473095386,0.03552101545714881,0.04657368326392908,0.03268041159749058,-0.014891028180082422,0.0329963094140695,0.02211300006741538,0.6976744186046512,-0.05107579850696364,-0.011634297488816336,0.0329963094140695,0.05509455212120573,0.08767644504907768,0.049603390004175574,-0.02225839126617357,0.0380207989451844,0.02373559463042556,0.686046511627907,-0.0727730494693527,-0.021968714914492482,0.0380207989451844,0.0846429743456732,0.12203175193554516,0.07119782486336645,-0.026449327950058554,2.2285253867182497,0.26744186046511625,0.09302325581395349,0.05813953488372093,0.1744186046511628,0.26744186046511625,0.3372093023255814,0.4186046511627907,0.5348837209302325,0.7441860465116279,0.6162790697674418,0.09089685453569019,0.08276818008460662,0.07185082257586572,0.5,0.22093023255813954,0.11627906976744186,0.023255813953488372,0.011627906976744186,0.38372093023255816,0.26744186046511625,0.09302325581395349,0.05813953488372093,14.0,validation
cohort_sector_50,test,573,0.008292112531135487,0.00825359408067022,0.5741710296684118,-0.047512807471312674,-0.01750393758219293,0.008292112531135487,0.034196557942694605,0.06500404670651903,0.027971556669820208,-0.02327578470176317,0.017209526626382754,0.013480875672632994,0.62478184991274,-0.06659020881298976,-0.02001600291902439,0.017209526626382754,0.04935107953223139,0.08194590574833208,0.04514488817999429,-0.031025138938673646,0.009906112631499209,0.007461637805657054,0.5514834205933682,-0.09635837839266126,-0.04209028858634545,0.009906112631499209,0.06347980420858468,0.11065520767690822,0.06528825298867424,-0.04321875184165258,0.00580919009845271,0.008665145634222023,0.5287958115183246,-0.11605528635619941,-0.056048351282505626,0.00580919009845271,0.07301334362681766,0.13760599886919636,0.07841959523177455,-0.05598072087498063,1.5106464256043581,0.4363001745200698,0.2670157068062827,0.2006980802792321,0.31239092495637,0.4363001745200698,0.5410122164048866,0.35602094240837695,0.5218150087260035,0.7574171029668412,0.5933682373472949,0.16842150989452542,0.15846227549382186,0.1317183429268975,0.6160558464223386,0.3961605584642234,0.28272251308900526,0.12041884816753927,0.05759162303664921,0.6352530541012217,0.4363001745200698,0.2670157068062827,0.19895287958115182,19.0,test
cohort_sector_50,train,275,0.005329595113370722,0.003944592482001241,0.5709090909090909,-0.03734994158045541,-0.012110004199958058,0.005329595113370722,0.024964867979159533,0.04102722292705394,0.01934253757441473,-0.019852404463269524,0.015216197414501087,0.013158853553288951,0.6727272727272727,-0.04048200673420432,-0.008907229331181876,0.015216197414501087,0.04180613361927521,0.0707653489036298,0.033163016282455215,-0.02371283698848159,0.011353896088478255,0.011706552712942013,0.5818181818181818,-0.061222343086881105,-0.024181388234691348,0.011353896088478255,0.045513902210386425,0.08457972471786643,0.044931009494096674,-0.0304847139668194,0.01780817279001079,0.016628241216561233,0.5963636363636363,-0.07513688863159874,-0.03115935251616564,0.01780817279001079,0.05956170148821793,0.11114407118073623,0.053607711790869095,-0.04311245424424126,1.4738865368066472,0.32727272727272727,0.16363636363636364,0.13090909090909092,0.19272727272727272,0.32727272727272727,0.4254545454545455,0.3090909090909091,0.5418181818181819,0.8436363636363636,0.6618181818181819,0.13797831392779858,0.12593918938673876,0.10607847855555547,0.4290909090909091,0.22545454545454546,0.14909090909090908,0.04727272727272727,0.01818181818181818,0.5163636363636364,0.32727272727272727,0.16363636363636364,0.10545454545454545,24.0,train
cohort_sector_50,validation,355,0.007906001747536973,0.007209419222894088,0.6169014084507042,-0.03286543825727095,-0.011259671319150122,0.007906001747536973,0.028727026544067225,0.044396746516416126,0.022842486235339576,-0.014885742636106647,0.013251846295630365,0.015569094124860378,0.6422535211267606,-0.04123198146411011,-0.01193971994738563,0.013251846295630365,0.04400459425771641,0.0747659256341047,0.03661892627606522,-0.021945268440705212,0.03883681817759732,0.03675175180448001,0.7126760563380282,-0.041508552691704746,-0.005361741092281214,0.03883681817759732,0.07344504274123509,0.12895445817545992,0.06102208287534183,-0.027785080823731323,0.03842659242909896,0.04613417736349741,0.723943661971831,-0.047280635386398616,-0.007904570370289354,0.03842659242909896,0.09038798262191106,0.14951861906453331,0.0741111328466606,-0.031049954994889162,2.1962175767083854,0.28169014084507044,0.11267605633802817,0.11549295774647887,0.19436619718309858,0.28169014084507044,0.3267605633802817,0.2140845070422535,0.3380281690140845,0.8647887323943662,0.7971830985915493,0.1619136449154568,0.1519762532143878,0.1204542482579255,0.5887323943661972,0.35492957746478876,0.23380281690140844,0.10422535211267606,0.04788732394366197,0.48169014084507045,0.28169014084507044,0.11267605633802817,0.09014084507042254,17.0,validation
rs_sector_higher_low,test,793,0.004712523370713484,0.005179757475001694,0.5460277427490542,-0.04508906318103021,-0.019296920396351225,0.004712523370713484,0.029561645015840243,0.053392432140554474,0.026787617648002193,-0.022871304080165467,0.010492408722611257,0.010274310337058237,0.587641866330391,-0.06280544373444594,-0.022509787154443295,0.010492408722611257,0.04116646271379176,0.07517712589749354,0.04096988330383344,-0.030907434286912117,0.014177780197399015,0.013292895717592087,0.5800756620428752,-0.0867219236072423,-0.03638034068462659,0.014177780197399015,0.06347980420858468,0.11149094963424226,0.060215773655738714,-0.0437792450965524,0.00885910465268891,0.01263341345078193,0.5296343001261034,-0.11511996471082077,-0.05169234702770642,0.00885910465268891,0.07359197706321274,0.14087267880507226,0.07102724957496398,-0.05598072087498063,1.3754411142297354,0.43883984867591425,0.25598991172761665,0.19041614123581338,0.30138713745271123,0.43883984867591425,0.5384615384615384,0.37831021437578816,0.5157629255989912,0.7477931904161412,0.6506935687263556,0.15842165408898867,0.15189871116189968,0.12517496946229045,0.592686002522068,0.34300126103404793,0.244640605296343,0.1008827238335435,0.05296343001261034,0.626733921815889,0.43883984867591425,0.25598991172761665,0.17150063051702397,15.0,test
