signal_name,filters,sample_size,median_5D,mean_5D,win_rate_5D,ret_5D_p10,ret_5D_p25,ret_5D_p50,ret_5D_p75,ret_5D_p90,median_MFE_5D,median_MAE_5D,median_10D,mean_10D,win_rate_10D,ret_10D_p10,ret_10D_p25,ret_10D_p50,ret_10D_p75,ret_10D_p90,median_MFE_10D,median_MAE_10D,median_20D,mean_20D,win_rate_20D,ret_20D_p10,ret_20D_p25,ret_20D_p50,ret_20D_p75,ret_20D_p90,median_MFE_20D,median_MAE_20D,median_30D,mean_30D,win_rate_30D,ret_30D_p10,ret_30D_p25,ret_30D_p50,ret_30D_p75,ret_30D_p90,median_MFE_30D,median_MAE_30D,MFE_MAE_ratio_20D,stopout_rate_5pct,stopout_rate_8pct,stopout_rate_5pct_5D,stopout_rate_5pct_10D,stopout_rate_5pct_20D,stopout_rate_5pct_30D,new_low_rate_30D,new_low_rate_60D,durable_bottom_30D,durable_bottom_60D,median_distance_from_60D_low,median_distance_from_30D_low,extension_penalty,prob_MFE20_ge_5pct,prob_MFE20_ge_8pct,prob_MFE20_ge_10pct,prob_MFE20_ge_15pct,prob_MFE20_ge_20pct,prob_MAE20_le_3pct,prob_MAE20_le_5pct,prob_MAE20_le_8pct,prob_MAE20_le_10pct,median_time_to_new_low_if_failed,bounce_quality_score,asymmetric_entry_score
rs_sector_higher_low,stock/sector ETF RS higher low,1743,0.0063127955397770386,0.005409039102007131,0.5685599541021228,-0.04169893231607329,-0.015839157894769917,0.0063127955397770386,0.027467369834993427,0.04993658164337752,0.02330412921379099,-0.01939577384580926,0.011608909834917913,0.011295751747313587,0.6190476190476191,-0.05235965160973448,-0.017549940192201408,0.011608909834917913,0.04005651977837643,0.07102081197978531,0.0371801990610825,-0.026535292913611674,0.02073027576458286,0.01989813365638714,0.6242111302352267,-0.07625151918389621,-0.02710520972162561,0.02073027576458286,0.06480630132602294,0.10875523758449737,0.05811478684944382,-0.03668730682405974,0.021547919882802802,0.022916483998600235,0.5995410212277682,-0.08967920608336803,-0.03729610155448149,0.021547919882802802,0.07912332441117376,0.13683924441445583,0.06973321008522948,-0.045949453163139364,1.584057045346589,0.38095238095238093,0.2134251290877797,0.16179001721170397,0.25588066551921973,0.38095238095238093,0.46873207114170967,0.3453815261044177,0.4750430292598967,0.7768215720022948,0.6982214572576019,0.15382136639757715,0.14429603756238807,0.11833184409713376,0.5685599541021228,0.3247274813539874,0.21629374641422836,0.08835341365461848,0.04360298336201951,0.5697074010327022,0.38095238095238093,0.2134251290877797,0.1491681009753299,16.5,74.39360009993088,65.35562869216535
candidate_4_volume_reclaim,flush volume > 2x 20D average + up/down volume ratio >= 1.3 + 20D/60D failed breakdown reclaim,46,-0.002303792693149065,-0.0019400498932846386,0.45652173913043476,-0.10211001882856074,-0.07363456009259897,-0.002303792693149065,0.05707764298235801,0.09940287571046502,0.06644424154579887,-0.05442914305103114,-0.004510727887528931,-0.00042791280341422536,0.45652173913043476,-0.14190050158662904,-0.05851283961464129,-0.004510727887528931,0.08733541180628429,0.13226137569838514,0.08788398100441652,-0.06611556553129166,0.0211429717934708,0.027359086220160745,0.5652173913043478,-0.17551599046995214,-0.10733464864121439,0.0211429717934708,0.15560175405479987,0.2567893382298907,0.107292890725883,-0.08970214597146786,0.040885234758036626,0.06425745218114302,0.6086956521739131,-0.18693713815071367,-0.07288939748426959,0.040885234758036626,0.17597822023266563,0.3392897538483668,0.12855354717799594,-0.11296220818364683,1.196101716005884,0.6956521739130435,0.5434782608695652,0.5652173913043478,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.1956521739130435,0.391304347826087,0.8260869565217391,0.6956521739130435,0.22845756724810484,0.22845756724810484,0.1818147715466603,0.717391304347826,0.6521739130434783,0.5434782608695652,0.391304347826087,0.2826086956521739,0.7608695652173914,0.6956521739130435,0.5434782608695652,0.4782608695652174,27.5,46.63482440090138,37.95603155739378
rs_sector_20d_pos,stock/sector ETF RS 20D slope > 0,2466,0.005321635116633416,0.0045867814954484555,0.5608272506082725,-0.04361256295746224,-0.01655874903878274,0.005321635116633416,0.026488577840092342,0.049572386658891854,0.022945472204836226,-0.019547224823901754,0.010523784727682117,0.009142392467847567,0.6017842660178426,-0.057695026302723385,-0.020995010638552886,0.010523784727682117,0.03954605473100409,0.07109652653776188,0.0360596620549829,-0.027394966844231483,0.018330530263036438,0.01579246270226893,0.6074614760746148,-0.08100796660315901,-0.03094433291687479,0.018330530263036438,0.060539638153901565,0.10547996208395527,0.055660334298445746,-0.03805680492300528,0.01988374918625402,0.019649696670513042,0.5936739659367397,-0.09774497691110418,-0.03901445616349261,0.01988374918625402,0.07581654570906166,0.13542516976589436,0.0678444391531462,-0.04664542859743187,1.4625593086717366,0.3913219789132198,0.22830494728304948,0.16058394160583941,0.26034063260340634,0.3913219789132198,0.47526358475263586,0.3386050283860503,0.47283049472830496,0.7802108678021087,0.6950527169505272,0.15248034436134694,0.14462591602426067,0.12021248168497145,0.545823195458232,0.3171127331711273,0.21532846715328466,0.08759124087591241,0.040551500405515,0.5806974858069749,0.3913219789132198,0.22830494728304948,0.16261151662611517,17.0,69.21555152765033,61.32972400345127
rs_spy_50d_pos,stock/SPY RS 50D slope > 0,7541,0.004191794146500838,0.005977097492576015,0.5389205675639835,-0.0627952541171376,-0.02335496310560714,0.004191794146500838,0.03236919542344485,0.0689480388765138,0.0297325060804845,-0.02797200154455226,0.00758968121740633,0.009508547246622128,0.5488661981169606,-0.08883697513464994,-0.035183012984333684,0.00758968121740633,0.047392434929594884,0.09550579352269484,0.045315943595013675,-0.0401785714285714,0.011816732635609561,0.017137044991067288,0.5541705344118817,-0.11751667026849633,-0.04629600607564144,0.011816732635609561,0.07004599260182043,0.14440887694218074,0.06701947522740559,-0.05449814237775619,0.009809932456617654,0.018843749591253976,0.5397162180082217,-0.1376565656960147,-0.05762402538998246,0.009809932456617654,0.08186730196418668,0.17042941920664445,0.08197625647920037,-0.06817760475026446,1.2297570578251502,0.5321575387879591,0.35724704946293595,0.2839146001856518,0.4145338814480838,0.5321575387879591,0.6089378066569421,0.3010210847367723,0.4358838350351412,0.7884895902400212,0.6870441585996552,0.20451129239992838,0.19343600244252235,0.16504117045329253,0.6164964858772046,0.4281925474075056,0.3366927463201167,0.1888343720991911,0.11298236308181939,0.695398488264156,0.5321575387879591,0.35724704946293595,0.2809972152234452,18.0,52.57282902864256,43.83039828168409
cohort+rs,same-sector 2W StochRSI washout >= 40% + stock/SPY RS 20D slope > 0,1425,0.006480430893132549,0.006444176012090704,0.5705263157894737,-0.04219836602199452,-0.016100122281144436,0.006480430893132549,0.02865331261543491,0.052091562264772566,0.02370764814248183,-0.020163846501935923,0.012632682452927924,0.01232346029473337,0.623859649122807,-0.05630962396093992,-0.016459348053652123,0.012632682452927924,0.04357976781888362,0.07590188962180196,0.03791391763444296,-0.027366127543940966,0.017506644609691868,0.016845440212537185,0.6028070175438597,-0.07822012409401569,-0.030837291705219982,0.017506644609691868,0.06255730641576607,0.11180373177234867,0.05760750092036626,-0.03719678456872455,0.019491277862259127,0.01908275279850397,0.5873684210526315,-0.1021383104095648,-0.040159320862937276,0.019491277862259127,0.07326312998112905,0.134428310119353,0.06764018867825317,-0.0457502910103037,1.5487226003078571,0.38456140350877194,0.21403508771929824,0.16701754385964912,0.25684210526315787,0.38456140350877194,0.47157894736842104,0.31087719298245614,0.4610526315789474,0.7971929824561403,0.6701754385964912,0.16289804680283226,0.15534666611424197,0.12853908390157465,0.5642105263157895,0.3368421052631579,0.223859649122807,0.09754385964912281,0.047719298245614036,0.5747368421052632,0.38456140350877194,0.21403508771929824,0.15578947368421053,20.0,71.42349723982396,60.627270066180685
cohort_sector_50,same-sector 2W StochRSI washout >= 50%,1203,0.007656846987206256,0.006960445689860165,0.5860349127182045,-0.04103339546224531,-0.01511741383857862,0.007656846987206256,0.030002891127905995,0.05352369070151077,0.024491009274831166,-0.019807107629813192,0.015892426270458282,0.014023487033997178,0.6408977556109726,-0.05221430270914573,-0.014168649789131404,0.015892426270458282,0.04626767896071837,0.07647723181869188,0.03832344147843392,-0.027000758652458656,0.018534489959926903,0.017075388486526143,0.6059850374064838,-0.07577205336243557,-0.027435688882731624,0.018534489959926903,0.06498266072619807,0.11032574592172192,0.05824025522592269,-0.035351753047983325,0.019993868494619926,0.021542417079804768,0.6018287614297589,-0.09377524345694038,-0.03432825431850228,0.019993868494619926,0.07714988157924041,0.13678826394617716,0.06999564870999087,-0.04380394285903155,1.647450273452424,0.3657522859517872,0.19783873649210307,0.1596009975062344,0.2502078137988362,0.3657522859517872,0.4513715710723192,0.3034081463009144,0.47215295095594345,0.8088113050706567,0.6691604322527016,0.15563821196066097,0.14661533202378574,0.12085330323037247,0.5652535328345802,0.34497090606816294,0.23773898586866168,0.09891936824605153,0.0457190357439734,0.5627597672485453,0.3657522859517872,0.19783873649210307,0.14546965918536992,20.0,76.87631330221917,64.4937305014162
cohort_sector_25,same-sector 2W StochRSI washout >= 25%,2480,0.006484837316776737,0.006298933081014208,0.5766129032258065,-0.04014150133280562,-0.015156938002316434,0.006484837316776737,0.027870539964933272,0.05183985605406189,0.023045156203951644,-0.019348458509425015,0.012841046380428933,0.011735768766510623,0.6157258064516129,-0.05439261585410382,-0.018961638906498934,0.012841046380428933,0.04251264550470063,0.07540885747420319,0.03684021885871547,-0.02696909415716986,0.0195136098680041,0.01719260284682545,0.6141129032258065,-0.07846416768087354,-0.028171156451211987,0.0195136098680041,0.06241593153727221,0.10603227797998002,0.0570161674524412,-0.035925040447810364,0.01988374918625402,0.01913057716529529,0.592741935483871,-0.09809640405721011,-0.03821725456475042,0.01988374918625402,0.07439952118735421,0.13064564419382807,0.06800193732212678,-0.044330503476274985,1.5870870774737387,0.3721774193548387,0.20927419354838708,0.1536290322580645,0.2532258064516129,0.3721774193548387,0.45725806451612905,0.3379032258064516,0.4786290322580645,0.7842741935483871,0.667741935483871,0.1485506569211239,0.13971798014681813,0.11639847179960944,0.5560483870967742,0.3258064516129032,0.2217741935483871,0.08870967741935484,0.04153225806451613,0.5701612903225807,0.3721774193548387,0.20927419354838708,0.15080645161290324,18.0,73.55369920065232,64.15898850895309
production_score_65_proxy,same-sector 2W StochRSI washout >= 25% + stock/SPY RS 20D slope > 0 + signal within 15% of 60D low + reject monthly oversold dwell >= 6 bars,929,0.005329595113370722,0.003378052841775029,0.5715823466092572,-0.03724075276127949,-0.012426863776516583,0.005329595113370722,0.024116965404561874,0.04344508655045596,0.019881572251046364,-0.01669035849212208,0.01082416568391742,0.007913209539575288,0.6114101184068891,-0.04880978160908254,-0.017529302829507043,0.01082416568391742,0.03647557115643307,0.0625946768728293,0.031660117101251606,-0.02282294179995803,0.016305685296173156,0.010080756012392748,0.6071044133476857,-0.07624740308902597,-0.025560057202370312,0.016305685296173156,0.051392186667131634,0.08321083724745855,0.048933522990979306,-0.031358111553520085,0.017824318805123474,0.011397272611453815,0.5920344456404736,-0.09225271389454866,-0.03500117193938468,0.017824318805123474,0.06160003111153611,0.10494316123997197,0.059133369231892496,-0.0396174781862656,1.5604741665473891,0.3379978471474704,0.18622174381054898,0.11302475780409042,0.20559741657696448,0.3379978471474704,0.4241119483315393,0.39289558665231433,0.5382131324004306,0.7502691065662002,0.667384284176534,0.11480228294872341,0.10769453946352114,0.08927554672878696,0.48869752421959095,0.24757804090419805,0.13347685683530677,0.03659849300322928,0.013993541442411194,0.5145317545748116,0.3379978471474704,0.18622174381054898,0.1302475780409042,16.5,69.48453349690125,67.32962079517173
cohort_industry_40,same-industry 2W StochRSI washout >= 40%,1643,0.00643261608796486,0.006203289538476646,0.5745587340231284,-0.03815338491663575,-0.014831470185837914,0.00643261608796486,0.027691399454232823,0.051243892559820155,0.022727238226770474,-0.01922508003290513,0.012366681089660547,0.011660234501815792,0.6171637248934875,-0.05137099234081344,-0.017793203333885177,0.012366681089660547,0.04179485440234598,0.0712570281961772,0.03718334988129701,-0.02693117702045178,0.01703887745969035,0.01513635407287827,0.6062081558125381,-0.07801061984081882,-0.02927670959926648,0.01703887745969035,0.05872165374864746,0.10505185442956749,0.05577275859859809,-0.03623924955439983,0.017946136917106115,0.016998620142758093,0.5836883749239197,-0.09751529075737701,-0.03839243692683281,0.017946136917106115,0.07093769471377431,0.1270641554127115,0.0674822077726267,-0.04422735282481782,1.5390152744436918,0.3712720632988436,0.19902617163724892,0.14607425441265978,0.2404138770541692,0.3712720632988436,0.45830797321972,0.3359707851491175,0.4917833231892879,0.7857577601947656,0.664637857577602,0.1481662510967252,0.13839877360151553,0.11507703131095609,0.5496043822276324,0.32075471698113206,0.2057212416311625,0.08216676810712112,0.038953134510042606,0.5715155203895314,0.3712720632988436,0.19902617163724892,0.1357273280584297,19.0,70.4828361442467,62.13316090359831
failed_reclaim+rs,20D/60D failed breakdown reclaim + stock/SPY RS 20D slope > 0,602,4.756321412568987e-05,0.0010845444483975034,0.5,-0.08824705409434992,-0.03933218039210937,4.756321412568987e-05,0.038929472724162195,0.08407312536286202,0.04042488000671096,-0.04005349936318653,0.0014835352726992879,0.0007159242959225398,0.5049833887043189,-0.1326092110587116,-0.055386475402758345,0.0014835352726992879,0.05359961419529924,0.12046552748887365,0.05862895539418356,-0.05764309318203725,0.016775405466781246,0.014445132614489676,0.5598006644518272,-0.1694527420149847,-0.07678561599359368,0.016775405466781246,0.07464297551401211,0.18637118072557657,0.0867634366382698,-0.07907776531344951,0.00866707418414836,0.029776133837640488,0.5249169435215947,-0.18983190010386336,-0.07415050479400767,0.00866707418414836,0.10599326647264246,0.2441742500854585,0.10860114470670423,-0.09264206954213838,1.0971913064861623,0.6661129568106312,0.4950166112956811,0.4335548172757475,0.5564784053156147,0.6661129568106312,0.7192691029900332,0.29401993355481726,0.4568106312292359,0.8056478405315615,0.6611295681063123,0.18125220212742166,0.17428611709827557,0.14659481365645285,0.6910299003322259,0.5348837209302325,0.4418604651162791,0.26245847176079734,0.1644518272425249,0.7757475083056479,0.6661129568106312,0.4950166112956811,0.41029900332225916,20.0,41.75415244288236,40.099155158880166
