ticker,date,entry,signal_low,atr14,ret_5d,mfe_5d,mae_5d,stop_entry_5_before_5d,stop_entry_8_before_5d,stop_signal_low_before_5d,stop_signal_low_3_before_5d,stop_signal_low_5_before_5d,stop_atr1_before_5d,stop_atr1p5_before_5d,ret_10d,mfe_10d,mae_10d,stop_entry_5_before_10d,stop_entry_8_before_10d,stop_signal_low_before_10d,stop_signal_low_3_before_10d,stop_signal_low_5_before_10d,stop_atr1_before_10d,stop_atr1p5_before_10d,ret_20d,mfe_20d,mae_20d,stop_entry_5_before_20d,stop_entry_8_before_20d,stop_signal_low_before_20d,stop_signal_low_3_before_20d,stop_signal_low_5_before_20d,stop_atr1_before_20d,stop_atr1p5_before_20d,ret_30d,mfe_30d,mae_30d,stop_entry_5_before_30d,stop_entry_8_before_30d,stop_signal_low_before_30d,stop_signal_low_3_before_30d,stop_signal_low_5_before_30d,stop_atr1_before_30d,stop_atr1p5_before_30d,new_low_20d,new_low_30d,new_low_60d,durable_bottom_30d,durable_bottom_60d,time_to_new_low,dist_20d_low,dist_30d_low,dist_60d_low,dist_120d_low,dist_252d_low,dist_52w_high,dist_50d_ma,50d_ma_slope,dist_100d_ma,100d_ma_slope,dist_200d_ma,200d_ma_slope,dist_10w_ma,10w_ma_slope,dist_20w_ma,20w_ma_slope,dist_200w_ma,200w_ma_slope,signal_low_proxy,rsi14,vol_ratio_20d,flush_vol_1p5,flush_vol_2p0,flush_vol_2p5,up_down_vol_ratio_10d,failed_breakdown_20d,failed_breakdown_60d,bollinger_reclaim,rsi_bull_div_40d,macd_hist_bull_div_40d,monthly_stoch_d,monthly_os_dwell,monthly_macd_hist_rising,rs_spy_20d_slope,rs_spy_50d_slope,rs_spy_above_20d,rs_spy_above_50d,rs_spy_higher_low,rs_qqq_20d_slope,rs_qqq_50d_slope,rs_qqq_above_20d,rs_qqq_above_50d,rs_qqq_higher_low,rs_iwm_20d_slope,rs_iwm_50d_slope,rs_iwm_above_20d,rs_iwm_above_50d,rs_iwm_higher_low,rs_sector_20d_slope,rs_sector_50d_slope,rs_sector_above_20d,rs_sector_above_50d,rs_sector_higher_low,cohort_sector_washout,cohort_industry_washout,spy_above_200d,spy_200d_rising,market_regime,sector,industry,sector_etf,static_split,year,signal_name
A,2019-09-09,70.6510238647461,65.51744966771393,1.4633342390113293,0.04003770475286572,0.0527096116497876,-0.011997736684370763,False,False,False,False,False,False,False,0.05230535580053974,0.06147190707740746,-0.011997736684370763,False,False,False,False,False,False,False,0.014580517346443278,0.06147190707740746,-0.02095037591458626,False,False,False,False,False,False,False,0.019714220952918637,0.06147190707740746,-0.030947160135449403,False,False,False,False,False,False,False,False,False,False,True,True,,0.1309652285481071,0.1309652285481071,0.1309652285481071,0.1309652285481071,0.22165074153933562,-0.09271093968454647,0.04857655959999985,0.00047008778082746616,0.03743852077966636,-0.026818160519560208,0.017623436745975773,0.008923311889860619,0.04723709549684596,-0.00968861598988413,0.035617032757345735,-0.049846026525260045,0.2728553008960648,0.024742548015175947,65.51744966771393,63.57807513684448,1.1500220648899633,False,False,False,,False,False,False,True,True,25.44996295948479,0.0,False,0.0568639967240081,-0.007064948597651832,True,True,True,0.05414393059617795,-0.009159949504668141,True,True,True,0.07153331593606094,0.027258087219484528,True,True,True,0.09230290126211238,0.03709923685290106,True,True,False,0.3157894736842105,0.5833333333333334,True,True,above200_rising,Healthcare,Diagnostics & Research,XLV,validation,2019,base
A,2022-06-06,123.92728424072266,115.7224204153618,4.184267048649835,-0.0889288121197801,0.027971556669820208,-0.09598045873041361,True,True,True,True,False,False,False,-0.1077333146508701,0.027971556669820208,-0.1172137757855275,True,True,True,True,True,True,True,-0.0488549285595864,0.027971556669820208,-0.1183891325290315,True,True,True,True,True,True,True,-0.059215692382572405,0.027971556669820208,-0.1183891325290315,True,True,True,True,True,True,True,True,True,True,False,False,5.0,0.12837052773495183,0.12837052773495183,0.12837052773495183,0.12837052773495183,0.12837052773495183,-0.2851509820341088,0.016123793324778646,-0.03361260472988703,-0.024382430222384066,-0.04450617540795909,-0.12093467327323393,-0.02214437654108692,0.012703333661457927,-0.06649478339294668,-0.024183946160083902,-0.0780903377050961,0.2443594643296576,0.024703783657881395,115.7224204153618,54.037794934900276,0.6456173537373244,True,False,False,,False,False,False,True,True,1.8413525289592263,5.0,False,0.05294438794744827,0.02517264465240321,True,True,True,0.06106129356542267,0.09702931779670898,True,True,True,0.02441535112681259,0.02673883754065831,False,True,True,0.053609298001944916,-0.021035361604457403,True,True,True,0.5789473684210527,0.9166666666666666,False,False,below200_falling,Healthcare,Diagnostics & Research,XLV,test,2022,base
A,2023-11-20,111.84583282470703,102.14100955867245,2.9333129545198227,0.09413932209570675,0.11221254638230471,0.0636076325301409,False,False,False,False,False,False,False,0.12195125777829885,0.13370761932820696,0.0636076325301409,False,False,False,False,False,False,False,0.22644334115946707,0.22732074172905548,0.0636076325301409,False,False,False,False,False,False,False,0.15126825589089998,0.23916503349688534,0.0636076325301409,False,False,False,False,False,False,False,False,False,False,True,True,,0.1266186463199097,0.1266186463199097,0.1266186463199097,0.1266186463199097,0.1266186463199097,-0.27942708881182166,0.03695184666387741,-0.04128814452429774,-0.015703956694574805,-0.01678168266868929,-0.08142162084240412,-0.03575341403907584,0.03406892513284876,-0.08644484214572457,-0.016653408630646904,-0.038422619655667845,-0.07756901438407937,0.008727921170421205,102.14100955867245,59.9938042760391,1.4257666417352282,False,False,False,,False,False,False,False,False,10.218378778773022,4.0,False,-0.035127922777215326,-0.006606861996041435,True,False,False,-0.05112497320347531,-0.02718208600086025,False,False,False,-0.04068887733442672,0.03328725735943783,True,True,False,0.028136558863364858,0.03639661584999887,True,True,False,0.6206896551724138,0.75,True,True,above200_rising,Healthcare,Diagnostics & Research,XLV,test,2023,base
AAL,2015-09-14,40.32727813720703,36.57014052240374,1.3125473689852716,0.022227574110674775,0.05438644169522444,-0.009458331087664251,False,False,False,False,False,False,False,-0.07590426156835595,0.05438644169522444,-0.0863086720584274,True,True,False,False,False,False,False,0.03665184891454931,0.05438644169522444,-0.115157211965495,True,True,True,False,False,False,False,0.09884147590789394,0.10120606527749354,-0.115157211965495,True,True,True,False,False,False,False,True,True,True,True,True,12.0,0.1277334715857208,0.1277334715857208,0.1277334715857208,0.1277334715857208,0.49294774151764575,-0.23824316128301926,0.03078360948565928,0.00085039241551077,-0.008362740139239211,-0.03970905970935257,-0.08718038392397698,-0.004586517033843829,0.03791326647451232,-0.029276576446746527,0.0033499702173671597,-0.08335210852434805,,,36.57014052240374,58.09707905026174,0.6191043189726358,True,False,False,,False,False,False,False,False,,0.0,False,0.053714065446388126,0.14866458713176822,True,True,True,0.03552882107777333,0.11391398365156724,True,True,True,0.035358828958750976,0.17253976396372406,True,True,True,,,,,,,,False,False,below200_falling,Unmapped,Unmapped,,train,2015,base
AAL,2016-03-07,40.3712043762207,37.74558464138603,0.9534642483137249,0.01091838293787939,0.01352936295056728,-0.04937117001417102,False,False,False,False,False,False,False,0.0318061802299503,0.039164298192479574,-0.04937117001417102,False,False,False,False,False,False,False,-0.07595537740517422,0.039164298192479574,-0.08046519523036177,True,True,True,False,False,False,False,-0.01875146046954812,0.039164298192479574,-0.10016634183918549,True,True,True,True,False,True,False,True,True,True,False,False,18.0,0.1850914165025508,0.1850914165025508,0.1850914165025508,0.1850914165025508,0.1850914165025508,-0.2374134223441815,0.05412211951529389,-0.02936983806145732,0.006961719522254661,-0.004593973292590703,0.018869035960384695,-0.020969959199196087,0.06170649481345758,-0.06894247362420236,0.012790388332577729,-0.01647413975628187,0.01696434697653859,-0.003878657833597754,37.74558464138603,62.05782695444961,0.8207169200562499,False,False,False,,False,False,False,False,True,,0.0,False,0.0770864519482497,-0.000983503887835746,True,True,False,0.07399686814986173,0.04811660214748148,True,True,True,0.034981925650757306,0.020634434457334372,False,False,True,,,,,,,,False,False,below200_falling,Unmapped,Unmapped,,train,2016,base
AAL,2016-07-18,34.62567138671875,26.062957654358634,1.3317039531110757,-0.006383558637563125,0.019428396642685808,-0.04412986565067345,False,False,False,False,False,False,False,-0.011934345072421082,0.019705738763694747,-0.04412986565067345,False,False,False,False,False,False,False,-0.0014608492403583861,0.019705738763694747,-0.08135522035943388,True,True,False,False,False,False,False,0.006890228747397753,0.02971731140701306,-0.08135522035943388,True,True,False,False,False,False,False,False,False,False,True,True,,0.4258014123848948,0.4258014123848948,0.4258014123848948,0.4258014123848948,0.4258014123848948,-0.22080097834763734,0.15075791372618985,-0.08505906006922026,0.013113194303132625,-0.041966674326327946,-0.06607446107668657,-0.02665576862719987,0.15937830612663628,-0.1635287483007669,0.025571532945032338,-0.08443397887055071,-0.10767201692294737,-0.014790319044568623,26.062957654358634,69.28558946145598,0.5858387364321272,True,False,False,,False,False,False,False,False,,0.0,False,0.17189560287726957,0.03470922010434285,True,True,False,0.16199997079237116,0.022040260379353693,True,True,False,0.16182207652392355,0.004334280043449379,True,True,False,,,,,,,,True,True,above200_rising,Unmapped,Unmapped,,train,2016,base
AAL,2017-10-16,50.83449172973633,45.92318213162662,1.217059590932621,-0.024679653401252888,0.010522282916995973,-0.05050686391636661,True,False,False,False,False,False,False,-0.09603978160818016,0.01760099660622294,-0.10407494851874044,True,True,True,False,False,False,False,-0.1230121033708873,0.01760099660622294,-0.1321981805781779,True,True,True,True,False,True,False,-0.05628894044907995,0.01760099660622294,-0.1321981805781779,True,True,True,True,False,True,False,True,True,True,False,True,10.0,0.17778285683175032,0.19885319596706852,0.2178472127786819,0.24735764038037145,0.3669870435347695,-0.034009135261411694,0.10342868194071375,-0.020431328454307285,0.06957931932320727,0.017367091591643957,0.11607827148170857,0.0036095558693798324,0.10598589283302395,-0.057162928652439104,0.06721197108488508,0.02369063907403346,0.26400023675948625,0.006132199870799937,45.92318213162662,66.88406517284056,0.5823185642936958,True,False,False,1.7586756691633727,False,False,False,False,False,78.22348177717429,0.0,False,0.12843837048893803,-0.00573473641678357,True,True,True,0.12803365720589688,-0.007167209395420482,True,True,True,0.10563441194372358,-0.033699313842683654,True,True,False,,,,,,,,True,True,above200_rising,Unmapped,Unmapped,,train,2017,base
AAL,2022-04-04,18.229999542236328,15.899999618530273,0.6592859540666852,-0.06911685466379713,0.018650584812147653,-0.10202955291872473,True,True,False,False,False,False,False,0.07460233924859039,0.08612176271243177,-0.10202955291872473,True,True,False,False,False,False,False,0.04936915200930758,0.17498632003071846,-0.10202955291872473,True,True,False,False,False,False,False,-0.022490392633428113,0.17498632003071846,-0.17224352542486376,True,True,True,True,True,True,False,False,True,True,False,False,27.0,0.3493707796735652,0.41978187894040553,0.41978187894040553,0.41978187894040553,0.41978187894040553,-0.2939581813437958,0.09346319442966156,-0.04504474168780459,0.04072705853019909,-0.040507011131371784,-0.03799728277263359,-0.037352651474673926,0.10057952756170252,-0.04782708439742944,0.058222519441272436,-0.08009824836581303,-0.2372247094899741,-0.04253570746251534,15.899999618530273,62.621658257245045,0.48560571974879296,False,False,False,,False,False,False,False,False,26.17424497513467,0.0,True,0.2995946010255153,0.06900607746973608,True,True,True,0.24738892451673267,0.06375881389397242,True,True,True,0.320285571930198,0.057584406208039285,True,True,True,,,,,,,,True,True,above200_rising,Unmapped,Unmapped,,test,2022,base
AAL,2022-08-15,15.329999923706055,13.520000457763672,0.5528571265084403,-0.10567513983179744,0.024788004979262368,-0.11219832195622059,True,True,False,False,False,False,False,-0.11872144187096845,0.024788004979262368,-0.12263536358755733,True,True,True,False,False,False,False,-0.10763206958525429,0.024788004979262368,-0.18460534493087577,True,True,True,True,True,True,True,-0.19960857672350352,0.024788004979262368,-0.22700584211060004,True,True,True,True,True,True,True,True,True,True,False,False,10.0,0.1414742796244044,0.1414742796244044,0.26069079901909586,0.26069079901909586,0.26069079901909586,-0.31132076522552166,0.07904553353223265,-0.06372742532407671,-0.040987915434829825,-0.014050452063244956,-0.09225217073044079,-0.03194010910737999,0.09110319741680106,-0.1765809020040976,-0.03678803999707281,-0.056076157067517896,-0.295740006649043,-0.04205660106417941,13.520000457763672,59.01105859860526,0.6017097153641746,False,False,False,,False,False,False,False,False,25.910273132789246,0.0,False,-0.060993090805935846,-0.14915089418953031,True,False,False,-0.08387721543961868,-0.17282698950978626,False,False,False,-0.0949525137984375,-0.17791324148901377,False,False,False,,,,,,,,False,False,below200_falling,Unmapped,Unmapped,,test,2022,base
AAL,2022-10-24,14.100000381469727,11.789999961853027,0.7064285278320312,0.0056737533008290875,0.026950294360700733,-0.02198584476806842,False,False,False,False,False,False,False,0.015602787759042558,0.03120564315455976,-0.06382982608903853,True,False,False,False,False,False,False,-0.017730495974209393,0.07659573719766666,-0.06382982608903853,True,False,False,False,False,False,False,0.0163120238307648,0.07659573719766666,-0.06382982608903853,True,False,False,False,False,False,False,False,False,False,True,True,,0.18288593047170232,0.18887021835041518,0.18887021835041518,0.18887021835041518,0.18887021835041518,-0.36657680878298904,0.05040454578325426,-0.0448561960947329,0.019043860487746977,-0.05647575448508568,-0.09367595285616304,-0.03147013186477532,0.0674540439838005,-0.061594210115590076,0.034520739785520504,-0.12460258925073453,-0.31929226481612494,-0.04061253931276232,11.789999961853027,59.94323578283416,0.8073004704885434,True,False,False,,False,False,False,False,False,12.762627472899501,2.0,False,0.14318214212836056,0.03802627609079101,True,True,False,0.17145011958761547,0.09508814301200075,True,True,True,0.12532762138178044,0.06260132455388523,True,True,False,,,,,,,,False,False,below200_falling,Unmapped,Unmapped,,test,2022,base
