signal_name,filters,sample_size,median_5D,mean_5D,win_rate_5D,ret_5D_p10,ret_5D_p25,ret_5D_p50,ret_5D_p75,ret_5D_p90,median_MFE_5D,median_MAE_5D,median_10D,mean_10D,win_rate_10D,ret_10D_p10,ret_10D_p25,ret_10D_p50,ret_10D_p75,ret_10D_p90,median_MFE_10D,median_MAE_10D,median_20D,mean_20D,win_rate_20D,ret_20D_p10,ret_20D_p25,ret_20D_p50,ret_20D_p75,ret_20D_p90,median_MFE_20D,median_MAE_20D,median_30D,mean_30D,win_rate_30D,ret_30D_p10,ret_30D_p25,ret_30D_p50,ret_30D_p75,ret_30D_p90,median_MFE_30D,median_MAE_30D,MFE_MAE_ratio_20D,stopout_rate_5pct,stopout_rate_8pct,stopout_rate_5pct_5D,stopout_rate_5pct_10D,stopout_rate_5pct_20D,stopout_rate_5pct_30D,new_low_rate_30D,new_low_rate_60D,durable_bottom_30D,durable_bottom_60D,median_distance_from_60D_low,median_distance_from_30D_low,extension_penalty,prob_MFE20_ge_5pct,prob_MFE20_ge_8pct,prob_MFE20_ge_10pct,prob_MFE20_ge_15pct,prob_MFE20_ge_20pct,prob_MAE20_le_3pct,prob_MAE20_le_5pct,prob_MAE20_le_8pct,prob_MAE20_le_10pct,median_time_to_new_low_if_failed,parent_signal
Basic Materials,sector,138,0.0057222327112843585,0.005516057779239481,0.5507246376811594,-0.04478911974113022,-0.01772261077178125,0.0057222327112843585,0.028419182998253523,0.050930256001782324,0.021669222624603135,-0.02001453848861595,0.011591021020721737,0.005904997726022648,0.5797101449275363,-0.07193272317091044,-0.027746783669294228,0.011591021020721737,0.0402611157914346,0.06820497771555395,0.03668682672139689,-0.031209588524262477,0.021180690837344973,0.01736520248558024,0.6231884057971014,-0.08271274830696285,-0.02731680861458058,0.021180690837344973,0.0598532541667432,0.10614644151896774,0.05906815992402403,-0.037924199281350934,0.015212961804858538,0.014489121189115998,0.5652173913043478,-0.10501410525574457,-0.031745864788165906,0.015212961804858538,0.07493211277700079,0.12423809649249186,0.07044472224375475,-0.044947782156195215,1.5575321573914034,0.391304347826087,0.2246376811594203,0.16666666666666666,0.26811594202898553,0.391304347826087,0.4420289855072464,0.3115942028985507,0.47101449275362317,0.7971014492753623,0.7246376811594203,0.15547787600187635,0.1455282423409312,0.1183773200893938,0.5434782608695652,0.2971014492753623,0.2028985507246377,0.07971014492753623,0.028985507246376812,0.5869565217391305,0.391304347826087,0.2246376811594203,0.15942028985507245,18.0,base
Communication Services,sector,158,0.004834381595204329,0.0038435530133878186,0.5189873417721519,-0.05550305780604609,-0.018904826003919795,0.004834381595204329,0.024823967488405096,0.044890744513521784,0.02352947425056806,-0.022500492383742188,0.011626071963690698,0.010539183802205202,0.6075949367088608,-0.0544077450867728,-0.02548085702510408,0.011626071963690698,0.04317338659767078,0.07259885563450592,0.04144847786401695,-0.030428515051740157,0.003446891335937674,0.0044353042017572005,0.5126582278481012,-0.0894399826578311,-0.03469227979313022,0.003446891335937674,0.04421456359344128,0.09555944118635745,0.0538660602791845,-0.04551979223799668,0.014363400400027149,0.011427458047211498,0.5886075949367089,-0.10357525219642308,-0.04391886628946717,0.014363400400027149,0.057320326314771075,0.11061296589558907,0.0658679450581755,-0.05462240769266119,1.183354704203174,0.43670886075949367,0.22784810126582278,0.16455696202531644,0.27848101265822783,0.43670886075949367,0.5253164556962026,0.3291139240506329,0.4873417721518987,0.7974683544303798,0.6582278481012658,0.14640316669800002,0.13754982383963688,0.11511451172619047,0.5506329113924051,0.2911392405063291,0.18354430379746836,0.10126582278481013,0.056962025316455694,0.6835443037974683,0.43670886075949367,0.22784810126582278,0.16455696202531644,15.0,base
Consumer Cyclical,sector,342,0.0052184802276165065,0.005140992979504662,0.5526315789473685,-0.04348959715583653,-0.018300043586979148,0.0052184802276165065,0.028218859968504983,0.0527541444582082,0.0254694318159725,-0.021403891246622342,0.008631818748962128,0.006604618754640338,0.5964912280701754,-0.057382258490583704,-0.02476015524015801,0.008631818748962128,0.03900791927616831,0.07091720526313694,0.03902483211536645,-0.031943929923374526,0.014879531842927118,0.012991671562549552,0.564327485380117,-0.08294699971089058,-0.03664792238912892,0.014879531842927118,0.066331182974884,0.10590647459813649,0.06002197202414872,-0.044641232633606864,0.008147395434340843,0.014255212732597765,0.543859649122807,-0.10164025778987616,-0.04432694980392096,0.008147395434340843,0.08304986892411081,0.13228281651615004,0.07894676899746444,-0.05568905991806894,1.3445410998567031,0.4619883040935672,0.29239766081871343,0.18128654970760233,0.31871345029239767,0.4619883040935672,0.5555555555555556,0.3508771929824561,0.5029239766081871,0.7543859649122807,0.6695906432748538,0.1519585595251024,0.1431658003473517,0.11830940414948377,0.5760233918128655,0.3830409356725146,0.2719298245614035,0.0935672514619883,0.038011695906432746,0.6257309941520468,0.4619883040935672,0.29239766081871343,0.19298245614035087,18.0,base
Consumer Defensive,sector,227,0.0024476141423812603,0.0014429982699838276,0.5374449339207048,-0.035866059188052475,-0.013969779939540627,0.0024476141423812603,0.01860953953941169,0.03440626243063503,0.01730545847500209,-0.016428481005648643,0.006205926668334305,0.004525119034091575,0.5859030837004405,-0.04551054958349776,-0.01592019847232451,0.006205926668334305,0.030227867495771332,0.04595695576052507,0.026649966090233512,-0.022053043245332304,0.006387916544588146,0.005006033156378031,0.5770925110132159,-0.07775380224398305,-0.03046125567088398,0.006387916544588146,0.042771307128916525,0.08402363231815008,0.04225032159548081,-0.029482865098647948,0.012304854947156718,0.007613698172821054,0.5506607929515418,-0.07854531243005244,-0.04023991938307753,0.012304854947156718,0.06008722368507713,0.08844329041474959,0.051748966465149815,-0.03888273974531309,1.4330466680939487,0.30837004405286345,0.1894273127753304,0.1013215859030837,0.18061674008810572,0.30837004405286345,0.4008810572687225,0.36123348017621143,0.5374449339207048,0.748898678414097,0.7092511013215859,0.1100825811089996,0.09732141314553822,0.08317067656603261,0.40969162995594716,0.20704845814977973,0.11894273127753303,0.039647577092511016,0.013215859030837005,0.4933920704845815,0.30837004405286345,0.1894273127753304,0.1145374449339207,17.0,base
Energy,sector,157,0.008453971973700236,0.006316190817987277,0.5796178343949044,-0.04664960082348,-0.01780048175615767,0.008453971973700236,0.03171501035936264,0.051784409194363376,0.028499003929860045,-0.022058473589654404,0.015066882796130443,0.008617727057361286,0.5668789808917197,-0.07240000216091427,-0.025045543066710918,0.015066882796130443,0.051659758308149506,0.08587385998148155,0.042988529955296784,-0.029588812003996323,0.01939118296832887,0.01754293775099542,0.643312101910828,-0.11255029371461417,-0.040178483754025884,0.01939118296832887,0.07486247874624485,0.1338403633588459,0.05999457513872897,-0.0396174781862656,0.02651160204229641,0.03001556669169081,0.6178343949044586,-0.0967470619644127,-0.036980014379979886,0.02651160204229641,0.0845557184209138,0.16460997082149215,0.08041924092009611,-0.0476534515523539,1.5143461392635438,0.4140127388535032,0.27388535031847133,0.20382165605095542,0.28662420382165604,0.4140127388535032,0.47770700636942676,0.4012738853503185,0.4968152866242038,0.732484076433121,0.6815286624203821,0.16874297476218336,0.15913402674765442,0.13003612902845235,0.6178343949044586,0.4012738853503185,0.34394904458598724,0.1337579617834395,0.044585987261146494,0.6178343949044586,0.4140127388535032,0.27388535031847133,0.2229299363057325,13.5,base
Financial,sector,503,0.001886639501258669,0.0035629297325561983,0.5268389662027833,-0.03567371320975234,-0.015218813185050029,0.001886639501258669,0.023462260073706886,0.04841977144296227,0.017980435583793586,-0.018953251555787642,0.003991311444336176,0.004099633648678338,0.5427435387673957,-0.056664414570546336,-0.0220772098798383,0.003991311444336176,0.03265822518847117,0.06179172143729953,0.028612696746336708,-0.027623302162736896,0.012793451381729604,0.009981261753552361,0.5924453280318092,-0.07518355789126593,-0.028153747789487427,0.012793451381729604,0.04938126990675773,0.09220645418840002,0.04589193798052005,-0.03542926831364668,0.013329765033902152,0.010706249134534402,0.562624254473161,-0.08866333937932248,-0.036963001376406956,0.013329765033902152,0.059443141804647714,0.10979769237699029,0.055309956882540146,-0.04443511579163151,1.29531148016521,0.36381709741550694,0.20079522862823063,0.12524850894632206,0.24652087475149106,0.36381709741550694,0.45129224652087474,0.3817097415506958,0.5049701789264414,0.7554671968190855,0.6242544731610338,0.1411085395282503,0.12839074151665142,0.10906272938109807,0.4711729622266402,0.2524850894632207,0.16898608349900596,0.05765407554671968,0.02385685884691849,0.5685884691848907,0.36381709741550694,0.20079522862823063,0.14314115308151093,14.0,base
Healthcare,sector,426,0.001385912446988602,0.002929427587013916,0.5187793427230047,-0.04414049782282076,-0.020885095660274966,0.001385912446988602,0.02651853285991307,0.046796390061510595,0.019406090563530154,-0.021773665852976742,0.008394708340969115,0.00814326694482036,0.5915492957746479,-0.06367236769403489,-0.021835072803216782,0.008394708340969115,0.04270556507247081,0.06858825891016573,0.035802067282625805,-0.027973981677244963,0.019124651075243637,0.012737828621926281,0.6056338028169014,-0.07797612543213905,-0.032920984999777164,0.019124651075243637,0.058104617768179934,0.09730902662224239,0.054243783766060205,-0.03859184235491386,0.018307604171207692,0.016676042546213868,0.5892018779342723,-0.08665369979265669,-0.04409081282267466,0.018307604171207692,0.07504127262838534,0.1280726705193076,0.06538841077500857,-0.04598894889913502,1.4055764238255755,0.38028169014084506,0.19483568075117372,0.1643192488262911,0.2699530516431925,0.38028169014084506,0.4765258215962441,0.37089201877934275,0.4835680751173709,0.7676056338028169,0.6713615023474179,0.14090836092461323,0.13391913731935556,0.11100528305213286,0.5352112676056338,0.3004694835680751,0.1784037558685446,0.07746478873239436,0.03286384976525822,0.5821596244131455,0.38028169014084506,0.19483568075117372,0.15258215962441316,14.0,base
Industrials,sector,571,0.008839786958189988,0.007215219218205808,0.6129597197898424,-0.035265873023116456,-0.011668229768655058,0.008839786958189988,0.028643020508810402,0.0516204103466702,0.024239496503018598,-0.01676852383047156,0.01734904149984784,0.015528603034888093,0.6409807355516638,-0.04347827309185015,-0.01311970985468347,0.01734904149984784,0.04530140098498647,0.0753749144254634,0.03667302385093518,-0.023560885113756647,0.027615588519305456,0.02524003806054658,0.660245183887916,-0.061060160057907154,-0.02297762094953365,0.027615588519305456,0.06629607076069532,0.1053157136006464,0.05853742241192039,-0.03426717058517115,0.029613810140286967,0.02677352645032569,0.6287215411558669,-0.0826558002262443,-0.03090391656989322,0.029613810140286967,0.08319702631719161,0.12933648060001568,0.07355256177063141,-0.041911758439656,1.708265415915372,0.3467600700525394,0.15761821366024517,0.11733800350262696,0.1978984238178634,0.3467600700525394,0.4238178633975482,0.30297723292469353,0.44308231173380036,0.8143607705779334,0.7180385288966725,0.14615829455740892,0.13848239471856294,0.11652047281132538,0.5796847635726795,0.31523642732049034,0.2224168126094571,0.07355516637478109,0.03677758318739054,0.542907180385289,0.3467600700525394,0.15761821366024517,0.09982486865148861,19.0,base
Real Estate,sector,232,0.009303302248639733,0.007643295170584563,0.646551724137931,-0.033819043214644726,-0.008595837053195249,0.009303302248639733,0.024479085400783696,0.045043455872858615,0.02278638479275019,-0.017345585300438893,0.01186440771385211,0.010328988890728384,0.6120689655172413,-0.041072935825331995,-0.017374578770800897,0.01186440771385211,0.03633266056452117,0.06244093179187181,0.03578580603862125,-0.02365204835460394,0.009239923861105948,0.009262346663998366,0.5517241379310345,-0.06897353667678674,-0.031031233179712098,0.009239923861105948,0.047699246439813825,0.0815872614318158,0.054072604978060546,-0.03504900309389469,0.005389700440453615,0.0031519999884262124,0.5431034482758621,-0.0916773816625029,-0.037937949773666546,0.005389700440453615,0.05016291988078936,0.09469199539834129,0.05879893154131399,-0.044330973876500424,1.5427715542494171,0.33189655172413796,0.15948275862068967,0.06465517241379311,0.16810344827586207,0.33189655172413796,0.4353448275862069,0.41379310344827586,0.5387931034482759,0.7586206896551724,0.6551724137931034,0.1260487904517924,0.11389810325989735,0.0961536132367451,0.5258620689655172,0.21982758620689655,0.13793103448275862,0.05172413793103448,0.017241379310344827,0.5775862068965517,0.33189655172413796,0.15948275862068967,0.10775862068965517,15.0,base
Technology,sector,547,0.0058635719088218075,0.006603903930136825,0.5648994515539305,-0.048668996515968496,-0.01930794274630515,0.0058635719088218075,0.03213358195803828,0.06197707846476375,0.027666968173617024,-0.021320895961592146,0.013816727443611398,0.015198512817878804,0.6288848263254113,-0.06039978559991386,-0.020857243997496278,0.013816727443611398,0.04839735393686695,0.08774444198346887,0.04276743527798721,-0.029786054989327404,0.02384872636148838,0.022352432972583578,0.6051188299817185,-0.10437060703243561,-0.03562723130007123,0.02384872636148838,0.08016101810066101,0.1360609381059116,0.0688565232117535,-0.04123118475189258,0.02987752287586609,0.03112389598089897,0.6069469835466179,-0.12001224024341021,-0.04235159948699141,0.02987752287586609,0.10058386974408651,0.17719959261783846,0.08908932943661951,-0.05439763554492261,1.670010784945802,0.45521023765996343,0.2943327239488117,0.23217550274223034,0.33455210237659966,0.45521023765996343,0.5301645338208409,0.3382084095063985,0.47714808043875684,0.7787934186471663,0.6508226691042047,0.18230770847701905,0.169475683945987,0.14228153997903353,0.6142595978062158,0.4460694698354662,0.3217550274223035,0.16087751371115175,0.08592321755027423,0.6124314442413162,0.45521023765996343,0.2943327239488117,0.21937842778793418,16.0,base
