signal_name,filters,sample_size,median_5D,mean_5D,win_rate_5D,ret_5D_p10,ret_5D_p25,ret_5D_p50,ret_5D_p75,ret_5D_p90,median_MFE_5D,median_MAE_5D,median_10D,mean_10D,win_rate_10D,ret_10D_p10,ret_10D_p25,ret_10D_p50,ret_10D_p75,ret_10D_p90,median_MFE_10D,median_MAE_10D,median_20D,mean_20D,win_rate_20D,ret_20D_p10,ret_20D_p25,ret_20D_p50,ret_20D_p75,ret_20D_p90,median_MFE_20D,median_MAE_20D,median_30D,mean_30D,win_rate_30D,ret_30D_p10,ret_30D_p25,ret_30D_p50,ret_30D_p75,ret_30D_p90,median_MFE_30D,median_MAE_30D,MFE_MAE_ratio_20D,stopout_rate_5pct,stopout_rate_8pct,stopout_rate_5pct_5D,stopout_rate_5pct_10D,stopout_rate_5pct_20D,stopout_rate_5pct_30D,new_low_rate_30D,new_low_rate_60D,durable_bottom_30D,durable_bottom_60D,median_distance_from_60D_low,median_distance_from_30D_low,extension_penalty,prob_MFE20_ge_5pct,prob_MFE20_ge_8pct,prob_MFE20_ge_10pct,prob_MFE20_ge_15pct,prob_MFE20_ge_20pct,prob_MAE20_le_3pct,prob_MAE20_le_5pct,prob_MAE20_le_8pct,prob_MAE20_le_10pct,median_time_to_new_low_if_failed,window,period,years
base,train,2883,0.0018610838166697,0.003982735436699168,0.5227193895248006,-0.05195286733571224,-0.0201445960138947,0.0018610838166697,0.02502171508158045,0.05712703876597318,0.0223514163807865,-0.0244296637301887,0.0062992366280143,0.006716875235461438,0.552202566770725,-0.07012743473173619,-0.0261740083385084,0.0062992366280143,0.038589876756132846,0.07685325754026177,0.0357228681351524,-0.0332418213347629,0.0084806783050912,0.011704321731965962,0.5504682622268471,-0.1026978919059819,-0.03590165745619965,0.0084806783050912,0.0561062838742951,0.11414971688574681,0.0536300936187608,-0.0458450287787397,0.0089108875943344,0.013579557299048724,0.5407561567811308,-0.1248116640607481,-0.04761886224161395,0.0089108875943344,0.0674687465796256,0.14034645698799,0.0653209623843984,-0.0557162357917665,1.1698126284878976,0.46063128685397153,0.2826916406520985,0.22754075615678113,0.33888310787374265,0.46063128685397153,0.5452653485952134,0.3648976760319112,0.5053763440860215,0.7620534165799514,0.6798473812001388,0.1490825861153117,0.1390283636419247,0.11577259085523431,0.5286160249739854,0.3284772806104752,0.24002774887270203,0.12209503988900451,0.07041276448144294,0.6409989594172737,0.46063128685397153,0.2826916406520985,0.21262573707943114,16.0,2015-2017|2018|2019,train,"2015,2016,2017"
base,validation,981,0.0001729351534427,-0.0004647850501846304,0.5005096839959225,-0.0568570562269048,-0.0246955680416827,0.0001729351534427,0.0221364697502239,0.0494811695487062,0.0225774364472763,-0.02346038923338,0.0025932656092215,0.0023619759713564836,0.5137614678899083,-0.0804249306379227,-0.0368421131884294,0.0025932656092215,0.0344780579394021,0.0725719313772772,0.0338563158234854,-0.0333918496518941,0.0015021995327939,-0.00023559759495379238,0.5056065239551478,-0.1137559698972685,-0.0535572949279899,0.0015021995327939,0.0502951489114977,0.0972222645341625,0.0499999515712268,-0.0537253861394112,0.0059281270226843,0.0059881427359408075,0.5249745158002038,-0.1295370883435739,-0.0525620279609062,0.0059281270226843,0.059899488699382,0.1237901898240652,0.0618363746044194,-0.0649720589337493,0.9306578354129029,0.5310907237512742,0.345565749235474,0.2558613659531091,0.3761467889908257,0.5310907237512742,0.5973496432212029,0.4434250764525994,0.5626911314984709,0.6748216106014271,0.6075433231396534,0.1344282179221627,0.12425486815272,0.10539489932795412,0.4984709480122324,0.3068297655453619,0.21508664627930682,0.10295616717635066,0.06422018348623854,0.6707441386340469,0.5310907237512742,0.345565749235474,0.26299694189602446,14.0,2015-2017|2018|2019,validation,2018
base,test,1497,0.0077481113399053,0.006760033536263502,0.5978623914495658,-0.051977688836645025,-0.0176537695320861,0.0077481113399053,0.0317783704725753,0.05943273600585673,0.0276328701648824,-0.022175019436617,0.0099980388623059,0.01042025438422671,0.575818303273213,-0.07890563774313081,-0.0270992615745472,0.0099980388623059,0.0438789240461474,0.08716153526773414,0.042223725528812,-0.0325646044425567,0.0241668001794488,0.02485949780512777,0.6192384769539078,-0.10718728225074217,-0.0314960334281626,0.0241668001794488,0.0735564907306409,0.14506115665925023,0.068548419969264,-0.0440263934193259,0.0258264638757366,0.03159991676716775,0.6205744822979292,-0.11290683558258523,-0.0368190756614098,0.0258264638757366,0.0924075904617676,0.16961272477355305,0.085829440262048,-0.0526558618815268,1.5569846777222927,0.447561790247161,0.2972611890447562,0.21108884435537742,0.34001336005344024,0.447561790247161,0.5170340681362725,0.3520374081496326,0.47962591850367403,0.7521710086840347,0.6847027388109552,0.1745283839213229,0.1650244945145409,0.13071558520843424,0.6225784903139613,0.42150968603874417,0.3273213092852371,0.17835671342685372,0.10020040080160321,0.6319305277221109,0.447561790247161,0.2972611890447562,0.23446893787575152,14.0,2015-2017|2018|2019,test,2019
candidate_1_cohort_rs_antichase,train,82,0.0059987819422255,0.0014904293324163064,0.6097560975609756,-0.04523893296056834,-0.0137107168214361,0.0059987819422255,0.02227611756682025,0.03406770935756501,0.0168355145207075,-0.01557661570529045,0.0170436987618404,0.008923241858384572,0.6707317073170732,-0.042902160885528826,-0.009236935992369775,0.0170436987618404,0.03378448500303525,0.05557743730768486,0.02997098581067075,-0.0174511232973457,0.0028632009181286,0.006660636280094288,0.5853658536585366,-0.05166796476717429,-0.021713071430417827,0.0028632009181286,0.03858925693050162,0.07805681328993817,0.040620353917257546,-0.0241764058004354,0.01357513174059825,0.012676014909387544,0.5975609756097561,-0.06940922481575777,-0.0304681010199319,0.01357513174059825,0.0500239626860053,0.11160749610996441,0.04713622826154015,-0.039074578783826405,1.6801651268000308,0.25609756097560976,0.18292682926829268,0.0975609756097561,0.13414634146341464,0.25609756097560976,0.35365853658536583,0.45121951219512196,0.524390243902439,0.7317073170731707,0.7682926829268293,0.09263475848692375,0.0861026657700555,0.07600980529995757,0.3780487804878049,0.18292682926829268,0.08536585365853659,0.012195121951219513,0.0,0.4634146341463415,0.25609756097560976,0.18292682926829268,0.0975609756097561,16.0,2015-2017|2018|2019,train,"2015,2016,2017"
candidate_1_cohort_rs_antichase,validation,43,0.0121600734539917,0.00815777442236168,0.6744186046511628,-0.02611411417603206,-0.0060875579361374995,0.0121600734539917,0.0236551120513047,0.03496387145698149,0.0245597281672698,-0.0133331948980561,0.0112787484944973,0.008833413111132653,0.6744186046511628,-0.04212913252833084,-0.008192984221297349,0.0112787484944973,0.027352837643444698,0.0461751259133629,0.0306976663733871,-0.0152349407943864,0.0361338533810733,0.02001558739158253,0.6976744186046512,-0.045349909805232964,-0.007117955965895,0.0361338533810733,0.052948364839226,0.08369042341721039,0.045831904490706,-0.019809592593277,0.0155365778503595,0.01993115824655426,0.6744186046511628,-0.03199840605617919,-0.0180013130268438,0.0155365778503595,0.0564524335000283,0.09003040252793257,0.0679745983519446,-0.0256069831555,2.313621760513161,0.2558139534883721,0.023255813953488372,0.09302325581395349,0.20930232558139536,0.2558139534883721,0.32558139534883723,0.37209302325581395,0.5116279069767442,0.7906976744186046,0.6511627906976745,0.0910130246093605,0.0785402299894328,0.06795166081981091,0.4186046511627907,0.20930232558139536,0.09302325581395349,0.0,0.0,0.3488372093023256,0.2558139534883721,0.023255813953488372,0.023255813953488372,17.5,2015-2017|2018|2019,validation,2018
candidate_1_cohort_rs_antichase,test,14,0.008340307212047,0.009991981327151178,0.7142857142857143,-0.01735923406711873,-0.006295740810760325,0.008340307212047,0.024356475747519347,0.04433863946779255,0.015737502800631,-0.0143232554592331,0.01595758083076075,0.010884622559122994,0.6428571428571429,-0.02859853162130325,-0.011550391059146575,0.01595758083076075,0.03818539028858077,0.04402087740218626,0.0288444419401495,-0.0143232554592331,0.025688357314009848,0.03791823839274306,0.7142857142857143,-0.04773433329031601,-0.00017516750800272447,0.025688357314009848,0.04899500861029035,0.1321801043654483,0.05108268578112015,-0.01850071912382075,0.05256731019903445,0.05964006623340644,0.7142857142857143,-0.04830623969369413,0.0007217598062089748,0.05256731019903445,0.10037580210800415,0.17846884487454767,0.07053605683580494,-0.024974860479919397,2.761118929444652,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5,0.7857142857142857,0.5714285714285714,0.0938698870215486,0.081967002987482,0.07138167998119252,0.5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.0,17.0,2015-2017|2018|2019,test,2019
cohort_sector_50,train,275,0.0053295951133707,0.003944592482001235,0.5709090909090909,-0.037349941580455334,-0.01211000419995805,0.0053295951133707,0.024964867979159498,0.04102722292705392,0.0193425375744147,-0.0198524044632695,0.015216197414501,0.013158853553288935,0.6727272727272727,-0.04048200673420423,-0.00890722933118185,0.015216197414501,0.041806133619275154,0.07076534890362975,0.0331630162824552,-0.0237128369884815,0.0113538960884782,0.011706552712942006,0.5818181818181818,-0.061222343086881036,-0.0241813882346913,0.0113538960884782,0.04551390221038635,0.0845797247178664,0.0449310094940966,-0.0304847139668194,0.0178081727900107,0.01662824121656123,0.5963636363636363,-0.07513688863159872,-0.031159352516165598,0.0178081727900107,0.059561701488217905,0.1111440711807362,0.053607711790869,-0.0431124542442412,1.4738865368066447,0.32727272727272727,0.16363636363636364,0.13090909090909092,0.19272727272727272,0.32727272727272727,0.4254545454545455,0.3090909090909091,0.5418181818181819,0.8436363636363636,0.6618181818181819,0.1379783139277985,0.1259391893867387,0.10607847855555544,0.4290909090909091,0.22545454545454546,0.14909090909090908,0.04727272727272727,0.01818181818181818,0.5163636363636364,0.32727272727272727,0.16363636363636364,0.10545454545454545,24.0,2015-2017|2018|2019,train,"2015,2016,2017"
cohort_sector_50,validation,143,0.0007599294561786,-0.00336394460377621,0.5174825174825175,-0.0463257856658989,-0.020989871174038548,0.0007599294561786,0.01873291746645595,0.03335496634661202,0.0166899469473555,-0.0162482297741667,-0.0029762206614594,-0.0032547615766049163,0.48951048951048953,-0.05404096814489096,-0.022981312516562,-0.0029762206614594,0.027494990276406603,0.04512010909848506,0.0243533882814148,-0.0248561123616292,0.0148538471258619,0.009229367468905764,0.6223776223776224,-0.05828264247404141,-0.0258879245858388,0.0148538471258619,0.0486290133429357,0.07004092610304766,0.0409664638280113,-0.0310499549948891,0.0168727803061023,0.013350763866875531,0.6293706293706294,-0.05919359660539637,-0.0222477501338079,0.0168727803061023,0.0553840258377329,0.08574022365871893,0.0538099884677352,-0.0371967845687245,1.3193727280685104,0.32867132867132864,0.1258741258741259,0.13986013986013987,0.24475524475524477,0.32867132867132864,0.3706293706293706,0.27972027972027974,0.45454545454545453,0.8111888111888111,0.7062937062937062,0.1215485765010337,0.1082930607725316,0.09107803683529268,0.3916083916083916,0.14685314685314685,0.06993006993006994,0.02097902097902098,0.013986013986013986,0.5174825174825175,0.32867132867132864,0.1258741258741259,0.11188811188811189,22.0,2015-2017|2018|2019,validation,2018
cohort_sector_50,test,156,0.0159688164444813,0.01590956652276442,0.7371794871794872,-0.02239562026335615,-0.00106148224041515,0.0159688164444813,0.03483067784534108,0.05247997507984145,0.02925846549672205,-0.01343374829768605,0.0279488457056031,0.027688604668487295,0.782051282051282,-0.0307069841553863,0.0020260953173287,0.0279488457056031,0.05321083959031475,0.08490413467781865,0.04887503330451875,-0.0170651628205903,0.0525285139083183,0.05554043334221358,0.782051282051282,-0.02048594714279265,0.012705142076334299,0.0525285139083183,0.10001259426328854,0.14407827605360418,0.0804000873864737,-0.019569925492324697,0.0599588956026754,0.05964484620016192,0.7884615384615384,-0.028155429555787398,0.00940278101783865,0.0599588956026754,0.10888700482770935,0.15203273086845834,0.08944455115424604,-0.020778660604766498,4.10834918191214,0.19230769230769232,0.08974358974358974,0.0641025641025641,0.12179487179487179,0.19230769230769232,0.23717948717948717,0.16666666666666666,0.24358974358974358,0.9038461538461539,0.8782051282051282,0.18768705447295986,0.18684598336224612,0.13996246228580567,0.7435897435897436,0.5064102564102564,0.358974358974359,0.14743589743589744,0.057692307692307696,0.41025641025641024,0.19230769230769232,0.08974358974358974,0.07051282051282051,12.5,2015-2017|2018|2019,test,2019
rs_sector_higher_low,train,389,0.0053482513112688,0.003703518914093276,0.5784061696658098,-0.037527885116984516,-0.0125453110493102,0.0053482513112688,0.0231055294663025,0.043336594681567454,0.0182617106366045,-0.0173923677965895,0.0108136479047999,0.009113425698561847,0.6503856041131105,-0.046855195705683014,-0.0138047868601111,0.0108136479047999,0.0358807253196209,0.05748619172015297,0.0315833746715703,-0.0223125213387189,0.0192177285910508,0.01544990623585451,0.6529562982005142,-0.06688241853230692,-0.0155265506183587,0.0192177285910508,0.0517950800120963,0.08468422938369609,0.0484392065222751,-0.0293468062323413,0.0215479198828028,0.021651372775116015,0.6298200514138818,-0.07500164302248698,-0.0270391443037025,0.0215479198828028,0.0690453516785267,0.1206195109491218,0.0584529952368397,-0.0365566597135822,1.6505784697243562,0.2982005141388175,0.16709511568123395,0.12082262210796915,0.1928020565552699,0.2982005141388175,0.37532133676092544,0.3059125964010283,0.4652956298200514,0.8200514138817481,0.7506426735218509,0.131249178088584,0.118604588237825,0.10024791418366147,0.480719794344473,0.2210796915167095,0.13110539845758354,0.03598971722365039,0.017994858611825194,0.4884318766066838,0.2982005141388175,0.16709511568123395,0.11825192802056556,20.0,2015-2017|2018|2019,train,"2015,2016,2017"
