fund,fund_name,action,n_positions,n_priced,count_coverage_pct,buy_final_book_pct,buy_incremental_book_pct,priced_final_book_pct,priced_incremental_book_pct,incremental_book_coverage_pct,equal_mean_return_10d,median_return_10d,hit_rate_10d,decision_weighted_return_10d,decision_weighted_excess_10d,final_position_weighted_return_10d,estimated_book_contribution_10d_pp,equal_mean_return_20d,median_return_20d,hit_rate_20d,decision_weighted_return_20d,decision_weighted_excess_20d,final_position_weighted_return_20d,estimated_book_contribution_20d_pp,equal_mean_return_30d,median_return_30d,hit_rate_30d,decision_weighted_return_30d,decision_weighted_excess_30d,final_position_weighted_return_30d,estimated_book_contribution_30d_pp,equal_mean_return_40d,median_return_40d,hit_rate_40d,decision_weighted_return_40d,decision_weighted_excess_40d,final_position_weighted_return_40d,estimated_book_contribution_40d_pp,equal_mean_return_50d,median_return_50d,hit_rate_50d,decision_weighted_return_50d,decision_weighted_excess_50d,final_position_weighted_return_50d,estimated_book_contribution_50d_pp,equal_mean_return_60d,median_return_60d,hit_rate_60d,decision_weighted_return_60d,decision_weighted_excess_60d,final_position_weighted_return_60d,estimated_book_contribution_60d_pp,investable_decision_weighted_return_to_60d_date
bakerbros,Baker Bros. Advisors,new,7,7,100.0,0.6789492548503905,0.6789492548503905,0.6789492548503905,0.6789492548503905,100.00000000000001,-0.027377239563436944,0.009259250061012025,0.5714285714285714,-0.017897203953890602,-0.0333470070159857,-0.017897203953890602,-0.012151293288399487,-0.052280153731734016,-0.09487693816565412,0.2857142857142857,-0.046163047001311845,-0.07040646817921065,-0.046163047001311845,-0.03134236636316423,-0.06118209159712335,-0.07407411086706317,0.2857142857142857,-0.03459642408613641,-0.05578233648175857,-0.03459642408613641,-0.02348921635377042,0.06665086573153223,0.027923184446687177,0.7142857142857143,0.12784839735249903,0.1333153717375741,0.12784839735249903,0.08680257411629586,0.04669801485253766,0.05750000476837158,0.7142857142857143,0.07644578185341663,0.057444076311058044,0.07644578185341663,0.05190280662583273,0.033093744980063663,0.18305037214811382,0.5714285714285714,0.03978629722484837,0.020038613515617382,0.03978629722484837,0.027012876854066958,0.11607371330319777
bakerbros,Baker Bros. Advisors,add,11,11,100.0,13.616413335719994,3.0510340679299257,13.616413335719994,3.0510340679299257,100.0,-0.0018328490884366873,0.014718186039315295,0.6363636363636364,0.03797053618651449,0.022520733124419396,0.017351046208775797,0.11584939948262175,-0.07988268937480501,-0.1004431063891319,0.2727272727272727,-0.08828070465471774,-0.11252412583261653,-0.07339834099358165,-0.2693474374424038,-0.07544317941484784,-0.044873579149780074,0.36363636363636365,-0.11764660986725668,-0.13883252226287884,-0.11455441241117593,-0.3589438146814611,0.014356220797050144,-0.016045693370757563,0.45454545454545453,-0.026092634880149096,-0.020625660495074048,-0.03817137796688126,-0.07960951794139157,0.0947100818813161,0.12057115106416338,0.8181818181818182,0.02917462962435787,0.01017292408199929,0.026180339492767702,0.08901278890315352,0.15580842998771313,0.013850468750092881,0.6363636363636364,0.0959248596468004,0.07617717593756945,0.050554633655261264,0.2926700147437846,0.13611580653483724
casdin,Casdin Capital,new,9,9,100.0,5.859770734342658,5.859770734342658,5.859770734342658,5.859770734342658,100.0,0.05177053592295154,0.03874645781977115,0.6666666666666666,0.0927545780604617,0.0773047749983666,0.0927545780604617,0.543520561994995,0.15105826816425091,0.07900511468020799,0.8888888888888888,0.19809259700237053,0.1738491758244718,0.19809259700237053,1.160777202604425,0.08298879659883222,0.06300978986339123,0.7777777777777778,0.09668469624192788,0.0754987838463057,0.09668469624192788,0.5665501534972586,0.17961686111310288,0.1396011891422626,0.8888888888888888,0.2194046869352325,0.22487166132030753,0.2194046869352325,1.2856611634806883,0.32090925327351655,0.18708324181294178,0.8888888888888888,0.341170761376086,0.32216905583372735,0.341170761376086,1.9991824429249911,0.2516715382345996,0.14123220323983499,0.7777777777777778,0.3147175569272477,0.29496987321801676,0.3147175569272477,1.8441727296661055,0.30816263255561677
casdin,Casdin Capital,add,6,6,100.0,18.256095233923876,4.021475235071253,18.256095233923876,4.021475235071253,100.0,0.052405303535617453,0.050810149580007735,0.6666666666666666,0.08969586592984392,0.07424606286774882,0.12563704327789543,0.36070970352513865,0.1255709365200895,0.05320936033860191,0.5,0.2585545398107107,0.2343111186328119,0.23041696942655732,1.0397706787640173,0.14682559039827478,0.10303453401364493,0.6666666666666666,0.2614626409072676,0.24027672851164542,0.24619842411323897,1.0514655353049045,0.29801480945774483,0.23490941206025795,1.0,0.41921528985006096,0.424682264235136,0.44501817875130706,1.6858639062952372,0.4062268696691109,0.4045677364234651,1.0,0.5502577261349063,0.5312560205925476,0.5527950447345953,2.2128478185581453,0.4109564212097765,0.3478778383098742,0.8333333333333334,0.6152069690924583,0.5954592853832272,0.599743978162802,2.474039590648567,0.648635591306326
himalaya,Himalaya Capital (Li Lu),new,5,5,100.0,7.061530325460685,7.061530325460685,7.061530325460685,7.061530325460685,100.0,0.0500071525698492,0.04771069256195104,1.0,0.051897759755525665,0.03644795669343058,0.051897759755525665,0.3664776043371176,0.06168889618291038,0.04721380342310599,1.0,0.05589253240162912,0.03164911122373033,0.05589253240162912,0.394686812520898,0.05465427417417077,0.05866170207543009,0.8,0.05001015961279018,0.028824247217168013,0.05001015961279018,0.35314825868684707,0.005712272895120507,0.00033884016095586666,0.6,-5.323261531216596e-05,0.005413741769762873,-5.323261531216596e-05,-0.00037590372733044275,0.10624778520197227,0.09314250881756592,1.0,0.10560900557434466,0.08660730003198608,0.10560900557434466,0.7457611955049814,0.10861390317623094,0.1111569541584827,1.0,0.1092209811482063,0.08947329743897536,0.1092209811482063,0.7712672705546286,0.061912713689503955
himalaya,Himalaya Capital (Li Lu),add,1,1,100.0,2.300569877105183,0.6712710972856484,2.300569877105183,0.6712710972856484,99.99999999999999,0.22214025485102185,0.22214025485102185,1.0,0.22214025485102182,0.20669045178892675,0.22214025485102185,0.149116332625159,0.27996622622865885,0.27996622622865885,1.0,0.27996622622865885,0.25572280505076006,0.27996622622865885,0.1879332358834339,0.32999782384665477,0.32999782384665477,1.0,0.32999782384665477,0.3088119114510326,0.32999782384665477,0.22151800131542004,0.2787023215088167,0.2787023215088167,1.0,0.2787023215088167,0.2841692958938917,0.2787023215088167,0.18708481317528095,0.32483669206690857,0.32483669206690857,1.0,0.32483669206690857,0.30583498652455,0.32483669206690857,0.218053482722394,0.3816093827246212,0.3816093827246212,1.0,0.3816093827246212,0.3618616990153902,0.3816093827246212,0.2561633490760554,0.352268022360261
whalerock,Whale Rock Capital,new,11,11,100.0,17.93636439267196,17.93636439267196,17.93636439267196,17.93636439267196,100.0,0.11089370890600908,0.05310601945225413,0.9090909090909091,0.1004458699010651,0.08499606683897001,0.1004458699010651,1.8016337242844243,0.1410654092115976,0.03663857575018015,0.7272727272727273,0.10275586384134097,0.07851244266344218,0.10275586384134097,1.8430666173420762,0.21304261446129302,0.14627633445241783,0.7272727272727273,0.22886244297411162,0.20767653057848945,0.22886244297411162,4.104960172980772,0.14571526717147942,0.11210384656728767,0.6363636363636364,0.18761377938740287,0.19308075377247794,0.18761377938740287,3.3651091121788252,0.08229876426871553,0.04140156620234503,0.5454545454545454,0.07367670321077627,0.054674997668417706,0.07367670321077627,1.3214921960392272,0.06394567049656152,0.04872922036398486,0.5454545454545454,0.06527202868229795,0.045524344973066955,0.06527202868229795,1.1707428910946316,0.06527202868229795
whalerock,Whale Rock Capital,add,6,6,100.0,25.129179552186102,6.168559731030065,25.129179552186102,6.168559731030065,100.0,0.049247637656267905,0.055222686582850566,0.8333333333333334,0.0295776843615506,0.014127881299455507,0.03356501396809374,0.18245171268977872,0.08548400422341446,0.07661851876700354,0.8333333333333334,0.03956549967425147,0.015322078496352675,0.049334812947587445,0.24406214802867077,0.03890466260289971,0.009579802747777866,0.5,0.006657886475390267,-0.01452802592023192,0.018422412354855124,0.041069570405862094,0.045887953574673214,0.04303129902622693,0.5,-0.00673819357217647,-0.0012712191871014184,0.003758384370778041,-0.0415649495292134,0.10842831989024491,0.09457801068952054,0.6666666666666666,0.038208091595083454,0.019206386052724865,0.06049936009365114,0.2356888952129401,0.03830856284412661,-0.025643301144779307,0.5,-0.01152880015678455,-0.0312764838660155,-0.0010873472286867182,-0.07111609239423428,-0.01152880015678455
baupost,Baupost Group (Klarman),add,3,3,100.0,21.018340768427763,6.418712822316635,21.018340768427763,6.418712822316635,100.00000000000001,0.020659209574503512,0.015548188784115569,1.0,0.012454207961928265,-0.0029955951001668256,0.010985295167141388,0.07993998433702688,0.01363265673902192,0.030292192643330385,0.6666666666666666,-0.010721540486569283,-0.034964961664468074,-0.010063479236162024,-0.0688184893961292,0.0013964764760908317,0.020336631202093836,0.6666666666666666,-0.028939875884634664,-0.05012578828025685,-0.02334255511934954,-0.1857567524169565,-0.021347429184458495,-0.008415101590206753,0.3333333333333333,-0.06030997576364857,-0.054843001378573536,-0.05103531006081972,-0.3871124147477366,0.03131735202038188,0.022786125805718926,0.6666666666666666,-0.020831871317377,-0.03983357685973558,-0.026391658126580616,-0.1337137995376979,0.03888088199885512,0.048521066018155645,0.6666666666666666,-0.009619933599132342,-0.02936761730836331,-0.012020075514189085,-0.06174759114258538,-0.009619933599132342
baupost,Baupost Group (Klarman),new,6,6,100.0,15.805609749422329,15.805609749422329,15.805609749422329,15.805609749422329,100.0,0.014794730861931707,0.004404273731452246,0.8333333333333334,0.01334348755257831,-0.002106315509516782,0.01334348755257831,0.21090195695232725,0.03509550419664744,0.018479933722537423,0.6666666666666666,0.022370100918404218,-0.0018733202594945762,0.022370100918404218,0.3535730851714911,0.05410331319678265,0.022132148664330553,0.6666666666666666,0.03580600533991194,0.014620092944289767,0.03580600533991194,0.5659357470883801,0.06699383624507106,0.02296566567818281,0.6666666666666666,0.03910292541212742,0.04456989979720246,0.03910292541212742,0.6180455791248552,0.09385512532036067,0.09196515296186303,0.8333333333333334,0.09668890594128275,0.07768720039892416,0.09668890594128275,1.5282271144065172,0.09260082999069236,0.08291933058037038,0.8333333333333334,0.0915465819408334,0.07179889823160243,0.0915465819408334,1.4469495480503265,0.0915465819408334
duquesne,Duquesne Family Office (Druckenmiller),add,9,9,100.0,34.77387654923496,10.757725857922889,34.77387654923496,10.757725857922889,100.0,0.050443582808126726,0.028946976813886804,0.6666666666666666,0.08849011343483566,0.07304031037274056,0.06597823413665656,0.9519523814684612,0.14463973570109592,0.10567013458605978,0.8888888888888888,0.20465842116105445,0.18041499998315566,0.17077235274058708,2.2016591893659485,0.14794772830260083,0.16001089317230766,0.8888888888888888,0.18650459628429125,0.16531868388866902,0.16191135106328827,2.006365318068989,0.10941846304933016,0.05199508194679625,0.8888888888888888,0.17940302720268014,0.1848700015877552,0.24979202338337758,1.9299685847279158,0.15263349281349176,0.14660822194525558,0.8888888888888888,0.23045659085654197,0.2114548853141834,0.33161737437345085,2.479188826586177,0.15850237089903677,0.14304143157515004,0.8888888888888888,0.23717764972940766,0.21742996602017672,0.3100558892442181,2.5514921354154265,0.23717764972940766
