fund,fund_name,grade,ticker,issuer,title_class,action,shares_change_pct,book_pct,incremental_book_pct,value_usd_reported,cusips,n_security_lines
whalerock,Whale Rock Capital,A,GOOGL,ALPHABET INC,CAP STK CL A,add,27.2,9.923556737749879,2.122018421908779,768308847.0,02079K305,1
whalerock,Whale Rock Capital,A,AAPL,APPLE INC,COM,new,,0.316695280852105,0.316695280852105,24519413.0,037833100,1
whalerock,Whale Rock Capital,A,ARM,ARM HOLDINGS PLC,SPONSORED ADS,new,,0.8839348937806045,0.8839348937806045,68436652.0,042068205,1
whalerock,Whale Rock Capital,A,BE,BLOOM ENERGY CORP,COM CL A,add,23.5,2.8941337773273257,0.5507056175481146,224071736.0,093712107,1
whalerock,Whale Rock Capital,A,KVYO,KLAVIYO INC,COM SER A,add,123.2,1.7154976348786506,0.9469055045566745,132818509.0,49845K101,1
whalerock,Whale Rock Capital,A,LRCX,LAM RESEARCH CORP,COM NEW,new,,2.6434097822485314,2.6434097822485314,204660000.0,512807306,1
whalerock,Whale Rock Capital,A,MKSI,MKS INC.,COM,new,,3.878683233141976,3.878683233141976,300298242.0,55306N104,1
whalerock,Whale Rock Capital,A,MTSI,MACOM TECH SOLUTIONS HLDGS I,COM,add,50.0,3.370202179116411,1.123400726372137,260930251.0,55405Y100,1
whalerock,Whale Rock Capital,A,MSFT,MICROSOFT CORP,COM,new,,0.2574651550032608,0.2574651550032608,19933655.0,594918104,1
whalerock,Whale Rock Capital,A,NFLX,NETFLIX INC.,COM,new,,0.16387892954323943,0.16387892954323943,12687954.0,64110L106,1
whalerock,Whale Rock Capital,A,TSM,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,add,38.2,3.5768751696538295,0.9886876373428097,276931438.0,874039100,1
whalerock,Whale Rock Capital,A,VIAV,VIAVI SOLUTIONS INC,COM,new,,1.4929272068428618,1.4929272068428618,115586499.0,925550105,1
whalerock,Whale Rock Capital,A,WDC,WESTERN DIGITAL CORP,COM,new,,1.4394158408982878,1.4394158408982878,111443503.0,958102105,1
whalerock,Whale Rock Capital,A,FROG,JFROG LTD,ORD SHS,add,13.6,3.648914053460009,0.43684182330155036,282508885.0,M6191J100,1
whalerock,Whale Rock Capital,A,TSEM,TOWER SEMICONDUCTOR LTD,SHS NEW,new,,2.4177784830429636,2.4177784830429636,187191009.0,M87915274,1
baupost,Baupost Group (Klarman),A,AMZN,AMAZON COM INC,COM,add,47.0,12.697844539408607,4.059855056817717,649543.0,023135106,1
baupost,Baupost Group (Klarman),A,COLD,AMERICOLD REALTY TRUST INC,COM,add,123.9,1.7431354073402172,0.9646023982557075,89168.0,03064D108,1
baupost,Baupost Group (Klarman),A,FERG,FERGUSON ENTERPRISES INC,COMMON STOCK NEW,add,26.9,6.577360821678937,1.3942553672432103,336457.0,31488V107,1
baupost,Baupost Group (Klarman),A,DNOW,DNOW INC,COM,new,,0.844003769025957,0.844003769025957,43174.0,67011P100,1
baupost,Baupost Group (Klarman),A,TFX,TELEFLEX INCORPORATED,COM,new,,3.7294981018027986,3.7294981018027986,190778.0,879369106,1
baupost,Baupost Group (Klarman),A,PCVX,VAXCYTE INC,COM,new,,0.9087887898846224,0.9087887898846224,46488.0,92243G108,1
baupost,Baupost Group (Klarman),A,V,VISA INC,COM CL A,new,,4.143934565955999,4.143934565955999,211978.0,92826C839,1
baupost,Baupost Group (Klarman),A,AON,AON PLC,SHS CL A,new,,4.85238633298015,4.85238633298015,248218.0,G0403H108,1
baupost,Baupost Group (Klarman),A,NCLH,NORWEGIAN CRUISE LINE HLDGS,SHS,new,,1.3269981897728027,1.3269981897728027,67881.0,G66721104,1
duquesne,Duquesne Family Office (Druckenmiller),A,ADMA,Adma Biologics Inc,COM,add,512.9,0.4123988547832463,0.3451123717055425,13926.0,000899104,1
duquesne,Duquesne Family Office (Druckenmiller),A,ARM,Arm Holdings Plc,SPONSORED ADS,new,,0.47802257029377865,0.47802257029377865,16142.0,042068205,1
duquesne,Duquesne Family Office (Druckenmiller),A,BLTE,Belite Bio Inc Sponsored,ADS,new,,0.5009731025684458,0.5009731025684458,16917.0,07782B104,1
duquesne,Duquesne Family Office (Druckenmiller),A,AVGO,Broadcom Inc,COM,new,,1.79606423543041,1.79606423543041,60650.0,11135F101,1
duquesne,Duquesne Family Office (Druckenmiller),A,CAI,Caris Life Sciences Inc,COM,new,,1.0031011351481331,1.0031011351481331,33873.0,142152107,1
duquesne,Duquesne Family Office (Druckenmiller),A,CLS,Celestica Inc,COM,new,,0.2775681793683303,0.2775681793683303,9373.0,15101Q207,1
duquesne,Duquesne Family Office (Druckenmiller),A,CLF,Cleveland-Cliffs Inc New,COM,add,32.5,0.578916071532219,0.14199828169658202,19549.0,185899101,1
duquesne,Duquesne Family Office (Druckenmiller),A,NET,Cloudflare Inc,CL A COM,new,,0.32101131594502297,0.32101131594502297,10840.0,18915M107,1
duquesne,Duquesne Family Office (Druckenmiller),A,COHR,Coherent Corp,COM,new,,0.2850011904663193,0.2850011904663193,9624.0,19247G107,1
duquesne,Duquesne Family Office (Druckenmiller),A,DBVT,Dbv Technologies S A Sponsored,ADS,new,,0.23714562897488412,0.23714562897488412,8008.0,23306J309,1
duquesne,Duquesne Family Office (Druckenmiller),A,ARGT,Global X Fds,GB MSCI AR ETF,new,,1.0705905068306707,1.0705905068306707,36152.0,37950E259,1
duquesne,Duquesne Family Office (Druckenmiller),A,HUM,Humana Inc,COM,new,,0.7060472135388596,0.7060472135388596,23842.0,444859102,1
duquesne,Duquesne Family Office (Druckenmiller),A,INTC,Intel Corp,COM,new,,0.5376347270278498,0.5376347270278498,18155.0,458140100,1
duquesne,Duquesne Family Office (Druckenmiller),A,GSG,Ishares S&P Gsci Commodity-,UNIT BEN INT,new,,0.6140970164900315,0.6140970164900315,20737.0,46428R107,1
duquesne,Duquesne Family Office (Druckenmiller),A,JBL,Jabil Inc,COM,new,,0.6466127383449793,0.6466127383449793,21835.0,466313103,1
duquesne,Duquesne Family Office (Druckenmiller),A,LITE,Lumentum Hldgs Inc,COM,new,,0.14489929602573776,0.14489929602573776,4893.0,55024U109,1
duquesne,Duquesne Family Office (Druckenmiller),A,MU,Micron Technology Inc,COM,new,,0.23409542920160575,0.23409542920160575,7905.0,595112103,1
duquesne,Duquesne Family Office (Druckenmiller),A,NTRA,Natera Inc,COM,add,22.0,18.14398009019115,3.2718652621656172,612691.0,632307104,1
duquesne,Duquesne Family Office (Druckenmiller),A,NUVB,Nuvation Bio Inc,COM CL A,new,,0.5767542794598955,0.5767542794598955,19476.0,67080N101,1
duquesne,Duquesne Family Office (Druckenmiller),A,OLMA,Olema Pharmaceuticals Inc,COM,new,,0.4357343637283273,0.4357343637283273,14714.0,68062P106,1
duquesne,Duquesne Family Office (Druckenmiller),A,Q,Qnity Electronics Inc,COMMON STOCK,new,,0.4293378282814523,0.4293378282814523,14498.0,74743L100,1
duquesne,Duquesne Family Office (Druckenmiller),A,RVMD,Revolution Medicines Inc,COM,new,,0.9096406450076817,0.9096406450076817,30717.0,76155X100,1
duquesne,Duquesne Family Office (Druckenmiller),A,ROKU,Roku Inc,COM CL A,add,28.7,2.1020614612292956,0.46875807255074425,70983.0,77543R102,1
duquesne,Duquesne Family Office (Druckenmiller),A,SNDK,Sandisk Corp,COM,new,,0.7178630359615592,0.7178630359615592,24241.0,80004C200,1
duquesne,Duquesne Family Office (Druckenmiller),A,SE,Sea Ltd,SPONSORD ADS,add,16.5,2.6972946208690525,0.3820202681917542,91083.0,81141R100,1
duquesne,Duquesne Family Office (Druckenmiller),A,SOLS,Solstice Advanced Matls Inc,COM SHS,new,,0.14101991573156822,0.14101991573156822,4762.0,83443Q103,1
duquesne,Duquesne Family Office (Druckenmiller),A,STM,Stmicroelectronics N V,NY REGISTRY,add,237.8,2.6733668401233346,1.8819616180619567,90275.0,861012102,1
duquesne,Duquesne Family Office (Druckenmiller),A,TWLO,Twilio Inc,CL A,new,,0.6772331904378902,0.6772331904378902,22869.0,90138F102,1
duquesne,Duquesne Family Office (Druckenmiller),A,TWST,Twist Bioscience Corp,COM,new,,0.28988743282157103,0.28988743282157103,9789.0,90184D100,1
duquesne,Duquesne Family Office (Druckenmiller),A,U,Unity Software Inc,COM,add,80.2,0.4800066808259112,0.2136322741522646,16209.0,91332U101,1
duquesne,Duquesne Family Office (Druckenmiller),A,VIST,Vista Energy S.A.B. De C.V.,SPONSORED ADS,new,,0.30105175626357045,0.30105175626357045,10166.0,92837L109,1
duquesne,Duquesne Family Office (Druckenmiller),A,WLK,Westlake Corporation,COM,new,,0.07332324891880783,0.07332324891880783,2476.0,960413102,1
duquesne,Duquesne Family Office (Druckenmiller),A,XENE,Xenon Pharmaceuticals Inc,COM,new,,0.410888561691623,0.410888561691623,13875.0,98420N105,1
duquesne,Duquesne Family Office (Druckenmiller),A,YPF,Ypf Sociedad Anonima,SPON ADR CL D,add,433.1,4.429186206700489,3.5983503022359447,149566.0,984245100,1
duquesne,Duquesne Family Office (Druckenmiller),A,TBBB,Bbb Foods Inc,CL A COM,add,16.2,3.2566657229802645,0.4540274071624809,109972.0,G0896C103,1
duquesne,Duquesne Family Office (Druckenmiller),A,LIN,Linde Plc,SHS,new,,0.604857576400101,0.604857576400101,20425.0,G54950103,1
duquesne,Duquesne Family Office (Druckenmiller),A,STX,Seagate Technology Hldngs Pl,ORD SHS,new,,0.5881851252121814,0.5881851252121814,19862.0,G7997R103,1
duquesne,Duquesne Family Office (Druckenmiller),A,JBS,Jbs N.V.,CL A SHS,new,,0.3488480905749419,0.3488480905749419,11780.0,N4732M103,1
duquesne,Duquesne Family Office (Druckenmiller),A,LYB,Lyondellbasell Industries Nv,SHS - A -,new,,0.31354869125700213,0.31354869125700213,10588.0,N53745100,1
elliott,Elliott Investment Management,A,DLR,DIGITAL RLTY TR INC,COM,add,50.0,1.3463975662991867,0.4487991887663956,270315000.0,253868103,1
elliott,Elliott Investment Management,A,EMR,EMERSON ELEC CO,COM,new,,0.130518106014479,0.130518106014479,26204000.0,291011104,1
elliott,Elliott Investment Management,A,FTV,FORTIVE CORP,COM,new,,0.20650590273852462,0.20650590273852462,41460000.0,34959J108,1
elliott,Elliott Investment Management,A,HDB,HDFC BANK LTD,SPONSORED ADS,add,267.7,0.09877753611942794,0.07191391465643421,19831475.0,40415F101,1
elliott,Elliott Investment Management,A,HPE,HEWLETT PACKARD ENTERPRISE C,COM,add,47.2,3.2520521172436867,1.042777581072704,652911510.0,42824C109,1
elliott,Elliott Investment Management,A,IWM,ISHARES TR,RUSSELL 2000 ETF,new,,0.617624986482804,0.617624986482804,124000000.0,464287655,1
elliott,Elliott Investment Management,A,HYG,ISHARES TR,IBOXX HI YD ETF,add,31.6,1.9813808034101568,0.4757722901805544,397800000.0,464288513,1
elliott,Elliott Investment Management,A,XLY,SELECT SECTOR SPDR TR,STATE STREET CON,new,,2.3340944791584897,2.3340944791584897,468614000.0,81369Y407,1
elliott,Elliott Investment Management,A,WPM,WHEATON PRECIOUS METALS CORP,COM,new,,0.06525407216057431,0.06525407216057431,13101000.0,962879102,1
elliott,Elliott Investment Management,A,NCLH,NORWEGIAN CRUISE LINE HLDGS,SHS,new,,1.2281682051770495,1.2281682051770495,246578200.0,G66721104,1
elliott,Elliott Investment Management,A,RIG,TRANSOCEAN LTD,REGISTERED SHS,new,,0.516045146335997,0.516045146335997,103605909.0,H8817H100,1
fairholme,Fairholme Capital (Berkowitz),A,BRK-A,BERKSHIRE HATHAWAY INC DEL,CL A,add,100.0,0.09485453313910445,0.04742726656955223,1436280.0,084670108,1
fairholme,Fairholme Capital (Berkowitz),A,HOMB,HOME BANCSHARES INC,COM,new,,0.02151992242945429,0.02151992242945429,325853.0,436893200,1
fairholme,Fairholme Capital (Berkowitz),A,KHC,KRAFT HEINZ CO,COM,new,,0.1564000200632382,0.1564000200632382,2368197.0,500754106,1
fairholme,Fairholme Capital (Berkowitz),A,PGR,PROGRESSIVE CORP,COM,add,159.4,0.8693173475412447,0.5341911534235714,13163136.0,743315103,1
basswood,Basswood Capital Management,A,AMG,AFFILIATED MANAGERS GROUP,COM,new,,0.1606490736404169,0.1606490736404169,3404517.0,008252108,1
basswood,Basswood Capital Management,A,ALLY,ALLY FINL INC,COM,add,10.6,1.0609944661971946,0.10168663057586133,22484871.0,02005N100,1
basswood,Basswood Capital Management,A,BAC,BANK AMERICA CORP,COM,add,14.8,4.261908089927919,0.5494445969593486,90319466.0,060505104,1
basswood,Basswood Capital Management,A,BOH,BANK HAWAII CORP,COM,add,57.9,1.1094793838553811,0.40683252897546907,23512376.0,062540109,1
basswood,Basswood Capital Management,A,BANR,BANNER CORP,COM NEW,add,88.6,1.1707041883888443,0.5499702602929565,24809868.0,06652V208,1
basswood,Basswood Capital Management,A,CBZ,CBIZ INC,COM,add,11.5,0.2593010324935895,0.026744052678711022,5495175.0,124805102,1
basswood,Basswood Capital Management,A,CARE,CARTER BANKSHARES INC,COM NEW,new,,0.2505779894298477,0.2505779894298477,5310314.0,146103106,1
basswood,Basswood Capital Management,A,CHMG,CHEMUNG FINL CORP,COM,new,,0.06883093040364441,0.06883093040364441,1458683.0,164024101,1
basswood,Basswood Capital Management,A,CBSH,COMMERCE BANCSHARES INC,COM,new,,0.679769771364158,0.679769771364158,14405858.0,200525103,1
basswood,Basswood Capital Management,A,CRBG,COREBRIDGE FINL INC,COM,add,374.4,0.36072268173937816,0.28468501695451764,7644529.0,21871X109,1
basswood,Basswood Capital Management,A,EQH,EQUITABLE HLDGS INC,COM,add,35.7,0.440421919523234,0.1158663413926268,9333536.0,29452E101,1
basswood,Basswood Capital Management,A,FITB,FIFTH THIRD BANCORP,COM,add,179.4,0.5733350655569215,0.3681328230526547,12150266.0,316773100,1
basswood,Basswood Capital Management,A,HFWA,HERITAGE FINL CORP WASH,COM,add,15.1,0.8574594529130358,0.11249033656808724,18171504.0,42722X106,1
basswood,Basswood Capital Management,A,HBAN,HUNTINGTON BANCSHARES INC,COM,new,,0.4690555805312092,0.4690555805312092,9940348.0,446150104,1
basswood,Basswood Capital Management,A,KEY,KEYCORP,COM,add,33.8,1.3430354514438845,0.33927203481915763,28461957.0,493267108,1
basswood,Basswood Capital Management,A,LPLA,LPL FINL HLDGS INC,COM,new,,0.42878252875223377,0.42878252875223377,9086871.0,50212V100,1
basswood,Basswood Capital Management,A,LAZ,LAZARD INC,COM,add,98.9,1.1714088796169233,0.5824652498447146,24824802.0,52110M109,1
basswood,Basswood Capital Management,A,MVBF,MVB FINL CORP,COM,new,,0.13721943513737658,0.13721943513737658,2907990.0,553810102,1
basswood,Basswood Capital Management,A,MC,MOELIS & CO,CL A,new,,0.16398326257069928,0.16398326257069928,3475176.0,60786M105,1
basswood,Basswood Capital Management,A,ONB,OLD NATL BANCORP IND,COM,add,15.2,1.8868352532544548,0.24895742924885167,39986304.0,680033107,1
basswood,Basswood Capital Management,A,OBK,ORIGIN BANCORP INC,COM,add,22.5,0.7902872884622951,0.14515480808491135,16747974.0,68621T102,1
basswood,Basswood Capital Management,A,PGC,PEAPACK-GLADSTONE FINL CORP,COM,new,,0.32484779222741517,0.32484779222741517,6884259.0,704699107,1
basswood,Basswood Capital Management,A,PNFP,PINNACLE FINL PARTNERS INC,COM,new,,1.8538813829665293,1.8538813829665293,39287937.0,72348N109,1
basswood,Basswood Capital Management,A,BPOP,POPULAR INC,COM NEW,add,19.8,2.017723084422709,0.3334801091115997,42760113.0,733174700,1
basswood,Basswood Capital Management,A,BPRN,PRINCETON BANCORP INC,COM,new,,0.14610541504393057,0.14610541504393057,3096304.0,74179A107,1
basswood,Basswood Capital Management,A,PGR,PROGRESSIVE CORP,COM,add,46.3,0.5122914592500437,0.1621264153334041,10856614.0,743315103,1
basswood,Basswood Capital Management,A,RJF,RAYMOND JAMES FINL INC,COM,add,31.2,1.393122038738785,0.33129121652934523,29523405.0,754730109,1
basswood,Basswood Capital Management,A,BSRR,SIERRA BANCORP,COM,new,,0.22356322132751974,0.22356322132751974,4737810.0,82620P102,1
basswood,Basswood Capital Management,A,SFNC,SIMMONS FIRST NATL CORP,CL A $1 PAR,add,27.0,1.332412327914021,0.2832687626273903,28236829.0,828730200,1
basswood,Basswood Capital Management,A,SMBK,SMARTFINANCIAL INC,COM NEW,new,,0.31301233931280514,0.31301233931280514,6633439.0,83190L208,1
basswood,Basswood Capital Management,A,SPFI,SOUTH PLAINS FINANCIAL INC,COM,new,,0.1504363829685843,0.1504363829685843,3188087.0,83946P107,1
basswood,Basswood Capital Management,A,STT,STATE STR CORP,COM,new,,0.42260796324615185,0.42260796324615185,8956018.0,857477103,1
basswood,Basswood Capital Management,A,SYF,SYNCHRONY FINANCIAL,COM,add,29.0,1.1814959583931386,0.2656076185534963,25038570.0,87165B103,1
sachem,Sachem Head Capital,A,AKAM,Akamai Technologies Inc,COM,new,,0.6501684778826323,0.6501684778826323,26989750.0,00971T101,1
sachem,Sachem Head Capital,A,CVNA,Carvana Co,CL A,add,26.4,5.982862872039427,1.2495852834006396,248360200.0,146869102,1
sachem,Sachem Head Capital,A,DKS,Dicks Sporting Goods Inc,COM,add,31.6,7.66660163596744,1.8409165022535798,318255450.0,253393102,1
sachem,Sachem Head Capital,A,GIL,Gildan Activewear Inc,COM,new,,5.549994564153337,5.549994564153337,230391000.0,375916103,1
sachem,Sachem Head Capital,A,RSP,Invesco Exchange Traded FD T,S&P500 EQL WGT,add,28.3,0.9084684254238604,0.2003870338230339,37712280.0,46137V357,1
sachem,Sachem Head Capital,A,ON,On Semiconductor Corp,COM,new,,2.9011995491884175,2.9011995491884175,120434400.0,682189105,1
sachem,Sachem Head Capital,A,PRMB,Primo Brands Corporation,CLASS A COM SHS,new,,7.754369171136071,7.754369171136071,321898850.0,741623102,1
sachem,Sachem Head Capital,A,TLN,Talen Energy Corp,COM,add,54.8,11.900395733322707,4.212801590349382,494008425.0,87422Q109,1
sachem,Sachem Head Capital,A,BTDR,Bitdeer Technologies Group,CL A ORD SHS,new,,2.007681764745978,2.007681764745978,83342750.0,G11448100,1
sachem,Sachem Head Capital,A,ICLR,Icon PLC,SHS,new,,5.611381732696518,5.611381732696518,232939300.0,G4705A100,1
sachem,Sachem Head Capital,A,WFRD,Weatherford Intl PLC,ORD SHS,new,,5.752912122613284,5.752912122613284,238814500.0,G48833118,1
lightstreet,Light Street Capital,A,AMZN,AMAZON COM INC,COM,add,79.6,4.865364178744779,2.1563640792209595,25992096.0,023135106,1
lightstreet,Light Street Capital,A,AMKR,AMKOR TECHNOLOGY INC,COM,add,41.4,3.4305183243572452,1.004409184076308,18326760.0,031652100,1
lightstreet,Light Street Capital,A,BE,BLOOM ENERGY CORP,COM CL A,new,,1.2839446858355243,1.2839446858355243,6859181.0,093712107,1
lightstreet,Light Street Capital,A,CPNG,COUPANG INC,CL A,new,,3.7176972936354478,3.7176972936354478,19860948.0,22266T109,1
lightstreet,Light Street Capital,A,DDOG,DATADOG INC,CL A COM,new,,0.8838936902984985,0.8838936902984985,4722000.0,23804L103,1
lightstreet,Light Street Capital,A,GTLB,GITLAB INC,CLASS A COM,add,10.4,4.739332394309535,0.446458848739304,25318800.0,37637K108,1
lightstreet,Light Street Capital,A,LITE,LUMENTUM HLDGS INC,COM,new,,0.3804340588895051,0.3804340588895051,2032382.0,55024U109,1
lightstreet,Light Street Capital,A,MKSI,MKS INC.,COM,add,524.4,5.259465083486904,4.417142040007259,28097490.0,55306N104,1
lightstreet,Light Street Capital,A,IOT,SAMSARA INC,COM CL A,new,,2.2778625500836123,2.2778625500836123,12168960.0,79589L106,1
