month,node_id,symbol,value,value_display_shrunk,corr_to_ex_self,sd_own_daily,sd_ex_self_daily,era,in_universe,stamp_session
2023-06,co:us:AFRM,AFRM,2.463532027692271,1.93089777037067,0.7069204501469696,0.05239348658660759,0.015034522265687553,reconstruction,True,2023-06-30
2023-06,co:us:AXP,AXP,0.6670779343365588,0.7452380687559002,0.7199370302550936,0.015225070265136965,0.016431501190350674,reconstruction,True,2023-06-30
2023-06,co:us:COF,COF,0.7888907658243067,0.8256345375378138,0.6671553476296768,0.019307922872147148,0.016328476075283562,reconstruction,True,2023-06-30
2023-06,co:us:FI,FI,0.2836416262252677,0.4921701054024479,0.4609663813374922,0.010303005626287495,0.016744154529270864,reconstruction,True,2023-06-30
2023-06,co:us:FIS,FIS,0.7885561321703524,0.8254136793262039,0.6662808973320604,0.01932530574028718,0.01632868165569389,reconstruction,True,2023-06-30
2023-06,co:us:FLYW,FLYW,0.9021935455629551,0.9004143721653215,0.6461248521678987,0.02266700394436124,0.01623345084285754,reconstruction,True,2023-06-30
2023-06,co:us:FOUR,FOUR,0.9618040094953224,0.939757278360684,0.5097852045130408,0.0304887130864677,0.016159939741028858,reconstruction,True,2023-06-30
2023-06,co:us:FUTU,FUTU,0.6803934249329459,0.7540262925495156,0.4143003600704678,0.026910457340461654,0.016386125669737305,reconstruction,True,2023-06-30
2023-06,co:us:GPN,GPN,0.7405814089392555,0.7937503619936799,0.6040124360606434,0.020062774311653233,0.016363042657894386,reconstruction,True,2023-06-30
2023-06,co:us:HOOD,HOOD,0.7757275559959209,0.8169468190510791,0.5131752307618421,0.024672240128034775,0.016321687199651838,reconstruction,True,2023-06-30
2023-06,co:us:JKHY,JKHY,0.48572451337486455,0.6255448109211819,0.45069801128399695,0.017854230595260524,0.0165667286717307,reconstruction,True,2023-06-30
2023-06,co:us:MA,MA,0.344415033853335,0.5322805544369723,0.5088072521081768,0.011299831807163744,0.016693337415508658,reconstruction,True,2023-06-30
2023-06,co:us:MQ,MQ,0.9860929551624206,0.9557879825009687,0.48712027093743543,0.03265734848932921,0.016132410601797736,reconstruction,True,2023-06-30
2023-06,co:us:PYPL,PYPL,0.6675972796507333,0.7455808366632553,0.42688163367068616,0.025648925135784335,0.01640068855521544,reconstruction,True,2023-06-30
2023-06,co:us:SOFI,SOFI,1.5096147911513407,1.3013123942536562,0.5121532579866975,0.04623943531093774,0.015687231988433657,reconstruction,True,2023-06-30
2023-06,co:us:SYF,SYF,0.7741601780870137,0.8159123496312002,0.7174117811249608,0.01763685496315897,0.01634401754405447,reconstruction,True,2023-06-30
2023-06,co:us:TOST,TOST,0.9985335076595647,0.9639987471490841,0.5245417561038617,0.03070932947518595,0.01613198304125215,reconstruction,True,2023-06-30
2023-06,co:us:UPST,UPST,2.4519828193761475,1.9232752928820287,0.4587745555912118,0.07912720242393696,0.01480497613619236,reconstruction,True,2023-06-30
2023-06,co:us:V,V,0.27512613223537324,0.4865498793691176,0.4153158387506298,0.011095950403307754,0.016749859095691714,reconstruction,True,2023-06-30
2023-06,co:us:WU,WU,0.53294708167748,0.656711706000908,0.4628752937073973,0.01902827504628903,0.01652644081110905,reconstruction,True,2023-06-30
2023-06,co:us:XYZ,XYZ,0.7575816118000878,0.8049704958818291,0.5424127737636748,0.0228242475416965,0.016341689430322708,reconstruction,True,2023-06-30
2023-07,co:us:AFRM,AFRM,2.5455786914586787,1.9853548051525405,0.7117550489509991,0.05515543242498711,0.015421702592531101,reconstruction,True,2023-07-31
2023-07,co:us:AXP,AXP,0.6241925695201185,0.7172399646730907,0.6689916729360155,0.015817899848001638,0.016953170861653277,reconstruction,True,2023-07-31
2023-07,co:us:COF,COF,0.7433620465822987,0.7958918195341296,0.6411092650418749,0.019537240418912163,0.016849805425906247,reconstruction,True,2023-07-31
2023-07,co:us:FI,FI,0.3421018787786499,0.5310601087837215,0.5228408991004089,0.011248643936679518,0.017191519469319332,reconstruction,True,2023-07-31
2023-07,co:us:FIS,FIS,0.5948488956845824,0.6978731399416369,0.5092991290837472,0.01981671952350992,0.016966725613578502,reconstruction,True,2023-07-31
2023-07,co:us:FLYW,FLYW,0.9500869543827192,0.9323302586824072,0.6437755637973502,0.024608563438485335,0.016674675648132346,reconstruction,True,2023-07-31
2023-07,co:us:FOUR,FOUR,0.8438979876179246,0.8622455406176428,0.5453109933273701,0.02592391671612255,0.016751546967552617,reconstruction,True,2023-07-31
2023-07,co:us:FUTU,FUTU,0.5302927564578457,0.6552660880519907,0.2880200699277216,0.03125902341174027,0.01697784101193434,reconstruction,True,2023-07-31
2023-07,co:us:GPN,GPN,0.7137449261855239,0.7763445200722583,0.5913292534266226,0.020363355386718473,0.01687079977218541,reconstruction,True,2023-07-31
2023-07,co:us:HOOD,HOOD,1.0036658133363145,0.9676923055917801,0.5955255741609841,0.02801344316683393,0.01662178944872034,reconstruction,True,2023-07-31
2023-07,co:us:JKHY,JKHY,0.3450707911373319,0.5330195909404516,0.3831382893955214,0.015474048179836494,0.017181113272745595,reconstruction,True,2023-07-31
2023-07,co:us:MA,MA,0.2926415129785028,0.49841626735562433,0.44601328008694296,0.01130683509189112,0.0172326836182909,reconstruction,True,2023-07-31
2023-07,co:us:MQ,MQ,0.8157499846418356,0.8436678586534239,0.4609622089799619,0.029657906311094582,0.016759024534809396,reconstruction,True,2023-07-31
2023-07,co:us:PYPL,PYPL,0.7685731840066696,0.8125311702342144,0.49487313248405873,0.026106159310515877,0.01680937756346539,reconstruction,True,2023-07-31
2023-07,co:us:SOFI,SOFI,1.4842178628426852,1.2848566582659848,0.5046257875013069,0.04756302943564977,0.01617116448049148,reconstruction,True,2023-07-31
2023-07,co:us:SYF,SYF,0.7564751683075059,0.8045464798727664,0.6945771455440789,0.018343603446011738,0.016842651622034667,reconstruction,True,2023-07-31
2023-07,co:us:TOST,TOST,0.9556752410621792,0.9360185278908508,0.4131109842731796,0.03842656374494199,0.016610700883351884,reconstruction,True,2023-07-31
2023-07,co:us:UPST,UPST,2.8515744404733674,2.187311999502235,0.50855288598932,0.08398909122359918,0.014978705843039892,reconstruction,True,2023-07-31
2023-07,co:us:V,V,0.257564643884171,0.47526553375336533,0.41133949410128334,0.010809350127071286,0.017262899696872565,reconstruction,True,2023-07-31
2023-07,co:us:WU,WU,0.5019635447055284,0.6365688082954613,0.42516803314020957,0.020118716578850726,0.017040749766306845,reconstruction,True,2023-07-31
2023-07,co:us:XYZ,XYZ,0.9338100606204558,0.9215875087993133,0.6162953793380596,0.025280767186612024,0.016684784904628307,reconstruction,True,2023-07-31
2023-08,co:us:AFRM,AFRM,2.8237165676322897,2.159145708268685,0.6555182539491053,0.058907669863505006,0.013675258110453408,reconstruction,True,2023-08-31
2023-08,co:us:AXP,AXP,0.5506191439458162,0.6589014086356124,0.6594519063946866,0.01280352798083615,0.015334212455880352,reconstruction,True,2023-08-31
2023-08,co:us:COF,COF,0.6427469108793402,0.7197057348117383,0.6232963726405918,0.0157374971290407,0.015261255571890592,reconstruction,True,2023-08-31
2023-08,co:us:FI,FI,0.30377973034219513,0.4959873956572225,0.48343343836535535,0.00975382042115049,0.015522177658408565,reconstruction,True,2023-08-31
2023-08,co:us:FIS,FIS,0.2184832400181429,0.439691712043348,0.22242565510022955,0.015299840758452346,0.015575918332890721,reconstruction,True,2023-08-31
2023-08,co:us:FLYW,FLYW,0.8061158431617715,0.8275292301181429,0.469292252209967,0.025959772446122704,0.015112865205968093,reconstruction,True,2023-08-31
2023-08,co:us:FOUR,FOUR,0.977184177284547,0.9404343306391748,0.6319154512706967,0.02320339079247168,0.015004931009403217,reconstruction,True,2023-08-31
2023-08,co:us:FUTU,FUTU,0.9054036201759114,0.8930591629474752,0.39550529326961414,0.03435063118307493,0.015005303885817025,reconstruction,True,2023-08-31
2023-08,co:us:GPN,GPN,0.33551373725826744,0.5169318402218303,0.29303179157416426,0.01772559874423356,0.01548122589314195,reconstruction,True,2023-08-31
2023-08,co:us:HOOD,HOOD,1.1441089174232768,1.0506046591307365,0.6654158849621128,0.025590280241471423,0.014883354822246697,reconstruction,True,2023-08-31
2023-08,co:us:JKHY,JKHY,0.19481838721329336,0.42407290919214735,0.22321260381663544,0.013613666142265318,0.015597818617492716,reconstruction,True,2023-08-31
2023-08,co:us:MA,MA,0.2661527307429491,0.47115357592172014,0.41685634296736934,0.009928509731497111,0.015550327987372973,reconstruction,True,2023-08-31
2023-08,co:us:MQ,MQ,0.7798025243491651,0.8101624397018227,0.38709215398884295,0.030443148176182,0.01511190773786628,reconstruction,True,2023-08-31
2023-08,co:us:PYPL,PYPL,0.8073597394879414,0.828350201693415,0.4842870738260896,0.02519832597554865,0.01511497657754665,reconstruction,True,2023-08-31
2023-08,co:us:SOFI,SOFI,1.6969625175944691,1.4154880352437234,0.5681261859290194,0.04312687860882285,0.014438450349384544,reconstruction,True,2023-08-31
2023-08,co:us:SYF,SYF,0.5621466953607421,0.6665095925694635,0.5577196369248636,0.015441694603341327,0.0153200870497932,reconstruction,True,2023-08-31
2023-08,co:us:TOST,TOST,0.6654433422781247,0.7346853795349361,0.2595595938190791,0.03883500850102632,0.015147794548485994,reconstruction,True,2023-08-31
2023-08,co:us:UPST,UPST,2.572477623666549,1.9933280052512963,0.4156812882464132,0.0838691123303828,0.013552234754869014,reconstruction,True,2023-08-31
2023-08,co:us:V,V,0.2275606146183136,0.4456827792794607,0.39091075356148647,0.009070109366117627,0.015580918047444908,reconstruction,True,2023-08-31
2023-08,co:us:WU,WU,0.32552593296454796,0.5103398893879754,0.3638500108206016,0.013865819919538905,0.015498239055228166,reconstruction,True,2023-08-31
2023-08,co:us:XYZ,XYZ,1.4451022573048444,1.2492602634525711,0.6789054583648306,0.0312104329455131,0.014662584033434648,reconstruction,True,2023-08-31
2023-09,co:us:AFRM,AFRM,2.911977012970805,2.2209383050801037,0.7151541187806602,0.05439085067155545,0.013357880473810146,reconstruction,True,2023-09-29
2023-09,co:us:AXP,AXP,0.4922245752256978,0.623901696168333,0.6253656974310967,0.011840505655488397,0.015043227115968607,reconstruction,True,2023-09-29
