month,node_id,symbol,value,value_display_shrunk,corr_to_ex_self,sd_own_daily,sd_ex_self_daily,era,in_universe,stamp_session
2024-01,co:cn:002129.SZ,002129.SZ,1.031420428657502,1.0122612232506931,0.871977625654945,0.03008018075613788,0.02543021629807031,reconstruction,True,2024-01-31
2024-01,co:cn:002459.SZ,002459.SZ,1.1103527350648117,1.0643565454795174,0.912845802979183,0.030777020674085005,0.025302476648469865,reconstruction,True,2024-01-31
2024-01,co:cn:300274.SZ,300274.SZ,0.9538054737904184,0.9610353530384179,0.9106691536988933,0.026781679562210243,0.025570464976081744,reconstruction,True,2024-01-31
2024-01,co:cn:300316.SZ,300316.SZ,0.8346770365199031,0.8824105844398777,0.7939007622841228,0.027085905920366162,0.025762684746894884,reconstruction,True,2024-01-31
2024-01,co:cn:300751.SZ,300751.SZ,1.2420554373993236,1.1512803290202953,0.8700923506284591,0.03578837350197998,0.025070692569655165,reconstruction,True,2024-01-31
2024-01,co:cn:300763.SZ,300763.SZ,1.2200268136908967,1.1367414373727336,0.8202852398879343,0.03732362862779263,0.025094548184408882,reconstruction,True,2024-01-31
2024-01,co:cn:600438.SS,600438.SS,0.787617651528856,0.8513513903457868,0.9287136252240773,0.02193357021747877,0.0258628097925955,reconstruction,True,2024-01-31
2024-01,co:cn:601012.SS,601012.SS,0.9096898649004533,0.9319190511710409,0.9153743837957589,0.025488352728097116,0.025647625715830066,reconstruction,True,2024-01-31
2024-01,co:cn:603806.SS,603806.SS,0.9519146434368526,0.9597874050050645,0.8848847956199759,0.027506973084852865,0.025570047087870952,reconstruction,True,2024-01-31
2024-01,co:cn:605117.SS,605117.SS,1.0020243947606893,0.9928598408787968,0.6450548687902893,0.03948650205980804,0.02541950129992606,reconstruction,True,2024-01-31
2024-01,co:cn:688223.SS,688223.SS,0.8457321674816711,0.8897069708746448,0.7964504842400822,0.027336233731531708,0.025743323276456016,reconstruction,True,2024-01-31
2024-01,co:cn:688303.SS,688303.SS,0.5213571970449072,0.6756194903863806,0.7274874970381704,0.018868000953461132,0.026327889718505096,reconstruction,True,2024-01-31
2024-01,co:cn:688390.SS,688390.SS,1.2344433734134628,1.1462563667896273,0.8504694654126538,0.036400990837543015,0.025078453888485588,reconstruction,True,2024-01-31
2024-01,co:cn:688472.SS,688472.SS,0.9614896330074444,0.9661068981216552,0.8017119356367984,0.030628492064899118,0.025538733664948913,reconstruction,True,2024-01-31
2024-01,co:cn:688599.SS,688599.SS,1.0194405171002416,1.0043544816229013,0.9534697884836338,0.027225338785916778,0.025463514131693902,reconstruction,True,2024-01-31
2024-02,co:cn:002129.SZ,002129.SZ,1.0922840419072832,1.0513900596399686,0.8623040244132508,0.033910585481811466,0.026770723739693414,reconstruction,True,2024-02-29
2024-02,co:cn:002459.SZ,002459.SZ,1.1521809295728052,1.090922005499213,0.9119070459643193,0.0337013882624266,0.02667335713209621,reconstruction,True,2024-02-29
2024-02,co:cn:300274.SZ,300274.SZ,0.8380922199304033,0.8836234571352277,0.8825907919630062,0.02586811899915809,0.027241588802669175,reconstruction,True,2024-02-29
