month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-07,co:cn:688008.SS,688008.SS,0.02844739530132788,93.81052631578947,reconstruction,True,False
2026-07,co:cn:688012.SS,688012.SS,0.028198416751787532,92.98947368421052,reconstruction,True,False
2026-07,co:cn:688019.SS,688019.SS,0.026602400408580182,87.72631578947369,reconstruction,True,False
2026-07,co:cn:688041.SS,688041.SS,0.02788559754851889,91.9578947368421,reconstruction,True,False
2026-07,co:cn:688072.SS,688072.SS,0.02715143003064351,89.53684210526316,reconstruction,True,False
2026-07,co:cn:688082.SS,688082.SS,0.025702247191011232,84.7578947368421,reconstruction,True,False
2026-07,co:cn:688120.SS,688120.SS,0.026410878447395297,87.09473684210526,reconstruction,True,False
2026-07,co:cn:688126.SS,688126.SS,0.02720250255362615,89.70526315789475,reconstruction,True,False
2026-07,co:cn:688249.SS,688249.SS,0.024565883554647595,81.01052631578948,reconstruction,True,False
2026-07,co:cn:688256.SS,688256.SS,0.02838355464759959,93.60000000000001,reconstruction,True,False
2026-07,co:cn:688347.SS,688347.SS,0.026908835546475995,88.73684210526316,reconstruction,True,False
2026-07,co:cn:688385.SS,688385.SS,0.02486593462717058,82.0,reconstruction,True,False
2026-07,co:cn:688702.SS,688702.SS,0.024725485188968332,81.53684210526316,reconstruction,True,False
2026-07,co:cn:688795.SS,688795.SS,0.026251276813074563,86.56842105263158,reconstruction,True,False
2026-07,co:cn:688802.SS,688802.SS,0.026155515832482122,86.25263157894737,reconstruction,True,False
2026-07,co:cn:688981.SS,688981.SS,0.028198416751787532,92.98947368421052,reconstruction,True,False
2026-08,co:cn:000977.SZ,000977.SZ,0.027695735988539694,89.48571428571428,reconstruction,True,False
2026-08,co:cn:002049.SZ,002049.SZ,0.026970624126770773,87.14285714285714,reconstruction,True,False
2026-08,co:cn:002156.SZ,002156.SZ,0.027784164264365172,89.77142857142857,reconstruction,True,False
2026-08,co:cn:002281.SZ,002281.SZ,0.0280848204021718,90.74285714285715,reconstruction,True,False
2026-08,co:cn:002371.SZ,002371.SZ,0.028190934333162374,91.08571428571429,reconstruction,True,False
2026-08,co:cn:002463.SZ,002463.SZ,0.028279362608987852,91.37142857142858,reconstruction,True,False
2026-08,co:cn:002837.SZ,002837.SZ,0.025980227437525424,83.94285714285715,reconstruction,True,False
2026-08,co:cn:300308.SZ,300308.SZ,0.029428930194719063,95.08571428571429,reconstruction,True,False
2026-08,co:cn:300394.SZ,300394.SZ,0.02916364536724263,94.22857142857143,reconstruction,True,False
2026-08,co:cn:300442.SZ,300442.SZ,0.027642679023044403,89.3142857142857,reconstruction,True,False
2026-08,co:cn:300476.SZ,300476.SZ,0.027801849919530268,89.82857142857142,reconstruction,True,False
2026-08,co:cn:300502.SZ,300502.SZ,0.02919901667757282,94.34285714285714,reconstruction,True,False
2026-08,co:cn:300620.SZ,300620.SZ,0.02709442371292644,87.54285714285713,reconstruction,True,False
2026-08,co:cn:300661.SZ,300661.SZ,0.0240701766796951,77.77142857142857,reconstruction,True,False
2026-08,co:cn:300782.SZ,300782.SZ,0.024158604955520576,78.05714285714285,reconstruction,True,False
2026-08,co:cn:600460.SS,600460.SS,0.025538086058398034,82.51428571428572,reconstruction,True,False
2026-08,co:cn:600584.SS,600584.SS,0.02810250605733689,90.8,reconstruction,True,False
2026-08,co:cn:601138.SS,601138.SS,0.028827617919105812,93.14285714285714,reconstruction,True,False
2026-08,co:cn:603019.SS,603019.SS,0.028014077781511416,90.51428571428572,reconstruction,True,False
2026-08,co:cn:603501.SS,603501.SS,0.02534354385158198,81.88571428571429,reconstruction,True,False
2026-08,co:cn:603986.SS,603986.SS,0.029340501918893584,94.8,reconstruction,True,False
2026-08,co:cn:688008.SS,688008.SS,0.028332419574483132,91.54285714285713,reconstruction,True,False
2026-08,co:cn:688012.SS,688012.SS,0.029022160125921865,93.77142857142857,reconstruction,True,False
2026-08,co:cn:688019.SS,688019.SS,0.025767999575544275,83.25714285714285,reconstruction,True,False
2026-08,co:cn:688041.SS,688041.SS,0.027996392126346324,90.45714285714287,reconstruction,True,False
2026-08,co:cn:688072.SS,688072.SS,0.02675839626478963,86.45714285714287,reconstruction,True,False
2026-08,co:cn:688082.SS,688082.SS,0.02521974426542631,81.48571428571428,reconstruction,True,False
2026-08,co:cn:688120.SS,688120.SS,0.025927170472030137,83.77142857142857,reconstruction,True,False
2026-08,co:cn:688126.SS,688126.SS,0.025927170472030137,83.77142857142857,reconstruction,True,False
2026-08,co:cn:688249.SS,688249.SS,0.023663406610897903,76.45714285714287,reconstruction,True,False
2026-08,co:cn:688256.SS,688256.SS,0.028845303574270908,93.2,reconstruction,True,False
2026-08,co:cn:688347.SS,688347.SS,0.026581539713138667,85.88571428571427,reconstruction,True,False
2026-08,co:cn:688385.SS,688385.SS,0.0252728012309216,81.65714285714286,reconstruction,True,False
2026-08,co:cn:688702.SS,688702.SS,0.02477760288629892,80.05714285714285,reconstruction,True,False
2026-08,co:cn:688795.SS,688795.SS,0.025821056541039562,83.42857142857143,reconstruction,True,False
2026-08,co:cn:688802.SS,688802.SS,0.0256618856445537,82.91428571428571,reconstruction,True,False
2026-08,co:cn:688981.SS,688981.SS,0.027713421643704786,89.54285714285713,reconstruction,True,False
