month,node_id,symbol,value,value_display_shrunk,corr_to_ex_self,sd_own_daily,sd_ex_self_daily,era,in_universe,stamp_session
2024-01,co:cn:002046.SZ,002046.SZ,0.8330029548871828,0.8692972314957134,0.591796781080855,0.02692833857140308,0.019130909431851976,reconstruction,True,2024-01-31
2024-01,co:cn:002050.SZ,002050.SZ,0.9038729387729413,0.916071420860314,0.7257120985809962,0.02372897278601159,0.019051795776832848,reconstruction,True,2024-01-31
2024-01,co:cn:002472.SZ,002472.SZ,0.8932739154485625,0.909076065466224,0.8337731224490561,0.020464100947760064,0.01910099136473565,reconstruction,True,2024-01-31
2024-01,co:cn:002747.SZ,002747.SZ,1.1055175497831355,1.0491568641270423,0.9256238869361251,0.022391672436602904,0.018748021575808235,reconstruction,True,2024-01-31
2024-01,co:cn:002851.SZ,002851.SZ,0.8837370309418262,0.9027817216917781,0.7628123426280882,0.02212863576229238,0.019100700654139616,reconstruction,True,2024-01-31
2024-01,co:cn:300024.SZ,300024.SZ,1.0190291382479864,0.9920745125138437,0.8493955674425147,0.02265015430189114,0.018879676688139446,reconstruction,True,2024-01-31
2024-01,co:cn:300124.SZ,300124.SZ,0.52681875449858,0.6672156592392355,0.5779329850471006,0.0179994208323662,0.019745802369297395,reconstruction,True,2024-01-31
2024-01,co:cn:601100.SS,601100.SS,0.3751236498010389,0.5670968901388584,0.4389267363384323,0.017118135312558208,0.020029681596790746,reconstruction,True,2024-01-31
2024-01,co:cn:601689.SS,601689.SS,0.9866110643326361,0.9706785837297126,0.6862163796111622,0.027146637849654452,0.01888126762130516,reconstruction,True,2024-01-31
2024-01,co:cn:688017.SS,688017.SS,1.330489565240994,1.1976383943292288,0.7768448214624128,0.03135622310009648,0.018308237939106166,reconstruction,True,2024-01-31
2024-01,co:cn:688322.SS,688322.SS,1.4797825379624696,1.2961717563254027,0.7764562977725615,0.03440623346549851,0.018053285514305028,reconstruction,True,2024-01-31
2024-02,co:cn:002046.SZ,002046.SZ,0.9508369520557999,0.9516083820598308,0.7243695385120218,0.032409141467015574,0.024690032078870237,reconstruction,True,2024-02-29
2024-02,co:cn:002050.SZ,002050.SZ,0.847155332250604,0.8831785129884016,0.7480304916011702,0.02825755785221262,0.02495116785192618,reconstruction,True,2024-02-29
2024-02,co:cn:002472.SZ,002472.SZ,0.9388164001658884,0.9436748178124893,0.8571586509680016,0.027128088938906718,0.024768502248261152,reconstruction,True,2024-02-29
2024-02,co:cn:002747.SZ,002747.SZ,1.3149099283607768,1.1918965464211158,0.9235212557481037,0.034098839760056836,0.023949171449347176,reconstruction,True,2024-02-29
2024-02,co:cn:002851.SZ,002851.SZ,0.8995894554360476,0.9177850342907943,0.8081293941130485,0.027657681513012167,0.024845761884623525,reconstruction,True,2024-02-29
2024-02,co:cn:300024.SZ,300024.SZ,1.306296811553817,1.186211889328522,0.8469699028240519,0.036911460740979396,0.02393246009664103,reconstruction,True,2024-02-29
2024-02,co:cn:300124.SZ,300124.SZ,0.19400063797412972,0.4520964147659285,0.2783685698302102,0.01850763219304258,0.02655632042410004,reconstruction,True,2024-02-29
2024-02,co:cn:601100.SS,601100.SS,0.3547557645801617,0.5581947983259097,0.4278108892277599,0.02166954644475707,0.026131972639443835,reconstruction,True,2024-02-29
2024-02,co:cn:601689.SS,601689.SS,0.9764189910981447,0.9684925278277784,0.696179854843579,0.034520851304875914,0.02461312353570317,reconstruction,True,2024-02-29
2024-02,co:cn:688017.SS,688017.SS,1.0978706231265556,1.0486506049665296,0.7186078437980806,0.037177938195773155,0.024334705238436057,reconstruction,True,2024-02-29
2024-02,co:cn:688322.SS,688322.SS,1.6035136055540535,1.382374973368678,0.8266623629277315,0.04515323245831995,0.023277930233041394,reconstruction,True,2024-02-29
2024-03,co:cn:002046.SZ,002046.SZ,0.9720680441488043,0.9672353089611534,0.7413989798508146,0.034326817493729324,0.026181158432855702,reconstruction,True,2024-03-29
2024-03,co:cn:002050.SZ,002050.SZ,0.8412688503293196,0.8809078410402935,0.7695898736206849,0.02899788243311636,0.02652716390037927,reconstruction,True,2024-03-29
2024-03,co:cn:002472.SZ,002472.SZ,0.952997189854375,0.9546485451268301,0.8810088810962932,0.028429817124095785,0.026282261522826963,reconstruction,True,2024-03-29
2024-03,co:cn:002747.SZ,002747.SZ,1.406876038371273,1.254208585147983,0.9036239031200519,0.039267180808729034,0.025220959216835183,reconstruction,True,2024-03-29
2024-03,co:cn:002851.SZ,002851.SZ,0.8264064032547287,0.8710986259710636,0.782677774086556,0.028054134690622703,0.02656967275072402,reconstruction,True,2024-03-29
2024-03,co:cn:300024.SZ,300024.SZ,1.2989579402784353,1.1829826404067099,0.8617103305468015,0.03835940387058146,0.02544708613260537,reconstruction,True,2024-03-29
2024-03,co:cn:300124.SZ,300124.SZ,0.16368072613628304,0.4336996790728894,0.27530051433562686,0.016831509455350613,0.0283095225655639,reconstruction,True,2024-03-29
2024-03,co:cn:601100.SS,601100.SS,0.3525341431934428,0.5583429343306149,0.39495194255535726,0.02476973092565203,0.027750087571778045,reconstruction,True,2024-03-29
2024-03,co:cn:601689.SS,601689.SS,0.9087616133515605,0.9254530646349726,0.6558064922825624,0.03644015658097748,0.026296985826087256,reconstruction,True,2024-03-29
2024-03,co:cn:688017.SS,688017.SS,1.1311835543681985,1.0722515457059536,0.7521510715839679,0.03878298774232255,0.025787738583159064,reconstruction,True,2024-03-29
2024-03,co:cn:688322.SS,688322.SS,1.6816607851028988,1.4355665179908559,0.8537853898580536,0.04840468870330767,0.024575239181177967,reconstruction,True,2024-03-29
2024-04,co:cn:002046.SZ,002046.SZ,1.0679017815710328,1.030442585337893,0.7718079842167398,0.036508254171552776,0.02638572436686611,reconstruction,True,2024-04-30
2024-04,co:cn:002050.SZ,002050.SZ,0.8410628038268135,0.8807288600267081,0.773924021041062,0.029308054578374692,0.026968506210217832,reconstruction,True,2024-04-30
2024-04,co:cn:002472.SZ,002472.SZ,0.9024645235928044,0.9212539950722621,0.8819697824869859,0.027468148495363477,0.02684435378947578,reconstruction,True,2024-04-30
2024-04,co:cn:002747.SZ,002747.SZ,1.4433183235431966,1.2782175030395209,0.9038822237970845,0.040806376748819595,0.025555110026094535,reconstruction,True,2024-04-30
2024-04,co:cn:002851.SZ,002851.SZ,0.8528715432666207,0.8885226280569809,0.8000353789041161,0.028726256924021764,0.026946639296560757,reconstruction,True,2024-04-30
2024-04,co:cn:300024.SZ,300024.SZ,1.2927436494952291,1.1788382181678625,0.8683374983041412,0.038538969331373074,0.025886673068934708,reconstruction,True,2024-04-30
2024-04,co:cn:300124.SZ,300124.SZ,0.08346424160682897,0.38071380896151835,0.14763425132521119,0.016399815837696684,0.029008524925859903,reconstruction,True,2024-04-30
2024-04,co:cn:601100.SS,601100.SS,0.37117809685705694,0.5706049534266688,0.3954495337080509,0.02642226045128809,0.02815001925880987,reconstruction,True,2024-04-30
2024-04,co:cn:601689.SS,601689.SS,0.9838309361212815,0.974955827341057,0.6707446894138629,0.03893065338277563,0.026541683182739015,reconstruction,True,2024-04-30
2024-04,co:cn:688017.SS,688017.SS,1.0727702976302107,1.0336558059369503,0.7450675474635979,0.03795155549564666,0.026358366220647477,reconstruction,True,2024-04-30
2024-04,co:cn:688322.SS,688322.SS,1.6233982275216414,1.3970702396652945,0.8335655361491122,0.04887669773598288,0.025096695353481614,reconstruction,True,2024-04-30
2024-05,co:cn:002046.SZ,002046.SZ,0.8635210897943673,0.8852031119728685,0.6614997436033094,0.02728484201514936,0.02090153467077005,reconstruction,True,2024-05-31
2024-05,co:cn:002050.SZ,002050.SZ,0.9539213952705403,0.9448673135871428,0.8214186845439433,0.02412631832463716,0.020775096102642075,reconstruction,True,2024-05-31
2024-05,co:cn:002472.SZ,002472.SZ,0.8465103264804702,0.8739760081856964,0.8551475240783338,0.020783601018576892,0.02099566230498667,reconstruction,True,2024-05-31
2024-05,co:cn:002747.SZ,002747.SZ,1.4482234605932427,1.2711066767001264,0.8320994501895348,0.034537346969482505,0.019843973120376945,reconstruction,True,2024-05-31
2024-05,co:cn:002851.SZ,002851.SZ,0.5465501382950148,0.6760022839832959,0.3357672593648992,0.03482127272547544,0.02139207822196108,reconstruction,True,2024-05-31
2024-05,co:cn:300024.SZ,300024.SZ,1.0477257155916857,1.0067781649990988,0.8653913726953373,0.024946718267682914,0.020605273350308217,reconstruction,True,2024-05-31
2024-05,co:cn:300124.SZ,300124.SZ,0.257590783273024,0.4852891096687819,0.35324522199183495,0.01617168937723253,0.022176927029212343,reconstruction,True,2024-05-31
2024-05,co:cn:601100.SS,601100.SS,0.4282971835020267,0.5979553338199237,0.39245112656524855,0.023749184024971674,0.02176151136319913,reconstruction,True,2024-05-31
2024-05,co:cn:601689.SS,601689.SS,1.0193398724921208,0.9880435085533859,0.6723591943562985,0.031205172509103093,0.020583011823793882,reconstruction,True,2024-05-31
2024-05,co:cn:688017.SS,688017.SS,1.2643412688853206,1.1497444301728978,0.8030706251607842,0.03175476153547807,0.020169646301754187,reconstruction,True,2024-05-31
2024-05,co:cn:688322.SS,688322.SS,1.5241879416882094,1.3212432342228042,0.7876215879319896,0.03808056296729294,0.01967806768004127,reconstruction,True,2024-05-31
2024-06,co:cn:002046.SZ,002046.SZ,0.7951809381983901,0.8321497562725957,0.601651161403706,0.025501834085204785,0.01929524131960529,reconstruction,True,2024-06-28
2024-06,co:cn:002050.SZ,002050.SZ,1.1413788088871855,1.0606403509272007,0.7979645575050455,0.026789091401619797,0.01872887887860607,reconstruction,True,2024-06-28
2024-06,co:cn:002472.SZ,002472.SZ,0.8008690633303962,0.8359039188597197,0.8121959413090446,0.01907980213731058,0.01934965222961826,reconstruction,True,2024-06-28
2024-06,co:cn:002747.SZ,002747.SZ,1.3339483229313596,1.1877362301963557,0.8017178556404435,0.030606785656736583,0.01839502036393967,reconstruction,True,2024-06-28
2024-06,co:cn:002851.SZ,002851.SZ,0.5969133811085635,0.7012931685933103,0.3249684643213226,0.035799697676474354,0.019489884370636347,reconstruction,True,2024-06-28
2024-06,co:cn:300024.SZ,300024.SZ,1.0078272036667038,0.9724962914816828,0.8469025571070691,0.022588197840730656,0.01898143098554582,reconstruction,True,2024-06-28
2024-06,co:cn:300124.SZ,300124.SZ,0.2710713023819949,0.48623739663377497,0.32470516559355284,0.016960788436727766,0.020316630973292983,reconstruction,True,2024-06-28
2024-06,co:cn:601100.SS,601100.SS,0.40211351050611505,0.5727252539956942,0.34153151415051897,0.023555894604453405,0.020006988427976904,reconstruction,True,2024-06-28
2024-06,co:cn:601689.SS,601689.SS,1.1593645017998275,1.0725109082495445,0.7171882906622115,0.030164253317988436,0.018659747855524076,reconstruction,True,2024-06-28
2024-06,co:cn:688017.SS,688017.SS,1.1174037958970227,1.0448168423536932,0.6753556881374101,0.030961422099098097,0.018712995789192957,reconstruction,True,2024-06-28
2024-06,co:cn:688322.SS,688322.SS,1.316969487993152,1.1765301991371386,0.7203545096284738,0.03359981434465388,0.01837838917797066,reconstruction,True,2024-06-28
2024-07,co:cn:002046.SZ,002046.SZ,0.5262843741346229,0.6415031685755892,0.3826357501540438,0.02408169211190083,0.017508626094718198,reconstruction,True,2024-07-31
2024-07,co:cn:002050.SZ,002050.SZ,1.2872545313396833,1.143743472330929,0.7357324212688602,0.028618376303306492,0.016356879527549238,reconstruction,True,2024-07-31
2024-07,co:cn:002472.SZ,002472.SZ,0.8249966678626763,0.8386532824361044,0.7178245175031549,0.01965585021698457,0.01710243416458235,reconstruction,True,2024-07-31
2024-07,co:cn:002747.SZ,002747.SZ,1.059276404215236,0.9932779084287938,0.711494897650995,0.02487970661511549,0.016711204215695462,reconstruction,True,2024-07-31
2024-07,co:cn:002851.SZ,002851.SZ,0.558674956794376,0.6628809531310261,0.24125408388110733,0.03982203030009109,0.017196452644771366,reconstruction,True,2024-07-31
2024-07,co:cn:300024.SZ,300024.SZ,0.8947864513605405,0.8847145395446947,0.7975472057229052,0.019079933087179153,0.017006457010968104,reconstruction,True,2024-07-31
2024-07,co:cn:300124.SZ,300124.SZ,0.5695445816535499,0.6700549055380809,0.501027410107761,0.019879515997544006,0.017487976771770934,reconstruction,True,2024-07-31
2024-07,co:cn:601100.SS,601100.SS,0.3365955670744462,0.5163085559158724,0.2941867079444164,0.020434310991657087,0.017859720292805917,reconstruction,True,2024-07-31
2024-07,co:cn:601689.SS,601689.SS,1.1626306733789842,1.0614917260768677,0.6771551424130098,0.028372137777400136,0.016524885707152038,reconstruction,True,2024-07-31
2024-07,co:cn:688017.SS,688017.SS,1.2060199112608554,1.0901286230789027,0.6742783649946141,0.029426371970259813,0.01645210480736293,reconstruction,True,2024-07-31
2024-07,co:cn:688322.SS,688322.SS,1.090730875378319,1.0140378593964285,0.6988871825943359,0.02599146534898493,0.0166540641686244,reconstruction,True,2024-07-31
2024-08,co:cn:002046.SZ,002046.SZ,0.7399683294597096,0.796695687564908,0.5471222600433965,0.024894004478739445,0.018406279633458224,reconstruction,True,2024-08-30
2024-08,co:cn:002050.SZ,002050.SZ,1.1207997464126684,1.0480444227538608,0.7044297841413988,0.028294040152829755,0.01778298457074013,reconstruction,True,2024-08-30
2024-08,co:cn:002472.SZ,002472.SZ,0.8843097904010025,0.8919610517861614,0.73704962955726,0.02185110525097364,0.018212338261395507,reconstruction,True,2024-08-30
2024-08,co:cn:002747.SZ,002747.SZ,1.0380368210231041,0.9934208919967484,0.8071216636980239,0.023106027103541916,0.017966005308830267,reconstruction,True,2024-08-30
