ticker,as_of,close,return_1d,return_5d,return_10d,return_20d,return_63d,return_126d,distance_50d,distance_200d,drawdown_252d,source
AAPL,2026-07-13,317.30999755859375,0.0063110179758711915,0.014872365643255225,0.11815490493878689,0.07333488589690074,0.219296463979346,0.22722172794229611,0.062393164242821264,0.1648053008508794,0.0,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
AMZN,2026-07-13,247.30999755859375,0.008029678202122081,0.01290135095526801,0.06283035353385658,0.02401558189590225,0.03746116491679419,0.004141476715523451,-0.02526407907906536,0.05929679555113032,-0.10065818269308457,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
BMY,2026-07-13,59.34000015258789,0.030566138686435096,0.04656083516975906,0.04328664139718463,0.05465460957753332,0.023709421144044507,0.0845903989821506,0.05321674617243266,0.11446738870127948,-0.02792034303815838,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
CB,2026-07-13,354.739990234375,0.019866037802562353,-0.0050206393600835675,0.03895263501016144,0.08513042201373078,0.08519657408546721,0.14024696725296315,0.07780478562860282,0.13585393467872509,-0.017803314102226686,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
CME,2026-07-13,245.1000061035156,0.02010239208044262,0.044045032538023055,0.10904980137337383,-0.06514603344804892,-0.16569310188004382,-0.05392855670406704,-0.06769139641320354,-0.10625905014224446,-0.22728511666243822,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
EWY,2026-07-13,168.02000427246094,-0.08445945749319039,-0.11498552082822622,-0.14831708580640246,-0.15542373474159465,0.21112960028086825,0.576320574585977,-0.11786075079284508,0.2842245419282883,-0.23348537129708968,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
GILD,2026-07-13,131.39999389648438,0.012092675370001915,0.013810610891933361,0.0275257797831423,0.05079500002257409,-0.04839505490710683,0.10230134717641715,0.015670573283653733,0.017782772705181138,-0.146247085230247,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
GOOGL,2026-07-13,352.510009765625,-0.013074592658932294,-0.03806686136203541,0.044814589824013096,-0.014702125414565947,0.11184138398699028,0.08458966090164877,-0.054114533664606834,0.1047504041763152,-0.1239368269383111,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
IBB,2026-07-13,189.5500030517578,-0.013068804221296415,-0.02949154973548096,0.011688740575747314,0.11195174003653174,0.11930488992384491,0.10133016768171732,0.07971709814818739,0.12436512417677159,-0.043787483543669126,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
ICE,2026-07-13,137.6699981689453,0.017817564394382535,0.020458041893976375,0.11149683102326402,-0.005746769239924232,-0.13959336403800215,-0.14416783617437945,-0.035743049269739924,-0.11173435908745999,-0.2601231452319601,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
