date,SPY,QQQ,RSP,SMH,IGV,XLV,RSPH,XLF,XLP,XLE,MAGS,EWY,XBI,IBB,WM,MCK,GILD,REGN,BMY,VEEV,CME,ICE,CB,PGR,UNH,MSFT,AMZN,META,AAPL,NVDA,GOOGL,MU,WDC,KO,JNJ
2023-01-03,364.13397216796875,259.18389892578125,133.10325622558594,99.33597564697266,51.26253890991211,127.7940902709961,28.112899780273438,32.42304992675781,67.64972686767578,37.606468200683594,,51.599613189697266,81.01533508300781,128.88192749023438,148.6340789794922,368.1684265136719,75.90560150146484,714.5680541992188,61.20204162597656,159.6199951171875,146.78302001953125,98.60624694824219,211.532470703125,118.695556640625,484.42547607421875,232.94825744628906,85.81999969482422,123.65412902832031,122.98271942138672,14.283263206481934,88.33670043945312,49.61948013305664,23.6332950592041,56.7598876953125,160.87057495117188
2023-01-04,366.9450988769531,260.4186706542969,135.1782989501953,101.8615493774414,51.61644744873047,128.13372802734375,28.419132232666016,32.942657470703125,67.91387939453125,37.602012634277344,,53.638275146484375,82.71454620361328,130.5370635986328,148.52049255371094,367.85369873046875,76.00338745117188,720.5388793945312,61.50695037841797,166.42999267578125,147.76475524902344,99.27489471435547,215.01058959960938,119.69882202148438,471.21832275390625,222.7583770751953,85.13999938964844,126.26123046875,124.2511978149414,14.716300010681152,87.30584716796875,53.39241027832031,24.86725425720215,56.732852935791016,162.62203979492188
2023-01-05,362.757080078125,256.34197998046875,133.77293395996094,100.03643035888672,49.956886291503906,126.8223648071289,28.168489456176758,32.6970329284668,67.23072052001953,38.2881965637207,,53.07042694091797,81.99908447265625,130.64610290527344,145.65249633789062,367.8930358886719,76.31451416015625,717.8311157226562,61.395965576171875,161.1199951171875,147.47804260253906,97.9853744506836,214.2057342529297,120.0547866821289,457.6374816894531,216.15631103515625,83.12000274658203,125.83496856689453,122.93354797363281,14.23337459564209,85.44235229492188,53.894813537597656,26.50751304626465,56.08364486694336,161.4213104248047
2023-01-06,371.0758361816406,263.4173583984375,136.97979736328125,104.41178894042969,50.700687408447266,127.99219512939453,28.409379959106445,33.42447280883789,69.02513122558594,39.01447677612305,,55.75141143798828,82.63504791259766,131.95431518554688,150.96255493164062,379.69549560546875,78.29682159423828,731.1115112304688,62.317928314208984,159.61000061035156,152.11744689941406,100.20145416259766,219.2839813232422,122.8660888671875,457.6748962402344,218.7037811279297,86.08000183105469,128.88816833496094,127.45679473876953,14.826056480407715,86.57233428955078,55.92411422729492,27.967191696166992,57.165645599365234,162.73037719726562
2023-01-09,370.865478515625,265.1225891113281,137.03634643554688,106.68578338623047,51.74641418457031,125.85063934326172,28.171417236328125,33.30165100097656,68.3510971069336,38.87635803222656,,56.924339294433594,80.75698852539062,129.11978149414062,149.7793731689453,375.67279052734375,75.64781951904297,674.9156494140625,60.619144439697266,161.0800018310547,152.73426818847656,100.5262222290039,214.1578369140625,120.492919921875,457.7309265136719,220.83316040039062,87.36000061035156,128.34292602539062,127.97794342041016,15.593351364135742,87.24635314941406,55.520233154296875,28.28321075439453,56.45332717895508,158.51425170898438
2023-01-10,373.4662780761719,267.3666687011719,138.06446838378906,108.07189178466797,51.79840087890625,126.90730285644531,28.516658782958984,33.490604400634766,68.260009765625,39.15261459350586,,57.11051940917969,83.05241394042969,132.0435333251953,146.62741088867188,376.37115478515625,77.46123504638672,693.224365234375,61.16548156738281,161.1999969482422,154.21124267578125,101.87306213378906,215.3651123046875,121.41477966308594,453.9387512207031,222.51528930664062,89.87000274658203,131.83230590820312,128.5482635498047,15.873730659484863,87.64285278320312,56.35756301879883,28.719606399536133,56.02052688598633,158.13510131835938
2023-01-11,378.18988037109375,271.9921875,139.7433319091797,109.33961486816406,52.62617874145508,127.62428283691406,28.761449813842773,33.80236053466797,68.29644775390625,39.272911071777344,,57.25946044921875,83.84733581542969,132.79678344726562,148.59619140625,374.5318908691406,77.50567626953125,704.1243896484375,61.413063049316406,165.30999755859375,152.59527587890625,103.82170104980469,215.21180725097656,120.71197509765625,460.8506164550781,229.24371337890625,95.08999633789062,131.73318481445312,131.26220703125,15.965521812438965,90.7155990600586,57.19489669799805,28.907711029052734,55.912330627441406,157.88229370117188
2023-01-12,379.5667724609375,273.4620666503906,140.27149963378906,110.97728729248047,53.044071197509766,127.21862030029297,28.61515998840332,33.868492126464844,67.75901794433594,40.021484375,,57.67836380004883,87.36500549316406,133.90675354003906,144.51663208007812,374.5712585449219,76.1989517211914,708.7164306640625,61.122802734375,162.57000732421875,153.5248565673828,104.14646911621094,216.160400390625,121.34178161621094,462.9708251953125,231.9078826904297,95.2699966430664,135.51992797851562,131.18353271484375,16.474397659301758,90.32902526855469,56.41666793823242,28.561603546142578,55.19099807739258,157.08782958984375
2023-01-13,381.03924560546875,275.34368896484375,140.6016387939453,111.37683868408203,53.19203567504883,127.78465270996094,28.815093994140625,34.12356185913086,68.07781982421875,40.07939910888672,,58.1065788269043,87.32524871826172,135.01678466796875,145.94589233398438,375.52532958984375,76.68785095214844,716.2145385742188,61.89965057373047,164.24000549316406,152.577880859375,102.80917358398438,217.68385314941406,121.98981475830078,457.2732238769531,232.60792541503906,98.12000274658203,135.78758239746094,132.51100158691406,16.861530303955078,91.31033325195312,56.081729888916016,28.004817962646484,55.38935852050781,156.5732421875
2023-01-17,380.3412170410156,275.9023132324219,140.29037475585938,112.037841796875,53.37199020385742,127.1903076171875,28.76242446899414,33.89684295654297,68.12337493896484,40.164066314697266,,57.948326110839844,86.31170654296875,135.06634521484375,146.11630249023438,377.157958984375,75.92339324951172,722.1455688476562,61.72888946533203,163.6300048828125,152.8993377685547,102.5990219116211,215.23097229003906,119.28807067871094,453.0794982910156,233.6969451904297,96.05000305175781,134.1816864013672,133.6713104248047,17.662755966186523,90.48762512207031,56.0029182434082,28.08005714416504,55.61478042602539,155.6072540283203
