stratum,n,med_zone_low_40d,pct_zone_within_5,pct_zone_within_8,vol_race_stop,med_k
S7 cohort-rank REPAIR,1123,-0.05129742788119951,0.4924309884238646,0.6705253784505788,0.3294746215494212,0.07852262698975995
S7 cohort-rank DETER,2353,-0.05906352212084687,0.4330641733956651,0.6217594560135996,0.4105397365065873,0.07434893529353907
H-B computable baseline,3476,-0.05633522483330866,0.4522439585730725,0.6375143843498274,0.38434982738780205,0.07560787439804706
cohort>=40,1873,-0.04999201405526277,0.5002669514148425,0.6716497597437266,0.34703683929524826,0.07713411737334397
TRIPLE-LOCK,922,-0.04468720682748156,0.5368763557483731,0.7049891540130152,0.33947939262472887,0.07389663606720676
ALL dev F1,28291,-0.06751963691635832,0.40408626560726446,0.5595913734392736,0.41199020338622083,0.08916792974623017
