cohort,segment,feature,label,n_sessions,winner_mean_percentile,winner_percentile_ci_low,winner_percentile_ci_high,winner_top_quartile_rate,top_quartile_null_rate,top_quartile_enrichment,top1_exact,top1_exact_ci_low,top1_exact_ci_high,top1_economic_tie,top3_recall,mean_cross_sectional_rank_corr,permutation_p_one_sided,bh_q
price,development,pm_rvol20,Premarket volume / prior-20 median,27,0.53462158,0.39695011,0.67485822,0.33333333,0.26086957,1.27777778,0.11111111,0.03030303,0.22727273,0.11111111,0.25925926,-0.02302006,0.40329835,0.55157037
price,development,pm_range_pct,Premarket range / prior close,110,0.67075099,0.63674536,0.70575093,0.43636364,0.26086957,1.67272727,0.09090909,0.03808625,0.15094340,0.10000000,0.20000000,-0.00712338,0.00049975,0.00283192
price,development,gap_resid,Opening gap beta-adjusted versus QQQ,125,0.53217391,0.48241369,0.57862300,0.31200000,0.26086957,1.19600000,0.07200000,0.02608696,0.11812044,0.08000000,0.22400000,-0.02558103,0.33683158,0.55067921
price,development,first15_return,First-15-minute raw return,125,0.55165217,0.50237388,0.59986214,0.36000000,0.26086957,1.38000000,0.08000000,0.03968254,0.12500000,0.08000000,0.24000000,-0.00590189,0.12693653,0.27398801
price,development,first15_resid,First-15-minute beta-adjusted RS,125,0.55756522,0.50700629,0.61180852,0.36000000,0.26086957,1.38000000,0.08800000,0.04098361,0.14394091,0.09600000,0.20800000,-0.00055336,0.08945527,0.27398801
price,development,rvol15,First-15-minute time-of-day RVOL,125,0.60904348,0.54841818,0.66679160,0.41600000,0.26086957,1.59466667,0.12000000,0.06450323,0.17968750,0.12000000,0.24000000,-0.01635573,0.00049975,0.00283192
price,development,opening_dollar_share,Share of universe opening dollar volume,125,0.59200000,0.53474389,0.64220243,0.36800000,0.26086957,1.41066667,0.07200000,0.02499483,0.12213740,0.08000000,0.28000000,0.01962055,0.00249875,0.01061969
price,development,vwap_distance15,09:40 close distance above session VWAP,125,0.50121739,0.44754141,0.55427124,0.32000000,0.26086957,1.22666667,0.08000000,0.04032258,0.12295397,0.08800000,0.20000000,-0.01107510,0.78910545,0.78910545
price,development,opening_close_location,Opening-range close location,125,0.51582609,0.46942740,0.56522556,0.24800000,0.26086957,0.95066667,0.04000000,0.00840161,0.07693798,0.05600000,0.13600000,-0.00129787,0.56671664,0.64227886
price,development,first15_efficiency,First-15-minute trend efficiency,125,0.53147826,0.48675692,0.57723929,0.29600000,0.26086957,1.13466667,0.04000000,0.00854701,0.07518797,0.04000000,0.11200000,-0.00625951,0.35632184,0.55067921
price,development,range_expansion15,First-15-minute range expansion,125,0.60800000,0.56380258,0.65015282,0.36000000,0.26086957,1.38000000,0.11200000,0.06818182,0.15626937,0.12800000,0.19200000,0.00084585,0.00049975,0.00283192
price,holdout,prior_resid_1d,Prior-session beta-adjusted RS,84,0.48809524,0.39999214,0.57569758,0.27380952,0.26086957,1.04960317,0.05952381,0.02298851,0.10465116,0.08333333,0.14285714,0.02013928,0.85907046,0.85907046
price,holdout,prior_resid_5d,Prior 5-session beta-adjusted RS,84,0.63561077,0.56839503,0.70483437,0.39285714,0.26086957,1.50595238,0.13095238,0.07058824,0.19105523,0.14285714,0.29761905,0.08174525,0.00099950,0.00566383
price,holdout,prior_resid_20d,Prior 20-session beta-adjusted RS,84,0.60817805,0.56142607,0.65536419,0.40476190,0.26086957,1.55158730,0.08333333,0.03570378,0.13253012,0.13095238,0.26190476,0.05722991,0.00249875,0.01019490
price,holdout,rs_accel_5v20,5-vs-20-session RS acceleration,84,0.58178054,0.50706319,0.65933717,0.36904762,0.26086957,1.41468254,0.11904762,0.05813953,0.18604651,0.11904762,0.26190476,0.03329098,0.03048476,0.06478011
price,holdout,prior_close_location,Prior-day close location,84,0.52432712,0.45279692,0.58926794,0.25000000,0.26086957,0.95833333,0.07142857,0.02325581,0.13483146,0.07142857,0.13095238,0.01781009,0.49125437,0.60441208
price,holdout,pm_resid,Premarket beta-adjusted return,84,0.58799172,0.51857588,0.65978749,0.36904762,0.26086957,1.41468254,0.09523810,0.03702575,0.16049383,0.10714286,0.26190476,0.00205863,0.02148926,0.05218819
price,holdout,pm_rvol20,Premarket volume / prior-20 median,84,0.58022774,0.50778315,0.64552749,0.38095238,0.26086957,1.46031746,0.11904762,0.04761905,0.21252458,0.13095238,0.27380952,-0.01572793,0.03498251,0.06607807
price,holdout,pm_range_pct,Premarket range / prior close,84,0.62681159,0.55249205,0.69891304,0.39285714,0.26086957,1.50595238,0.09523810,0.03488372,0.16666667,0.09523810,0.22619048,0.00878741,0.00049975,0.00424788
price,holdout,gap_resid,Opening gap beta-adjusted versus QQQ,84,0.59472050,0.53145222,0.66237947,0.36904762,0.26086957,1.41468254,0.09523810,0.04424797,0.16470588,0.10714286,0.23809524,0.00865801,0.00799600,0.02265534
price,holdout,first15_return,First-15-minute raw return,84,0.52691511,0.45703904,0.59590793,0.34523810,0.26086957,1.32341270,0.13095238,0.05882353,0.21686747,0.13095238,0.22619048,-0.01493977,0.43778111,0.60441208
price,holdout,first15_resid,First-15-minute beta-adjusted RS,84,0.52950311,0.45574838,0.60172389,0.34523810,0.26086957,1.32341270,0.14285714,0.06816267,0.23172859,0.14285714,0.22619048,-0.01869236,0.40579710,0.60441208
price,holdout,rvol15,First-15-minute time-of-day RVOL,84,0.63923395,0.56726035,0.70603020,0.45238095,0.26086957,1.73412698,0.13095238,0.07058824,0.19767442,0.15476190,0.26190476,0.00097638,0.00049975,0.00424788
price,holdout,opening_dollar_share,Share of universe opening dollar volume,84,0.57401656,0.50353893,0.64222691,0.34523810,0.26086957,1.32341270,0.03571429,0.00000000,0.08237745,0.03571429,0.15476190,-0.01325758,0.04397801,0.07476262
price,holdout,vwap_distance15,09:40 close distance above session VWAP,84,0.50724638,0.43171355,0.57544757,0.27380952,0.26086957,1.04960317,0.09523810,0.03797468,0.15476190,0.09523810,0.20238095,-0.00925795,0.66666667,0.70833333
price,holdout,opening_close_location,Opening-range close location,84,0.52122153,0.45311471,0.58341759,0.30952381,0.26086957,1.18650794,0.03571429,0.00000000,0.07317073,0.03571429,0.19047619,-0.00413074,0.49775112,0.60441208
price,holdout,first15_efficiency,First-15-minute trend efficiency,84,0.51785714,0.45345084,0.58266064,0.26190476,0.26086957,1.00396825,0.04761905,0.01149425,0.08866513,0.04761905,0.16666667,-0.02394007,0.55122439,0.62472097
price,holdout,range_expansion15,First-15-minute range expansion,84,0.61490683,0.54987134,0.67835983,0.38095238,0.26086957,1.46031746,0.11904762,0.04876579,0.19767442,0.13095238,0.22619048,-0.01988048,0.00299850,0.01019490
options_magnitude,full,opt_premium_ratio20,Last-available gross options premium / prior-20 median (normally T-2),106,0.55824446,0.48796843,0.62440620,0.33962264,0.26086957,1.30188679,0.11320755,0.05607477,0.18018018,0.12264151,0.19811321,-0.02350101,0.11394303,0.28485757
options_magnitude,full,opt_volume_ratio20,Last-available option volume / prior-20 median (normally T-2),106,0.57424118,0.51848359,0.62576571,0.32075472,0.26086957,1.22955975,0.09433962,0.03883495,0.14814815,0.10377358,0.20754717,-0.04440115,0.03148426,0.15742129
options_magnitude,full,opt_call_volume_share,Last-available call share of call-plus-put volume (normally T-2),106,0.52645611,0.46799052,0.58463651,0.25471698,0.26086957,0.97641509,0.09433962,0.03669725,0.16037736,0.09433962,0.17924528,0.02002650,0.41979010,0.52473763
options_magnitude,full,opt_zerodte_share,Last-available 0DTE volume share (normally T-2),106,0.50840853,0.47181461,0.54665559,0.23584906,0.26086957,0.90408805,0.04716981,0.00989618,0.08737864,0.04716981,0.12264151,0.00795020,0.74712644,0.74712644
options_magnitude,full,opt_recurrence3,Last-available three-session unusual-premium recurrence,104,0.53637124,0.48126753,0.58779362,0.29807692,0.26086957,1.14262821,0.05769231,0.01980198,0.09708738,0.06730769,0.12500000,-0.03493955,0.28235882,0.47059803
options_magnitude,development,opt_premium_ratio20,Last-available gross options premium / prior-20 median (normally T-2),63,0.57073844,0.46843780,0.66560391,0.33333333,0.26086957,1.27777778,0.11111111,0.03174603,0.20000000,0.12698413,0.22222222,0.00952067,0.08995502,0.29360320
options_magnitude,development,opt_volume_ratio20,Last-available option volume / prior-20 median (normally T-2),63,0.56521739,0.48789855,0.64073833,0.30158730,0.26086957,1.15608466,0.09523810,0.03030303,0.17746148,0.11111111,0.22222222,-0.04906205,0.11744128,0.29360320
options_magnitude,development,opt_call_volume_share,Last-available call share of call-plus-put volume (normally T-2),63,0.52173913,0.43340612,0.60249374,0.23809524,0.26086957,0.91269841,0.07936508,0.01562500,0.16072869,0.07936508,0.15873016,0.02352826,0.49775112,0.62218891
